Finnish;English;Finnish (opposite);English (opposite);hungarian
uusi;new;vanha;old;új
iloinen;happy;surullinen;sad;vidám
kaunis;beautiful;ruma;ugly;gyönyörű
pitkä;long, tall;lyhyt;short;hosszú
terve;healthy;sairas;sick;Hé
lihava;fat;laiha;skinny;zsír
paksu;thick;ohut;thin;vastag
nuori;young;vanha;old;fiatal
auki;open;kiinni;closed;nyisd ki
täysi;full;tyhjä;empty;teljes
kallis;expensive;halpa;cheap;drága
vaikea;difficult;helppo;easy;nehéz
rikas;rich;köyhä;poor;gazdag
kuuma;hot;kylmä;cold;forró
kuiva;dry;märkä;wet;száraz
valoisa;bright;pimeä;dark;fényes
vihainen;angry;rauhallinen;calm;őrült
sotkuinen;messy;siisti;tidy;rendetlen
leveä;wide;kapea;narrow;széles
pehmeä;soft;kova;hard;puha
painava;heavy;kevyt;light;nehéz
terävä;sharp;tylsä;blunt;éles
hauska;funny;tylsä;boring;szórakoztató
hidas;slow;nopea;fast;lassú
korkea;high;matala;low;magas
hapan;sour;makea;sweet;savanyú
fiksu;smart;tyhmä;stupid;Okos
kiltti;good;tuhma;naughty;kedves
ahkera;hard-working;laiska;lazy;szorgalmas
likainen;dirty;puhdas;clean;piszkos
vahva;strong;heikko;weak;erős
ilmainen;free of charge;maksullinen;costs;ingyenes
