Finnish;English;Hungarian
bataatti;sweet potato;édesburgonya
endiivi;endive;indívia
fenkoli;fennel;édeskömény
herne;pea;borsó
jäävuorisalaatti;iceberg lettuce;jégsaláta
kaali;cabbage;káposzta
keräkaali;headed cabbage;fejessaláta
kesäkurpitsa;zucchini;cukkini
kiinankaali;Chinese cabbage;kínai kel
kikherne;chickpea;csicseriborsó
kirsikkatomaatti;cherry tomato;cseresznyeparadicsom
kukkakaali;cauliflower;karfiol
kurkku;cucumber;uborka
kurpitsa;pumpkin;tök
lanttu;rutabaga;svédkáposzta
lehtisalaatti;lettuce;fejes saláta
maa-artisokka, sikuri;Jerusalem artichoke, chicory;csicsóka
maissi;corn;kukorica
munakoiso;eggplant;padragón
nauris;turnip;fehérrépa
okra;ocher;okra
palsternakka;parsnip;paszternák
paprika;bell pepper;kaliforniai paprika
papu;bean;bab
parsa;asparagus;spárga
parsakaali;broccoli;brokkoli
peruna;potato;burgonya
pinaatti;spinach;spenót
porkkana;carrot;sárgarépa
punajuuri;beetroot;cékla
punakaali;red cabbage;vöröskáposzta
purjo;leek;metélőhagyma
raparperi;rhubarb;rebarbara
retiisi;radish;retek
ruusukaali, brysselinkaali;brussels sprouts;kelbimbó
selleri;celery;zeller
tomaatti;tomato;paradicsom
valkosipuli;garlic;fokhagyma
Syön paljon vihanneksia.;I eat a lot of vegetables.;Sok zöldséget eszem.
On tärkeää syödä paljon kasviksia.;It's important to eat a lot of vegetables.;Fontos sok zöldséget fogyasztani.
Syön paljon kaalia.;I eat a lot of cabbage.;Sok káposztát eszem.
Syön usein salaattia.;I often eat lettuce / salad.;Gyakran eszem salátát.
Tänään syön kukkakaalia.;Today I eat cauliflower.;Ma karfiolt eszem.
Suomalaiset syövät paljon perunoita.;Finns eat a lot of potatoes.;A finnek sok krumplit esznek.
Tykkään valkosipulista.;I like garlic.;Szeretem a fokhagymát.
En pidä kurkusta.;I don't like cucumber.;Nem szeretem az uborkát.
Tarvitaan keppi ja porkkana -lähestymistapaa.;Literally: A stick and carrot approach is needed., Meaning: We need both encouragements and punishments.;Szükség van a bot és répa megközelítésre.
Ongelma on palannut, ja se on eräänlainen kuuma peruna.;Literally: The problem is back and it's a kind of hot potato., Meaning: It's a controversial, sensitive topic.;A probléma visszatért, és ez egyfajta forró krumpli.
On se onni, että jollakin lanttu leikkaa.;Literally: Luckily somebody's rutabaga cuts., Meaning: Luckily someone gets it.;Szerencse, hogy valakinek sikerül.
Hänen käytöksensä otti kaaliin alusta lähtien.;Literally: His behavior took to the cabbage from the beginning., Meaning: His behavior annoyed, vexed from the beginning.;A viselkedése az elejétől kezdve bosszantott.
Turhaa vetää herneitä nenään asiasta.;Literally: Pointless to pull peas into the nose about it., Meaning: Pointless to get all worked up about it.;Felesleges idegeskedni miatta.
Se on sillä sipuli.;Literally: It's onion by that., Meaning: That's solved then, that's clear then.;Ez az, most már tiszta a helyzet.
Maksetaan potut pottuina.;Literally: Potatoes are paid for with potatoes., Meaning: Pay back in the same way.;Amit adtál, ugyanúgy kapod vissza.
