
Finnish;English;Hungarian
maapallo;Earth;Föld
Yhdistyneet kansakunnat (YK);United Nations (UN);Egyesült Nemzetek (ENSZ)
miljardi;billion;milliárd
elinikä;lifespan;élettartam
keskimääräinen;average;átlagos
pääsihteeri;Secretary-General;főtitkár
terveydenhoito;healthcare;egészségügy
hygienia;hygiene;higiénia
luonnonvarat;natural resources;természeti erőforrások
väestönkasvu;population growth;népességnövekedés
epätasaisesti;unevenly;egyenetlenül
vähentyä;to decrease;csökkenni
Afrikka;Africa;Afrika
Aasia;Asia;Ázsia
väkiluku;population count;népességszám
lapsi;child;gyermek
kasvaa;to grow;nőni
syntyä;to be born;születni
väestö;population;népesség
ruoka;food;étel
aiheuttaa;to cause;okozni
elää;to live;élni
jakautua;to be distributed;megoszlani
parantua;to improve;javulni
kestää;to last;tartani
pidentyä;to lengthen;meghosszabbodni
muuttua;to change;változni
ennen;before;előtt
nykyään;nowadays;manapság
kuitenkin;however;azonban
hieman;slightly;kissé
paljon;a lot;sok
varma;certain;biztos
ongelma;problem;probléma
maailma;world;világ
lasku;decline;csökkenés
nyt;now;most
enemmän;more;több
vähemmän;less;kevesebb
edelleen;still;továbbra is
syntyvyys;birth rate;születési arány
