Finnish;English;Hungarian
Huoneen osat;Parts of a room;Szoba részei
lattia;floor;padló
katto;roof;teto
seinä;wall;fal
ulkoseinä;outer wall;külső fal
väliseinä;partition wall;válaszfal
ikkuna;window;ablak
ovi;door;ajtó
nurkka;corner;sarok
tapetti;wallpaper;tapéta
Keittiö;Kitchen;Konyha
pakastin;freezer;fagyasztó
jääkaappi;fridge;hűtő
pakastelokero;freezer compartment;fagyasztófiók
tiskiallas;kitchen sink;mosogató
tiskiaine;washing-up liquid;mosogatószer
vesihana;water tap;vízcsap
talouspaperirulla;kitchen roll;papírtörlő tekercs
liesi, hella;stove;tűzhely
uuni;oven;sütő
keittolevyt;cooking hobs;főzőlap
uuniritilä;oven grid;sütőrács
astianpesukone;dish washing machine;mosogatógép
tiskikone;dishwasher;mosogatógép (beszélt)
keittiön pöytä;kitchen table;konyhaasztal
talouspaperi;kitchen towel;papírtörlő
mikroaaltouuni;microwave oven;mikrohullámú sütő
mikro;microwave;mikró
kuivauskaappi;drying cabinet;szárítószekrény
astiasto;tableware, china;étkészlet
aterimet;cutlery;evőeszközök
palohälytin;fire alarm;tűzjelző
liesituuletin;kitchen hood;szagelszívó
astiakaappi;cupboard;tálalószekrény
tupakeittiö;kitchen-living room;amerikai konyha
työtaso;worktop;munkalap
jääkaappipakastin;fridge-freezer;kombinált hűtő
keittiökaappi;kitchen cupboard;konyhaszekrény
jakkara;stool;sámli
verhot;curtains;függöny
vetolaatikko;drawer;fiók
Olohuone;Living room;Nappali
jalkalamppu;floor lamp;állólámpa
kahvipöytä;coffee table;dohányzóasztal
kirjahylly;book case;könyvespolc
lepotuoli;recliner;nyugágyfotel
maalaus;painting;festmény
maljakko;vase;váza
matto;rug;szőnyeg
nojatuoli;armchair;fotel
pölynimuri;vacuum cleaner;porszívó
seinäkello;wall clock;fali óra
sohva;couch;kanapé
sohvatyyny;sofa cushion;díszpárna
takka;fireplace;kandalló
televisio;television;tévé
Makuuhuone;Bedroom;Hálószoba
herätyskello;alarm clock;ébresztőóra
hylly;shelf;polc
lakana;sheet;lepedő
lipasto;dresser;komód
parisänky;double bed;franciaágy
patja;mattress;matrac
peitto;blanket;takaró
päiväpeite;bedspread;ágytakaró
sänky;bed;ágy
tietokone;computer;számítógép
tyyny;pillow;párna
tyynyliina;pillowcase;párnahuzat
untuvapeitto;duvet;pehelypaplan
vaatekaappi;wardrobe;ruhásszekrény
yölamppu;bedside lamp;éjjeli lámpa
yöpaita;nightgown;hálóing
yöpöytä;bedside table;éjjeliszekrény
Kylpyhuone;Bathroom;Fürdőszoba
kylpyamme;bath tub;kád
suihku;shower;zuhany
vessa;toilet;WC
vessanpönttö;toilet bowl;vécécsésze
vessaistuin;toilet seat;vécéülőke
vessapaperi;toilet paper;vécépapír
pesuallas, lavuaari;washbasin, sink;mosdó
peili;mirror;tükör
kokovartalopeili;full-length mirror;állótükör
saippua;soap;szappan
pesukone;washing machine;mosógép
pyykkikori;laundry basket;szennyeskosár
suihkuverho;shower curtain;zuhanyfüggöny
pyyhe;towel;törülköző
pyyhkeet;towels;törölközők
pyyhekaappi;towel cabinet;törölközős szekrény
vieraspyyhe;guest towel;vendégtörülköző
kylpypyyhe;bath towel;fürdőlepedő
bidee;bidet;bidé
pesusieni;bath sponge;fürdőszivacs
pyyhetanko;towel rail;törülközőtartó
saippuakuppi;soap dish;szappantartó
tulppa;bath plug;dugó
viemäriaukko;plug hole;lefolyó
