Finnish;English;Hungarian
ruskeatukkainen nainen; a brown-haired woman; barna hajú nő
harmaatukkainen vanhus; a grey-haired senior citizen; ősz hajú idős ember
tuuheatukkainen mies; a thick-haired man; dús hajú férfi
vaaleatukkainen tyttö; a blonde-haired girl; szőke hajú lány
tummatukkainen kaunotar; a dark-haired beauty; sötét hajú szépség
punatukkainen näyttelijä; a red-haired actor; vörös hajú színész
valkotukkainen isoäiti; a white-haired grandmother; fehér hajú nagymama
kiharatukkainen lapsi; a curly-haired child; göndör hajú gyerek
lyhyttukkainen kaveri; a short-haired guy; rövid hajú srác
pitkätukkainen opettaja; a long-haired teacher; hosszú hajú tanár
ohuttukkainen vaari; a thin-haired grandpa; ritkás hajú nagypapa
pörrötukkainen poika; a fluffy-haired boy; borzas hajú fiú
harmaahiuksinen poliitikko; a grey-haired politician; ősz hajú politikus
vaaleahiuksinen myyjä; a blonde-haired salesperson; szőke hajú eladó
hopeahiuksinen rouva; a silver-haired lady; ezüst hajú asszony
suorahiuksinen malli; a straight-haired model; egyenes hajú modell
lyhythiuksinen koululainen; a short-haired pupil; rövid hajú iskolás
pitkähiuksinen prinsessa; a long-haired princess; hosszú hajú hercegnő
kiharakarvainen terrieri; a curly-haired terrier; göndör szőrű terrier
lyhytkarvainen kaniini; a short-haired rabbit; rövid szőrű nyúl
sileäkarvainen noutaja; a flat-coated retriever; sima szőrű retriever
pitkäkarvainen angorakissa; a long-haired Angora cat; hosszú szőrű angóra macska
kiiltäväkarvainen kissa; a shiny-haired cat; fényes szőrű macska
pörrökarvainen koira; a fluffy-haired dog; bozontos szőrű kutya
karkeakarvainen kettuterrieri; a coarse-haired fox terrier; drótszőrű foxterrier
tuuheaturkkinen vahtikoira; a thick-haired watchdog; dús szőrű őrkuty
kiharaturkkinen villakoira; a curly-haired poodle; göndör szőrű uszkár
pehmeäturkkinen eläin; a soft-coated animal; puha szőrű állat
lyhytjalkainen mäyräkoira; a short-legged dachshund; rövid lábú tacskó
pitkäjalkainen koripalloilija; a long-legged basketball player; hosszú lábú kosárlabdázó
nopeajalkainen pelaaja; a fast-legged player; gyors lábú játékos
kankeajalkainen ukko; a stiff-legged old man; merev lábú öreg
kaksijalkainen eläin; a two-legged, biped animal; két lábú állat
kolmijalkainen jakkara; a three-legged stool; három lábú zsámoly
nelijalkainen eläin; a four-legged animal; négy lábú állat
puujalkainen merimies; a wooden-legged sailor; falábú tengerész
lättäjalkainen / lattajalkainen lapsi; a flatfooted child; lúdtalpas gyerek
pitkäkoipinen kaveri; a spindle-legged, long-legged guy; hosszú lábú srác
kapeahartiainen / kapeaharteinen mies; a narrow-shouldered man; kesken vállú férfi
leveähartiainen lurjus; a broad-shouldered rascal; széles vállú gazember
kumaraselkäinen herrasmies; a stooped gentleman; görnyedt hátú úriember
kyttyräselkäinen mies; a humpbacked man; púpos férfi
kyyryselkäinen vanhus; a hunchbacked elderly person; hajlott hátú idős ember
suoraselkäinen tuoli; a straight-backed chair; egyenes támlájú szék
avoselkäinen mekko; an open-backed dress; kivágott hátú ruha
korkeaselkäinen tuoli; a high backed chair; magas támlájú szék
nahkaselkäinen kirja; a leather-backed book; bőr kötésű könyv
pyöreänaamainen taapero; a round-faced toddler; kerek arcú totyogó
kuunaamainen peikko; a moon-faced goblin; holdképű kobold
finninaamainen nuorukainen; a pimple-faced youngster; pattanásos arcú ifjú
kurttunaamainen sihteeri; a wrinkle-faced secretary; ráncos arcú titkárnő
pokerinaamainen diplomaatti; a poker-faced diplomat; pókerarcú diplomata
hevosnaamainen näyttelijä; a horse-faced actor; lóarcú színész
kapeakasvoinen nainen; a narrow-faced woman; kesken arcú nő
pitkäkasvoinen kampaaja; a long-faced hairdresser; hosszúkás arcú fodrász
pulleakasvoinen vauva; a plump-faced baby; pufók arcú baba
punakasvoinen mies; a red-faced man; pirospozsgás férfi
pyöreäkasvoinen hoitaja; a round-faced nurse; kerek arcú ápolónő
soikeakasvoinen tyttö; an oval-faced girl; ovális arcú lány
kalpeakasvoinen potilas; a pale-faced patient; sápadt arcú beteg
vakavakasvoinen poliisi; a serious-faced policeman; komoly arcú rendőr
kaksikasvoinen ihminen; a two-faced person; kétszínű ember
terävänenäinen noita-akka; a sharp-nosed witch; hegyes orrú boszorkány
punanenäinen nainen; a red-nosed woman; piros orrú nő
lättänenäinen nyrkkeilijä; a flat-nosed boxer; lapos orrú bokszoló
kyömynenäinen mies; a hook-nosed man; kampós orrú férfi
pystynenäinen tyttö; a girl with an upturned nose; pisze orrú lány
tylppäkuonoinen koirarotu; a blunt-nosed dog breed; tompa orrú kutyafajta
koukkunokkainen kotka; a hook-billed eagle; horgas csőrű sas
käyränokkainen lintu; a curve-billed bird; görbe csőrű madár
pitkänokkainen lintu; a long-billed bird; hosszú csőrű madár
keltahampainen tupakoija; a yellow-toothed smoker; sárga fogú dohányos
harvahampainen suu; a sparsely toothed mouth; hézagos fogazatú száj
terävähampainen peto; a sharp-toothed beast; éles fogú vadállat
luppakorvainen koiranpentu; a lop-eared puppy; lógó fülű kölyökkutya
pystykorvainen koirarotu; an upright-eared dog breed; álló fülű kutyafajta
tupsukorvainen orava; a tassel-eared squirrel; pamacs fülű mókus
harmaasilmäinen vieras; a gray-eyed guest; szürke szemű vendég
ruskeasilmäinen lapsi; a brown-eyed child; barna szemű gyerek
punasilmäinen kaniini; a red-eyed rabbit; piros szemű nyúl
sinisilmäinen lapsi; a blue-eyed child (also naive); kék szemű gyerek (hiszékeny)
mustasilmäinen sankari; a black-eyed hero; fekete szemű hős
vihreäsilmäinen kaunotar; a green-eyed beauty; zöld szemű szépség
tummasilmäinen nuorukainen; a dark-eyed youth; sötét szemű ifjú
suurisilmäinen lapsi; a big-eyed child; nagy szemű gyermek
nappisilmäinen pikkupoika; a button-eyed slip of a boy; gombszemű kisfiú
