Finnish;English
hyönteinen;insect
ötökkä;bug
kärpänen;fly
hyttynen, sääski;mosquito
perhonen;butterfly
ampiainen;wasp
mehiläinen;bee
kimalainen;bumblebee
paarma;horsefly
kovakuoriainen;beetle
leppäkerttu;ladybug
sudenkorento;dragonfly
heinäsirkka;grasshopper
muurahainen;ant
hämähäkki;spider
mato;worm
punkki;tick
kirppu;flea
täi;louse
lude;bedbug
torakka;cockroach
satiainen;groin louse
loinen;parasite
syöpäläiset;vermin
toukka;larva
verkkosilmät;compound eyes
siipi;wing
pölyttäjä;pollinator
munia;to lay eggs
parvi;swarm
kuningatar;queen
kuhnuri;drone
siitepöly;pollen
tuntosarvet;antennae
mehiläisyhdyskunta;bee colony
mehiläispesä;beehive
hunajakenno;honeycomb
parveilu;swarming
muurahaiskeko;ant hill
