French;French (phonetic);Finnish;Hungarian
yaourt;ja.uʁ;tai;joghurt
yoyo;jojo;yo-yo;jojó
les yeux;lezjø;silmät;szemek
yacht;jat;jahti;jacht
voyage;vwajaʒ;matka;utazás
payer;paje;maksaa;fizetni
essayer;eseje;yrittää;próbálni
pays;pei;maa;ország
paysage;peizaʒ;maisema;táj
abbaye;abɛi;luostari;apátság
étudier;etydje;opiskella;tanulni
bien;bjɛ̃;hyvin;jól
hier;ijɛʁ;eilen;tegnap
piano;pjanɔ;piano;zongora
rien;ʁjɛ̃;ei mitään;semmi
avion;avjɔ̃;lentokone;repülőgép
studio;stydjo;studio;stúdió
décision;desizjɔ̃;päätös;döntés
ail;aj;valkosipuli;fokhagyma
l'oeil;lœj;silmä;szem
soleil;sɔlɛj;aurinko;nap
travail;tʁavaj;työ;munka
conseil;kɔ̃sɛj;neuvo;tanács
fille;fij;tyttö;lány (lány) - lány
paille;paj;olkikorsi, pilli;szalma, szívószál
billet;bijɛ;lippu;jegy
gentille;ʒɑ̃tij;mukava (nainen);kedves (lány) - lány
travaille;tʁavaj ;työskentelee;dolgozik
brillant;bʁijɑ̃;loistava;ragyogó
ville;vil;kaupunki;város
village;vilaʒ;kylä;falu
mille;mil;tuhat;ezret
million;mijɔ̃;miljoona;millió
