Finnish;English;Hungarian
aikuiskoulutuskeskus;adult education center;felnőttoktatási központ
aikuislukio;high school for adults;felnőtt gimnázium
alkeiskurssi;elementary course;alapfokú tanfolyam
ammatillinen aikuiskoulutus;professional adult education;szakmai felnőttképzés
ammattikorkeakoulu;university of applied sciences;alkalmazott tudományok egyeteme
ammattikoulu;trade school;szakiskola
erityisopetus;special education;speciális oktatás
esikoulu (spoken: eskari);preschool (for 6 year olds);iskola-előkészítő (óvoda utolsó éve)
jatkokurssi;intermediate course;középhaladó tanfolyam
korkeakoulu;university (general);felsőoktatási intézmény
koulu;school;iskola
koulutus;education;oktatás
kurssi;course;tanfolyam
leikkikoulu;playschool;játszóház
lukio;high school;gimnázium
oppilaitos;academy;oktatási intézmény
peruskoulu;primary school;általános iskola
poliisiammattikorkeakoulu;police academy;rendőrtisztképző főiskola
päiväkoti;kindergarten (below 6);óvoda
sisäoppilaitos;boarding school;bentlakásos iskola
yhteiskoulu;co-educational school;vegyes iskola
yksityiskoulu;private school;magániskola
yliopisto;university;egyetem
dekaani;dean;dékán
dosentti;docent;habilitált oktató
kasvattaja;educator;nevelő
koulunkäyntiavustaja;school attendance assistant;iskolai asszisztens
koululainen;schoolchild;iskolás
kouluttaja;instructor;oktató
lastentarhanopettaja;kindergarten teacher;óvónő
liikunnanopettaja;PE teacher;testnevelő tanár
luennoitsija, lehtori;lecturer;előadó
luokanvalvoja;homeroom teacher;osztályfőnök
luokkakaveri;classmate;osztálytárs
opettaja;teacher;tanár
opiskelija;student;egyetemista (hallgató)
oppilas;pupil;diák
rehtori;principal;igazgató
seiskaluokkalainen;seventh-grader;hetedikes
sijainen;substitute;helyettesítő tanár
ylioppilas;secondary school graduate;érettségizett
yliopisto-opiskelija;university student;egyetemi hallgató
dokumenttikamera;document camera;vizuálgé (dokumentumkamera)
koulukirja;study book;tankönyv
kynä;pen;toll
liitu;chalk;kréta
lyijykynä;pencil;ceruza
laskin;calculator;számológép
mustataulu, valkotaulu, taulu;blackboard, whiteboard, board;tábla
oppimateriaalit;learning materials;tananyag
paperi;paper;papír
penaali;pencil case;tolltartó
projektori, tykki;projector;vetítő
(pyyhe)kumi;eraser;radír
ruutupaperi;squared paper;kockás papír
sanakirja;dictionary;szótár
teroitin;pencil-sharpener;hegyező
värikynä;colored pencil;színes ceruza
aine, oppiaine;school subject;tantárgy
biologia;biology;biológia
elämänkatsomustieto;ethics;erkölcstan
fysiikka;physics;fizika
historia;history;történelem
kemia;chemistry;kémia
kotitalous;domestic science;háztartástan
kuvataide;visual arts;képzőművészet
käsityö;handicraft;kézimunka
liikunta;physical education;testnevelés
maantieto;geography;földrajz
matematiikka;mathematics;matematika
musiikki;music;zene
terveystieto;health education;egészségtan
toinen kotimainen kieli;other official language (Finnish / Swedish);második hivatalos nyelv
uskonto;religion;vallás
vieraat kielet;foreign languages;idegen nyelvek
