Finnish;English;hungarian
Minulla on paljon hyviä ystäviä.;I have a lot of good friends.;Nagyon sok jó barátom van.
Metsässä on paljon puita.;There are a lot of trees in the forest.;Sok fa van az erdőben.
Maija on ostanut paljon vaatteita.;Maija has bought a lot of clothes.;Maija sok ruhát vett.
Monet ihmiset myöhästyvät.;Many people will be late.;Sokan késnek.
Torilla on ihmisiä.;There are people on the market.;Emberek vannak a téren.
Ostan omenoita.;I buy apples.;veszek almát.
Ostan perunoita.;I buy potatoes.;burgonyát veszek.
Metsässä on pieniä eläimiä.;There are small animals in the forest.;Kis állatok vannak az erdőben.
Syön mansikoita.;I eat strawberries.;epret eszek.
Hän on ollut Suomessa vuosia.;She's been in Finland for years.;Évek óta Finnországban van.
Hän oli sairaslomalla kuukausia.;He was on sickness leave for months.;Hónapokig betegszabadságon volt.
Hän oli kadoksissa useita päiviä.;She was missing for several days.;Több napig eltűnt.
Festareissa oli satoja naisia.;At the festival were hundreds of women.;Nők százai voltak a bulikon.
Hän käveli kymmeniä kilometrejä.;She walked tens of kilometers.;Több tíz kilométert gyalogolt.
Tokiossa asuu tuhansia ihmisiä.;Thousands of people live in Tokyo.;Több ezer ember él Tokióban.
Miehet ovat komeita.;The men are handsome.;A férfiak jóképűek.
Me olimme väsyneitä.;We were tired.;Fáradtak voltunk.
Mansikat olivat tuoreita.;The strawberries were fresh.;Az eper friss volt.
Ihmiset olivat hiljaisia kirkossa.;The people were quiet in church.;Az emberek csendben voltak a templomban.
En osta uusia kenkiä.;I don't buy new shoes.;Nem veszek új cipőt.
Me emme avaa ikkunoita talvella.;We don't open windows in winter.;Télen nem nyitunk ablakot.
Antti ei halunnut syödä lättyjä.;Antti didn't want to eat pancakes.;Antti nem akart laposkenyeret enni.
Ari ei ymmärrä ulkomaalaisia.;Ari doesn't understand foreigners.;Ari nem érti a külföldieket.
Minä rakastan suklaata.;I love chocolate.;Imádom a csokoládét.
Sinä odotat bussia.;You're waiting for the bus.;A buszra vársz.
Hän pelaa tennistä.;He plays tennis.;Teniszezik.
Minä pelkään pimeää.;I'm afraid of the dark.;Félek a sötéttől.
Te opiskelette suomea.;You are studying Finnish.;Ti finn nyelvet tanultok.
Me autamme häntä.;We help him.;Mi segítünk neki.
Minä rakastan makeisia.;I love sweets.;Imádom az édességeket.
Sinä odotat kavereita.;You're waiting for friends.;Barátokat vársz.
Hän pelaa tietokonepelejä.;He plays computer games.;Számítógépes játékokkal játszik.
Me pelkäämme hevosia.;We are afraid of horses.;Félünk a lovaktól.
Te opiskelette reaaliaineita.;You study science.;Ti reáltárgyakat tanultok.
Autamme kodittomia ihmisiä.;We help homeless people.;Hajléktalanokat segítünk.
Ruusut ovat kauniita.;Roses are beautiful.;Gyönyörűek a rózsák.
Mä ostan ruusuja.;I buy roses.;Rózsát veszek.
Opiskelijat ovat mukavia.;Students are nice.;Kedvesek a diákok.
Mä opetan mukavia opiskelijoita.;I teach nice students.;Kedves diákokat tanítok.
Miehet istuvat kahvilassa.;The men are sitting in the cafeteria.;A férfiak egy kávézóban ülnek.
Kahvilassa istuu miehiä.;There are men sitting in the cafeteria.;Férfiak ülnek a kávézóban.

