Finnish;English;Hungarian
Afganistan;Afghanistan;Afganisztán
(Olen kotoisin) Afganistanista.;I am from Afghanistan.;Afganisztánból származom.
Albania;Albania;Albánia
(Olen kotoisin) Albaniasta.;I am from Albania.;Albániából származom.
Algeria;Algeria;Algéria
(Olen kotoisin) Algeriasta.;I am from Algeria.;Algériából származom.
Angola;Angola;Angola
(Olen kotoisin) Angolasta.;I am from Angola.;Angolából származom.
Argentiina;Argentina;Argentína
(Olen kotoisin) Argentiinasta.;I am from Argentina.;Argentínából származom.
Armenia;Armenia;Örményország
(Olen kotoisin) Armeniasta.;I am from Armenia.;Örményországból származom.
Australia;Australia;Ausztrália
(Olen kotoisin) Australiasta.;I am from Australia.;Ausztráliából származom.
Itävalta;Austria;Ausztria
(Olen kotoisin) Itävallasta.;I am from Austria.;Ausztriából származom.
(Olen kotoisin) Azerbaidžanista.;I am from Azerbaijan.;Azerbajdzsánból származom.
Bahrain;Bahrain;Bahrein
(Olen kotoisin) Bahrainista.;I am from Bahrain.;Bahreinből származom.
Bangladesh;Bangladesh;Banglades
(Olen kotoisin) Bangladeshista.;I am from Bangladesh.;Bangladesből származom.
Valko-Venäjä;Belarus;Fehéroroszország
(Olen kotoisin) Valko-Venäjältä.;I am from Belarus.;Fehéroroszországból származom.
Belgia;Belgium;Belgium
(Olen kotoisin) Belgiasta.;I am from Belgium.;Belgiumból származom.
Belize;Belize;Belize
(Olen kotoisin) Belizestä.;I am from Belize.;Belize-ből származom.
Benin;Benin;Benin
(Olen kotoisin) Beninistä.;I am from Benin.;Beninből származom.
Bhutan;Bhutan;Bhután
(Olen kotoisin) Bhutanista.;I am from Bhutan.;Bhutánból származom.
Bolivia;Bolivia;Bolívia
(Olen kotoisin) Boliviasta.;I am from Bolivia.;Bolíviából származom.
Bosnia ja Hertsegovina;Bosnia and Herzegovina;Bosznia-Hercegovina
(Olen kotoisin) Bosnia ja Hertsegovinasta.;I am from Bosnia and Herzegovina.;Bosznia-Hercegovinából származom.
Botswana;Botswana;Botswana
(Olen kotoisin) Botswanasta.;I am from Botswana.;Botswanából származom.
Brasilia;Brazil;Brazília
(Olen kotoisin) Brasiliasta.;I am from Brazil.;Brazíliából származom.
Brunei;Brunei;Brunei
(Olen kotoisin) Bruneista.;I am from Brunei.;Bruneiból származom.
Bulgaria;Bulgaria;Bulgária
(Olen kotoisin) Bulgariasta.;I am from Bulgaria.;Bulgáriából származom.
Burkina Faso;Burkina Faso;Burkina Faso
(Olen kotoisin) Burkina Fasosta.;I am from Burkina Faso.;Burkina Fasóból származom.
Burundi;Burundi;Burundi
(Olen kotoisin) Burundista.;I am from Burundi.;Burundiból származom.
Kambodža;Cambodia;Kambodzsa
(Olen kotoisin) Kambodžasta.;I am from Cambodia.;Kambodzsából származom.
Kamerun;Cameroon;Kamerun
(Olen kotoisin) Kamerunista.;I am from Cameroon.;Kamerunból származom.
Kanada;Canada;Kanada
(Olen kotoisin) Kanadasta.;I am from Canada.;Kanadából származom.
Kap Verde;Cape Verde;Zöld-foki Köztársaság
(Olen kotoisin) Kap Verdestä.;I am from Cape Verde.;Zöld-foki Köztársaságból származom.
Keski-Afrikan tasavalta;Central African Republic;Közép-afrikai Köztársaság
(Olen kotoisin) Keski-Afrikan tasavallasta.;I am from the Central African Republic.;Közép-afrikai Köztársaságból származom.
Tšad;Chad;Csád
(Olen kotoisin) Tšadista.;I am from Chad.;Csádból származom.
Chile;Chile;Chile
(Olen kotoisin) Chilestä.;I am from Chile.;Chiléből származom.
Kiina;China;Kína
(Olen kotoisin) Kiinasta.;I am from China.;Kínából származom.
Kolumbia;Colombia;Kolumbia
(Olen kotoisin) Kolumbiasta.;I am from Colombia.;Kolumbiából származom.
Komorit;Comoros;Komor-szigetek
(Olen kotoisin) Komoreilta.;I am from Comoros.;Komor-szigetekről származom.
Costa Rica;Costa Rica;Costa Rica
(Olen kotoisin) Costa Ricasta.;I am from Costa Rica.;Costa Ricából származom.
Kroatia;Croatia;Horvátország
(Olen kotoisin) Kroatiasta.;I am from Croatia.;Horvátországból származom.
Kuuba;Cuba;Kuba
(Olen kotoisin) Kuubasta.;I am from Cuba.;Kubából származom.
Kypros;Cyprus;Ciprus
(Olen kotoisin) Kyprokselta / Kyproksesta.;I am from Cyprus.;Ciprusról származom.
Kongon demokraattinen tasavalta;Democratic Republic of the Congo;Kongói Demokratikus Köztársaság
(Olen kotoisin) Kongon demokraattisesta tasavallasta.;I am from the Democratic Republic of the Congo.;Kongói Demokratikus Köztársaságból származom.
Tanska;Denmark;Dánia
(Olen kotoisin) Tanskasta.;I am from Denmark.;Dániából származom.
Djibouti;Djibouti;Dzsibuti
(Olen kotoisin) Djiboutista.;I am from Djibouti.;Dzsibutiból származom.
Dominikaaninen tasavalta;Dominican Republic;Dominikai Köztársaság
(Olen kotoisin) Dominikaanisesta tasavallasta.;I am from the Dominican Republic.;Dominikai Köztársaságból származom.
Itä-Timor;East Timor;Kelet-Timor
(Olen kotoisin) Itä-Timorista.;I am from East Timor.;Kelet-Timorból származom.
Ecuador;Ecuador;Ecuador
(Olen kotoisin) Ecuadorista.;I am from Ecuador.;Ecuadorból származom.
Egypti;Egypt;Egyiptom
(Olen kotoisin) Egyptistä.;I am from Egypt.;Egyiptomból származom.
El Salvador;El Salvador;El Salvador
(Olen kotoisin) El Salvadorista.;I am from El Salvador.;El Salvadorból származom.
Päiväntasaajan Guinea;Equatorial Guinea;Egyenlítői-Guinea
(Olen kotoisin) Päiväntasaajan Guineasta.;I am from Equatorial Guinea.;Egyenlítői-Guineából származom.
Eritrea;Eritrea;Eritrea
(Olen kotoisin) Eritreasta.;I am from Eritrea.;Eritreából származom.
Viro;Estonia;Észtország
(Olen kotoisin) Virosta.;I am from Estonia.;Észtországból származom.
Swazimaa;Eswatini;Szváziföld
(Olen kotoisin) Swazimaasta.;I am from Eswatini.;Szváziföldről származom.
Etiopia;Ethiopia;Etiópia
(Olen kotoisin) Etiopiasta.;I am from Ethiopia.;Etiópiából származom.
Fidži;Fiji;Fidzsi
(Olen kotoisin) Fidžiltä / Fidžistä.;I am from Fiji.;Fidzsiről származom.
Suomi;Finland;Finnország
(Olen kotoisin) Suomesta.;I am from Finland.;Finnországból származom.
Ranska;France;Franciaország
(Olen kotoisin) Ranskasta.;I am from France.;Franciaországból származom.
Gabon;Gabon;Gabon
(Olen kotoisin) Gabonista.;I am from Gabon.;Gabonból származom.
Gambia;Gambia;Gambia
(Olen kotoisin) Gambiasta.;I am from Gambia.;Gambiából származom.
Georgia;Georgia;Grúzia
(Olen kotoisin) Georgiasta.;I am from Georgia.;Grúziából származom.
Saksa;Germany;Németország
(Olen kotoisin) Saksasta.;I am from Germany.;Németországból származom.
Ghana;Ghana;Ghána
(Olen kotoisin) Ghanasta.;I am from Ghana.;Ghánából származom.
Kreikka;Greece;Görögország
(Olen kotoisin) Kreikasta.;I am from Greece.;Görögországból származom.
Grenada;Grenada;Grenada
(Olen kotoisin) Grenadasta.;I am from Grenada.;Grenadából származom.
Guatemala;Guatemala;Guatemala
(Olen kotoisin) Guatemalasta.;I am from Guatemala.;Guatemalából származom.
Guinea;Guinea;Guinea
(Olen kotoisin) Guineasta.;I am from Guinea.;Guineából származom.
Guinea-Bissau;Guinea-Bissau;Bissau-Guinea
(Olen kotoisin) Guinea-Bissausta.;I am from Guinea-Bissau.;Bissau-Guineából származom.
Guyana;Guyana;Guyana
(Olen kotoisin) Guyanasta.;I am from Guyana.;Guyanából származom.
Haiti;Haiti;Haiti
(Olen kotoisin) Haitista.;I am from Haiti.;Haitiból származom.
Honduras;Honduras;Honduras
(Olen kotoisin) Hondurasista.;I am from Honduras.;Hondurasból származom.
Unkari;Hungary;Magyarország
(Olen kotoisin) Unkarista.;I am from Hungary.;Magyarországról származom.
Islanti;Iceland;Izland
(Olen kotoisin) Islannista.;I am from Iceland.;Izlandról származom.
Intia;India;India
(Olen kotoisin) Intiasta.;I am from India.;Indiából származom.
Indonesia;Indonesia;Indonézia
(Olen kotoisin) Indonesiasta.;I am from Indonesia.;Indonéziából származom.
Iran;Iran;Irán
(Olen kotoisin) Iranista.;I am from Iran.;Iránból származom.
Irak;Iraq;Irak
(Olen kotoisin) Irakista.;I am from Iraq.;Irakból származom.
Irlanti;Ireland;Írország
(Olen kotoisin) Irlannista.;I am from Ireland.;Írországból származom.
Israel;Israel;Izrael
(Olen kotoisin) Israelista.;I am from Israel.;Izraelből származom.
Italia;Italy;Olaszország
(Olen kotoisin) Italiasta.;I am from Italy.;Olaszországból származom.
Norsunluurannikko;Ivory Coast;Elefántcsontpart
(Olen kotoisin) Norsunluurannikolta.;I am from Ivory Coast.;Elefántcsontpartról származom.
Jamaika;Jamaica;Jamaika
(Olen kotoisin) Jamaikalta / Jamaikasta.;I am from Jamaica.;Jamaicából származom.
Japani;Japan;Japán
(Olen kotoisin) Japanista.;I am from Japan.;Japánból származom.
Jordania;Jordan;Jordánia
(Olen kotoisin) Jordaniasta.;I am from Jordan.;Jordániából származom.
Kazakstan;Kazakhstan;Kazahsztán
(Olen kotoisin) Kazakstanista.;I am from Kazakhstan.;Kazahsztánból származom.
Kenia;Kenya;Kenya
(Olen kotoisin) Keniasta.;I am from Kenya.;Kenyából származom.
Kiribati;Kiribati;Kiribati
(Olen kotoisin) Kiribatista.;I am from Kiribati.;Kiribatiból származom.
Kosovo;Kosovo;Koszovó
(Olen kotoisin) Kosovosta.;I am from Kosovo.;Koszovóból származom.
Kuwait;Kuwait;Kuvait
(Olen kotoisin) Kuwaitista.;I am from Kuwait.;Kuvaitból származom.
Kirgistan;Kyrgyzstan;Kirgizisztán
(Olen kotoisin) Kirgistanista.;I am from Kyrgyzstan.;Kirgizisztánból származom.
Laos;Laos;Laosz
(Olen kotoisin) Laosista.;I am from Laos.;Laoszból származom.
Latvia;Latvia;Lettország
(Olen kotoisin) Latviasta.;I am from Latvia.;Lettországból származom.
Libanon;Lebanon;Libanon
(Olen kotoisin) Libanonista.;I am from Lebanon.;Libanonból származom.
Lesotho;Lesotho;Lesotho
(Olen kotoisin) Lesothosta.;I am from Lesotho.;Lesothóból származom.
Liberia;Liberia;Libéria
(Olen kotoisin) Liberiasta.;I am from Liberia.;Libériából származom.
Liechtenstein;Liechtenstein;Liechtenstein
(Olen kotoisin) Liechtensteinista.;I am from Liechtenstein.;Liechtensteinből származom.
Liettua;Lithuania;Litvánia
(Olen kotoisin) Liettuasta.;I am from Lithuania.;Litvániából származom.
Luxemburg;Luxembourg;Luxemburg
(Olen kotoisin) Luxemburgista.;I am from Luxembourg.;Luxemburgból származom.
Madagaskar;Madagascar;Madagaszkár
(Olen kotoisin) Madagaskarilta / Madagaskarista.;I am from Madagascar.;Madagaszkárról származom.
Malawi;Malawi;Malawi
(Olen kotoisin) Malawista.;I am from Malawi.;Malawiból származom.
Malesia;Malaysia;Malajzia
(Olen kotoisin) Malesiasta.;I am from Malaysia.;Malajziából származom.
Malediivit;Maldives;Maldív-szigetek
(Olen kotoisin) Malediiveilta.;I am from Maldives.;Maldív-szigetekről származom.
Mali;Mali;Mali
(Olen kotoisin) Malista.;I am from Mali.;Maliból származom.
Malta;Malta;Málta
(Olen kotoisin) Maltalta / Maltasta.;I am from Malta.;Máltáról származom.
Marshallinsaaret;Marshall Islands;Marshall-szigetek
(Olen kotoisin) Marshallinsaarilta.;I am from the Marshall Islands.;Marshall-szigetekről származom.
Mauritania;Mauritania;Mauritánia
(Olen kotoisin) Mauritaniasta.;I am from Mauritania.;Mauritániából származom.
Mauritius;Mauritius;Mauritius
(Olen kotoisin) Mauritiukselta / Mauritiuksesta.;I am from Mauritius.;Mauritiusból származom.
Meksiko;Mexico;Mexikó
(Olen kotoisin) Meksikosta.;I am from Mexico.;Mexikóból származom.
Mikronesia;Micronesia;Mikronézia
(Olen kotoisin) Mikronesiasta.;I am from Micronesia.;Mikronéziából származom.
Moldova;Moldova;Moldova
