Finnish;English;Hungarian
Kiitos paljon, paljon kiitokset;Thanks a lot!;Nagyon köszönöm!
Kiitos todella paljon!;Thank you very much!;Nagyon hálás vagyok!
Kiitti! Tänks! Tattis!;Thanks! (spoken language);Köszi! (szleng)
Sydämelliset kiitokset!;Heartfelt thanks!;Szívből jövő köszönet!
Lämmin kiitos!;Warm thank!;Meleg köszönet!
Lämpöiset kiitokset!;Warm thanks!;Szívélyes köszönet!
Tuhannet kiitokset!;Many thanks! ("thousands");Ezernyi köszönet!
Iso kiitos teille!;Big thanks to you!;Nagy köszönet nektek!
Kiitos oikein paljon!;Thanks very much!;Nagyon köszönöm szépen!
Suurkiitos!;Big thanks!;Nagy hálám!
Suurkiitokset!;Many thanks!;Rengeteg köszönet!
Kiitos ja kumarrus!;"Thanks and a bow" (my most humble thanks);Köszönet és meghajlás!
Kiitos, Matti!;Thanks, Matti!;Köszönöm, Matti!
Kiitos, kultaseni.;Thank you, darling.;Köszönöm, drágám!
Kiitos, arvoisa puhemies.;Thank you Mr President.;Köszönöm, tisztelt elnök úr!
Kiitos sinulle!;Thank you!;Köszönöm neked!
Kiitos sinulle, äiti!;Thank you, mother!;Köszönöm, anya!
Kiitos sulle! Kiitti sulle!;Thank you! (spoken);Köszi neked! (szleng)
Kiitos teille, ystävät!;Thank you, friends!;Köszönöm nektek, barátaim!
Lämmin kiitos teille!;Warm thanks to you!;Meleg köszönet nektek!
Kiitos teille kaikille!;Thank you all of you!;Köszönöm mindannyiótokat!
Kiitos teille jokaiselle!;Thanks to each of you!;Köszönet mindegyikőtöknek!
Suuri ja lämmin kiitos teille!;A big and warm thank you! (plural);Nagy és szívélyes köszönet nektek!
Kiitos teille kaikille avustanne!;Thanks to all of you for your help!;Köszönöm mindannyiótok segítségét!
Kiitos kaikille osallistujille!;Thanks to all the participants!;Köszönet minden résztvevőnek!
Kiitos kaikille ihanille asiakkaillemme!;Thanks to all our wonderful customers!;Köszönet minden csodás ügyfelünknek!
Kiitos kaikille työkavereille!;Thanks to all co-workers!;Köszönet minden munkatársnak!
Kiitos koko työryhmälle!;Thanks to the whole team!;Köszönet az egész csapatnak!
Iso kiitos koko tiimille!;A big thanks to the whole team!;Nagy köszönet az egész csapatnak!
Erityiskiitos Hannalle!;Special thanks to Hanna!;Külön köszönet Hannának!
Kiitos koko henkilökunnalle hyvästä hoidosta!;Thanks to the whole staff for the good care!;Köszönet az egész személyzetnek a jó ellátásért!
Kiitos kaikille kärsivällisyydestä!;Thanks to everyone for the patience!;Köszönet mindenkinek a türelemért!
Kiitos kahvista!;Thanks for the coffee!;Köszönöm a kávét!
Kiitos ruoasta!;Thanks for the food!;Köszönöm az ételt!
Kiitos lahjasta!;Thanks for the present!;Köszönöm az ajándékot!
