Finnish;English;Hungarian
Onko sinulla paljon vapaa-aikaa?;Do you have a lot of free time?;Van sok szabadidőd?
Onko sinulla riittävästi vapaa-aikaa?;Do you have enough free time?;Van elég szabadidőd?
Milloin sinulla on vapaa-aikaa?;When do you have free time?;Mikor van szabadidőd?
Minä päivänä sinulla on eniten vapaa-aikaa?;During what day do you have the most free time?;Melyik napon van a legtöbb szabadidőd?
Mitä teet vapaa-ajallasi?;What do you do in your spare time?;Mit csinálsz a szabadidődben?
Mitä teit lapsena vapaa-ajallasi?;What did you do in your free time as a child?;Mit csináltál gyerekkorodban a szabadidődben?
Miten vietät vapaa-aikaasi?;How do you spend your free time?;Hogyan töltöd a szabadidődet?
Missä vietät vapaa-aikaasi?;Where do you spend your free time?;Hol töltöd a szabadidődet?
Mitä haluaisit tehdä vapaa-ajallasi?;What would you like to do in your free time?;Mit szeretnél csinálni a szabadidődben?
Mitä haluaisit tehdä enemmän?;What would you like to do more?;Mit szeretnél többet csinálni?
Mitä haluaisit tehdä vähemmän?;What would you like to do less?;Mit szeretnél kevesebbet csinálni?
Mitä kaikkea voi tehdä vapaa-ajalla?;What things can one do in their free time?;Milyen dolgokat lehet csinálni szabadidőben?
Oletko vapaa-ajallasi mielelläsi yksin?;Do you like being alone in your free time?;Szeretsz egyedül lenni a szabadidődben?
Haluatko vapaa-ajallasi olla muiden kanssa?;Do you want to be with other people in your free time?;Szeretnél másokkal lenni a szabadidődben?
Onko sinulla harrastuksia?;Do you have any hobbies?;Vannak hobbijaid?
Mitä sinä harrastat nykyään?;What do you do for a hobby these days?;Mivel foglalkozol hobbiként mostanában?
Kuinka kauan olet harrastanut sitä?;How long have you done it as a hobby?;Mióta csinálod ezt hobbiként?
Mitä sinä harrastit lapsena?;What did you do for a hobby as a child?;Mit csináltál hobbiként gyerekként?
Mitä olet aiemmin harrastanut?;What have you done for a hobby in the past?;Mit csináltál korábban hobbiként?
Miksi lopetit harrastuksesi?;Why did you quit your hobby?;Miért hagytad abba a hobbidat?
Minkä harrastuksen haluaisit aloittaa?;Which hobby would you like to start?;Melyik hobbit szeretnéd elkezdeni?
Mitä et todellakaan haluaisi harrastaa?;What hobby would you absolutely not want to do?;Melyik hobbit egyáltalán nem szeretnéd csinálni?
Mitä sinun puolisosi harrastaa?;What does your partner do for a hobby?;Mit csinál a partnered hobbiként?
Mitä sinun lapsesi harrastaa?;What does your child do for a hobby?;Mit csinál a gyermeked hobbiként?
Mikä on sinun mielestäsi tylsä harrastus?;What do you consider a boring hobby?;Melyik hobbit találod unalmasnak?
Harrastatko mitään yhdessä perheesi kanssa?;Do you do any hobbies together with your family?;Csináltok valamit együtt a családoddal hobbiként?
Mitä harrastit ennen kuin muutit Suomeen?;What hobby did you have before you moved to Finland?;Mivel foglalkoztál hobbiként, mielőtt Finnországba költöztél?
Kuinka paljon aikaa käytät harrastuksiisi?;How much time do you spend on your hobbies?;Mennyi időt töltesz a hobbijaiddal?
Kuinka monta tuntia käytät harrastuksiisi?;How many hours do you spend on your hobbies?;Hány órát töltesz a hobbijaiddal?
Kuinka paljon rahaa käytät harrastuksiisi?;How much money do you spend on your hobbies?;Mennyi pénzt költesz a hobbijaidra?
Paljonko olet valmis maksamaan?;How much are you willing to spend?;Mennyit vagy hajlandó költeni?
Tee lista harrastuksista!;Make a list of hobbies!;Készíts egy listát a hobbikról!
Tee lista taiteellisista harrastuksista!;Make a list of artistic hobbies!;Készíts egy listát a művészi hobbikról!
Tee lista käsityöharrastuksista!;Make a list of craft hobbies!;Készíts egy listát a kézműves hobbikról!
Tee lista liikuntaharrastuksista!;Make a list of sports hobbies!;Készíts egy listát a sporthobbikról!
