Finnish;English;hungarian
Substantiiveja;Nouns;Főnevek
hämmästys;astonishment;csodálkozás
ihailu;admiration;csodálat
ilo;joy;öröm
intohimo;passion;szenvedély
itsevarmuus;confidence;bizalom
kiinnostus;interest;érdeklődés
kiitollisuus;gratitude;hála
kunnioitus;respect;tisztelet
mielihyvä;delight;Élvezet
myötätunto;sympathy;együttérzés
nautinto;pleasure;élvezet
onni;happiness, luck;szerencse
optimismi;optimism;optimizmus
rakkaus;love;szerelem
rohkeus;courage;bátorság
toivo;hope;remény
tyyneys;serenity;higgadtság
tyytyväisyys;satisfaction;elégedettség
yllätys;surprise;meglepetés
ällistys;amazement;ámulat
Adjektiiveja;Adjectives;Melléknevek
huvittunut;amused;vidám
hämmästynyt;amazed;csodálkozva
innostunut;excited;lelkes
intohimoinen;passionate;szenvedélyes
itsevarma;confident;magabiztos
kiinnostunut;interested;érdekelt
kiitollinen;thankful;hálás
myötätuntoinen;compassionate;könyörületes
optimistinen;optimistic;optimista
peloton;fearless;rettenthetetlen
rakastunut;in love;szerelmes
rohkea;brave;bátor
toiveikas;hopeful;bizakodó
tyyni;calm;nyugodt
tyytyväinen;satisfied;elégedett
yllättynyt;surprised;meglepődött
ylpeä;proud;büszke
ällistynyt;taken aback;megdöbbentett
Verbejä;Verbs;Igék
ajatella positiivisesti;to think positively;gondolkodj pozitívan
huvittaa;to feel amused;szórakoztat
hämmästyä;to be amazed;meglepődni
ihailla;to admire;csodál
iloita jostakin;to rejoice;örülni valaminek
innostua;to get excited;inspirálódni
kiinnostua;to get interested;érdeklődni
kunnioittaa;to respect;tisztelni
nauttia;to enjoy;van
rakastaa;to love;szerelmesnek lenni
toivoa;to hope;reménykedni
tuntea myötätuntoa;to feel sympathetic;empátiát érezni
yllättyä;to be surprised;megijeszt
Suomen kieli on intohimoni.;The Finnish language is my passion.;A finn nyelv a szenvedélyem.
Ihailen suomen kielen osaavia maahanmuuttajia.;I admire immigrants who know Finnish.;Csodálom azokat a bevándorlókat, akik tudnak finnül.
Minun huvittaa, kun joku yrittää sanoa “hääyöaie”.;I feel amused when someone tries to say “hääyöaie”.;Szórakoztat, ha valaki azt akarja mondani, hogy „lakodalmas éjszakai ajánlat”.
Olen rakastunut suomen kieleen.;I'm in love with the Finnish language.;Szerelmes vagyok a finn nyelvbe.
Suomen kielen opiskeluun tarvitaan rohkeutta.;You need bravery for studying Finnish.;A finn nyelv megtanulásához bátorság kell.
Kiinnostukseni suomen kieleen kasvaa.;My interest in the Finnish language is growing.;Egyre nő az érdeklődésem a finn nyelv iránt.
Innostunut opiskelija oppii suomea nopeammin.;An excited student learns Finnish faster.;Egy lelkes diák gyorsabban tanul finnül.
Yllätyin siitä, kuinka ihana suomen kieli on.;I was surprised by how wonderful Finnish is.;Meglepett, hogy milyen csodálatos a finn nyelv.
Kiinnostuin opiskelemaan suomea kotimaassani.;I got interested in studying Finnish in my home country.;Érdekelt a finn nyelv tanulása hazámban.
Olen ylpeä suomen kielen taidostani.;I'm proud of my Finnish language skills.;Büszke vagyok a finn nyelvtudásomra.
Olen tyytyväinen opiskelumateriaaleihin.;I'm satisfied with the study materials.;A tananyagokkal elégedett vagyok.
Suomen kieli on iloni ja työni.;The Finnish language is my joy and my job.;A finn nyelv az örömöm és a munkám.
Nautin suomen kielen opiskelemisesta.;I enjoy studying the Finnish language.;Szeretek finnül tanulni.
