Finnish;English;Hungarian
koti;home;otthon
kotona, himassa;at home;otthon(ban)
talo;house;ház
talossa (in the house);in the house;a házban
rakennus;building;épület
rakennuksessa (in the building);in the building;az épületben
asunto;residence, apartment;lakás
asunnossa, huoneistossa;in the apartment;lakásban
huoneisto;apartment, flat;lakás, apartman
asuintalo;building of residence;lakóház
asuintalossa;in the residential building;lakóházban
hima;home (spoken);otthon (beszélt)
omakotitalo;detached house;családi ház
omakotitalossa;in the detached house;a családi házban
paritalo;semi-detached house;ikerház
paritalossa;in the semi-detached house;az ikerházban
rivitalo;row house;sorház
rivitalossa;in the row house;sorházban
luhtitalo;balcony access block*;erkélyes tömbház
luhtitalossa;in the balcony access block;erkélyes tömbházban
kerrostalo;apartment building;lakótelep
kerrostalossa;in the apartment building;lakótelepben
pienkerrostalo;low apartment building;alacsony tömbház
pienkerrostalossa;in the low apartment building;alacsony tömbházban
tornitalo;tower block;toronyház
tornitalossa;in the tower block;toronyházban
pilvenpiirtäjä;skyscraper;felhőkarcoló
pilvenpiirtäjässä;in the skyscraper;felhőkarcolóban
puutalo;wooden house;faház
puutalossa;in the wooden house;faházban
kivitalo;stone house;kőház
kivitalossa;in the stone house;kőházban
tiilitalo;brick house;téglaház
tiilitalossa;in the brick house;téglaházban
elementtitalo;prefab building;panelház
elementtitalossa;in the prefab building;panelházban
betonitalo;concrete house;betonház
betonitalossa;in the concrete house;betonházban
hirsitalossa, tukkikämpässä;in the log house;gerendaházban
hirsimaja;log cabin;gerendakunyhó
hirsimajassa;in the log cabin;gerendakunyhóban
havumaja;brushwood hut;gallykunyhó
havumajassa;in the brushwood hut;gallykunyhóban
savimaja;clay hut;agyagkunyhó
savimajassa;in the clay hut;agyagkunyhóban
lumimaja;snow hut;hókunyhó
lumimajassa;in the snow hut;hókunyhóban
lumiluola;snow cave;hófog
lumiluolassa;in the snow cave;hófogban
iglu;igloo;iglú
iglussa;in the igloo;iglúban
asuntoauto;camper van, motor home;lakóautó
asuntoautossa;in the camper van;lakóautóban
asuntovaunu;camper, caravan;lakókocsi
asuntovaunussa;in the camper, caravan;lakókocsiban
mökki;cottage;nyaraló, kunyhó
mökillä;at the cottage;nyaralóban, kunyhóban
kesämökki;summer cottage;nyári házikó
kesämökillä;at the summer cottage;nyári házikóban
kesäasunto;summer home;nyaraló
kesäasunnossa;in the summer home;nyaralóban
kesähuvila;bungalow;bungaló, nyaralóház
kesähuvilassa;in the bungalow;bungalóban
rantamökki;beach cottage;tengerparti nyaraló
rantamökillä;at the beach cottage;tengerparti nyaralóban
datša;Russian summer cottage;dácsa
datšassa;in the dacha;dácsában
siirtolapuutarhamökki;allotment cottage;kolónia házikó
siirtolapuutarhamökillä;at the allotment cottage;kolónia házikóban
metsäkämppä;forest hut;erdőkunyhó
metsäkämpässä;in the forest hut;erdőkunyhóban
tukkikämppä, hirsitalo;log house;gerendaház (erdő)
autiotupa;wilderness hut;elhagyatott kunyhó
autiotuvassa;in the wilderness hut;elhagyatott kunyhóban
erämaja;wilderness lodge;vadlodge
erämajassa;in the wilderness lodge;vadlodge-ban
tunturitupa;mountain hut;hegyi kunyhó
tunturituvassa;in the mountain hut;hegyi kunyhóban
hiihtomaja;ski lodge;síház
hiihtomajassa;in the ski lodge;síházban
metsästysmaja;hunting lodge;vadászház
metsästysmajassa;in the hunting lodge;vadászházban
kalamaja, kalastusmaja;fishing lodge;halászkunyhó
kalamajassa, kalastusmajassa;in the fishing lodge;halászkunyhóban
ulkoilumaja;hiking lodge;túraház
ulkoilumajassa;in the hiking lodge;túraházban
puumaja;tree house;faház (fa)
puumajassa;in the tree house;lombházban
hotelli;hotel;hotel
