Finnish;English;hungarian
ystävä;friend;barátja
kirjeystävä;pen pal;Egy levelezőtárs
paras ystävä;best friend;legjobb barát
tosiystävä;a true friend;Az igazi barát
kaveri;buddy, mate;fickó
toveri;pal, comrade;haver
kultaseni;my sweetheart;Édesem
rakkaani;my love;szerelmem
kullanmuru;sweetie;édesem
elämänkumppani;life companion;élettárs
kumppani;partner;Társ
miesystävä;adult boyfriend, male friend;férfi barát
naisystävä;adult girlfriend, female friend;felnőtt barátnő
ystävätär;woman's female friend;hölgy barát
poikaystävä;boyfriend;fiú barát
tyttöystävä;girlfriend;barátnő
rakastaja;lover;szerető
rakastavaiset;love birds;kedveseim
morsian;bride;menyasszony
sulhanen;groom;vőlegény
vastanainut;newlywed;ifjú pár
sydänystävä;bosom friend;szív barátja
ihailija;admirer;tisztelője
kesäheila;summer love/crush;nyári hinta
ystävystyä;to become friends;barátkozni
rakastaa;to love;szerelemesnek lenni
rakastua;to fall in love;szerelembe esni
flirttailla;to flirt;flört
halailla;to cuddle;nyak
suudella;to kiss;csók
syleillä;to embrace;ölelés
käydä treffeillä;to go on a date;randizni menni
seurustella;to date;szocializál
halata;to hug;Ölelés
hyväillä;to caress;cirógatás
harrastaa seksiä;to have sex;szexeljen
ikävöidä;to long for;hosszú
kosia;to propose;tedd fel a kérdést
ystävällinen;friendly;barátságos
luotettava;reliable;megbízható
ihana;wonderful;csodálatos
rakas;beloved;drága
platoninen;platonic;plátói
rakastunut;in love;szerelmes
intohimoinen;passionate;szenvedélyes
romanttinen;romantic;romantikus
sensuaalinen;sensual;érzéki
viehättävä;attractive;bájos
kallisarvoinen;precious;értékes
ystävyys;friendship;barátság
ystäväpiiri;circle of friends;baráti Kör
ystävänpalvelus;a favor;baráti szolgáltatás
ystävänpäivä;Valentine's day;Valentin nap
rakkaus;love;szerelem
ensirakkaus;first love;első szerelem
flirttailu;flirting;flörtölni
käsi kädessä;hand in hand;kéz a kézben
rakkauskirje;love letter;szerelmes levél
sokkotreffit;blind date;vak randi
sydän;heart;szív
suukko, suudelma;kiss;egy csók, egy csók
hali;hug;hali
lentosuukko;blow kiss;légcsók
treffit;a date;dátum
viettelys;seduction;csábítás
yksipuolinen rakkaus;unrequited love;egyoldalú szerelem
esiaviollinen seksi;premarital sex;házasság előtti szex
romantiikka;romance;románc
intohimo;passion;szenvedély
kiihko;ardor;örület
parisuhde;relationship;kapcsolat
Arvostan sinua ystävänä.;I appreciate you as a friend.;barátként értékellek.
Kiitos kun olet ystäväni.;Thanks for being my friend.;Köszönöm, hogy a barátom vagy.
Olet paras ystäväni.;You're my best friend.;Te vagy a legjobb barátom.
Hän on läheinen ystävä.;She's a close friend.;Ő egy közeli barát.
Olet minulle tärkeä.;You're important to me.;Fontos vagy nekem.
Olet ajatuksissani.;You're in my thoughts.;Te vagy a fejemben.
Mitä ystävyys sinulle tarkoittaa?;What does friendship mean to you?;Mit jelent számodra a barátság?
Ihailen sinua.;I admire you.;Csodállak.
Tulisitko päiväkahville kanssani?;Would you have a coffee with me?;Eljönnél velem kávézni?
Lähtisitkö treffeille mun kanssa?;Would you go on a date with me?;Elmennél velem randevúzni?
Tämä oli hieno ilta.;This was a great night.;Ez egy nagyszerű este volt.
Hymysi on kaunis.;Your smile is beautiful.;A mosolyod gyönyörű.
Tulisitko vaimokseni?;Will you be my wife?;Leszel a feleségem?
