Finnish;English;Hungarian
keinulauta;seesaw;libikó
kovakuoriainen;beetle;bogár
pehmolelu;plushie;plüssjáték
lintulauta;birdfeeder;madáretető
kruunu;crown;korona
nokkahuilu;recorder (instrument);furulya
suudelma;kiss;csók
häntä;tail;farok
nurmikko;lawn;gyep
pakoputki;exhaust pipe;kipufogócső
jalanjälki;footprint;lábnyom
juustohöylä;cheese slicer;sajtvágó
hirsimökki;log cabin;gerendaház
ratti;steering wheel;kormánykerék
vesiränni;downspout;vízcsatorna
takaraivo;back of your head;fejtető hátsó része
solmio;necktie;nyakkendő
sateenvarjo;umbrella;esernyő
viemäri;sewer;csatorna
silmäluomi;eyelid;szemhéj
piilolinssit;contact lenses;kontaktlencsék
sisilisko;lizard;gyík
lasikuula;(glass) marble;üveggolyó
monot;ski boots;sícipő
koukku;hook;kampó
salpa;latch;zár
miljoonakala;guppy;guppi
nuottiavain;clef key;kotta kulcs
kenkälusikka;shoehorn;cipőkanál
kaiku;echo;visszhang
kitalaki;roof of your mouth;szájpadlás
lommo;dent;horpadás
ankkuri;anchor;horgony
harppi;compass (drawing tool);rajztűző
pulpetti;school desk;iskolapad
avaimenperä;key chain;kulcstartó
ankerias;eel;angolna
kummitus;ghost;szellem
airot;oars;evezők
hikipisara;drop of sweat;izzadtságcsepp
etikka;vinegar;ecet
höyhen;feather;toll
uurna;funeral urn;hamvasztóurna
kahva;handle;fogantyú
pienoismalli;scale model;makett
pesusieni;sponge;sponge (szivacs)
leivänmuru;bread crumb;kenyérmorzsa
kääpiö;dwarf;törpe
sätkynukke;marionette, puppet;báb
lankakerä;ball of yarn;gombolyag
hiuspanta;headband;fejpánt
lasisirpale;shard of glass;üvegszilánk
sielu;soul;lélek
neulatyyny;needle cushion;tűpárna
happi;oxygen;oxigén
vetoketju;zipper;cipzár
lumme;waterlily;tündérrózsa
sato;harvest;aratás
kertosäe;chorus, refrain;kórus, refrén
sovellus;app;alkalmazás
kertotaulu;multiplication table;szorzótábla
joutsen;swan;hattyú
taikuri;magician;bűvész
tykinkuula;cannon ball;ágyúgolyó
maisema;landscape;tájkép
finni;pimple;pattanás
ihmissusi;werewolf;verwolf
loisteputki;fluorescent lamp;fluoreszkáló lámpa
huurre;rime, frost;deres, jég
heltta;waddle (turkey);libegés
valomiekka;lightsaber;fénykard
pisama;freckle;szeplő
käsinoja;armrest;kartámasz
suojatie;crosswalk;gyalogátkelő
ruoste;rust;rozsda
terälehti;petal (flower);szirom
sierain;nostril;orrlyuk
sankaritar;heroine;hősnő
liitutaulu;chalk board;krétatáblá
lauteet;benches in sauna;szaunapadok
aakkoset;the alphabet;ábécé
suolasirotin;salt shaker;sóshaker
lunttilappu;cheat sheet;puska
ydinvoima;nuclear power;atomenergia
hammasraudat;braces (teeth);fogszabályzó
silmälappu;eyepatch;sisak (szem)
