Finnish;English;Hungarian
(Oletko koskaan) ajanut moottoripyörällä?;(Have you ever) driven a motorcycle?;(Vezettél már valaha) motorkerékpárt?
(Oletko koskaan) ajanut nurmikkoa?;(Have you ever) mowed the lawn?;(Kaszáltál már valaha) füvet?
(Oletko koskaan) ajanut punaisia päin?;(Have you ever) run a red light?;(Áthajtottál már valaha) piros lámpán?
(Oletko koskaan) ajatellut itsemurhaa?;(Have you ever) considered suicide?;(Gondoltál már valaha) öngyilkosságra?
(Oletko koskaan) asunut vastaanottokeskuksessa?;(Have you ever) lived in a refugee reception center?;(Éltél már valaha) menekültfogadó központban?
(Oletko koskaan) auttanut naapuria muutossa?;(Have you ever) helped a neighbor move house?;(Segítettél már valaha) egy szomszédnak a költözésben?
(Oletko koskaan) eksynyt metsään?;(Have you ever) gotten lost in a forest?;(Elvesztél már valaha) az erdőben?
(Oletko koskaan) erehtynyt viikonpäivästä?;(Have you ever) gotten the day of the week wrong?;(Eltévesztetted már valaha) a hét napját?
(Oletko koskaan) esiintynyt juhlissa?;(Have you ever) performed at a party?;(Szerepeltél már valaha) bulin?
(Oletko koskaan) googlettanut itseäsi?;(Have you ever) googled yourself?;(Googliztad már valaha) magadat?
(Oletko koskaan) hakenut lainaa pankista?;(Have you ever) applied for a loan from a bank?;(Kértél már valaha) kölcsönt a banktól?
(Oletko koskaan) hakenut yliopistoon?;(Have you ever) applied to a university?;(Jelentkeztél már valaha) egy egyetemre?
(Oletko koskaan) hankkinut tatuointia?;(Have you ever) gotten a tattoo?;(Csináltattál már valaha) tetoválást?
(Oletko koskaan) harrastanut lentopalloa?;(Have you ever) played volleyball as a hobby?;(Játszottál már valaha) röplabdát hobbi szinten?
(Oletko koskaan) harrastanut seinäkiipeilyä?;(Have you ever) done wall climbing as a hobby?;(Másztál már valaha) falat hobbi szinten?
(Oletko koskaan) heittänyt kolikkoa kaivoon?;(Have you ever) thrown a coin down a well?;(Dobtál már valaha) érmét a kútba?
(Oletko koskaan) hypännyt laskuvarjolla?;(Have you ever) skydived?;(Ugrtál már valaha) ejtőernyővel?
(Oletko koskaan) istuttanut puuta?;(Have you ever) planted a tree?;(Ültettél már valaha) fát?
(Oletko koskaan) itkenyt julkisella paikalla?;(Have you ever) cried in public?;(Sírtál már valaha) nyilvános helyen?
(Oletko koskaan) joogannut?;(Have you ever) done yoga?;(Jógáztál már valaha)?
(Oletko koskaan) joutunut nyrkkitappeluun?;(Have you ever) gotten into a fist fight?;(Keveredtél már valaha) ökölharcba?
(Oletko koskaan) juonut Koskenkorvaa?;(Have you ever) drunk Koskenkorva?;(Ittál már valaha) Koskenkorvát?
(Oletko koskaan) juossut kilpaa?;(Have you ever) run a race?;(Futottál már valaha) versenyt?
(Oletko koskaan) juossut maratonia?;(Have you ever) run a marathon?;(Futottál már valaha) maratont?
(Oletko koskaan) jättänyt turvavyötä käyttämättä?;(Have you ever) neglected to wear your seatbelt?;(Hagytad már valaha) bekapcsolatlanul a biztonsági övet?
(Oletko koskaan) kadottanut avaimiasi?;(Have you ever) lost your keys?;(Elvesztetted már valaha) a kulcsaidat?
(Oletko koskaan) kadottanut kirjaston kirjaa?;(Have you ever) lost a library book?;(Elvesztettél már valaha) könyvtári könyvet?
(Oletko koskaan) katunut heräteostosta?;(Have you ever) regretted an impulse buy?;(Megbántad már valaha) egy impulzusvásárlást?
(Oletko koskaan) katsonut animea?;(Have you ever) watched anime?;(Néztél már valaha) animét?
(Oletko koskaan) katsonut suomalaista elokuvaa?;(Have you ever) watched a Finnish movie?;(Néztél már valaha) finn filmet?
(Oletko koskaan) kiivennyt puuhun?;(Have you ever) climbed a tree?;(Másztál már valaha) fára?
(Oletko koskaan) kirjoittanut kirjaston kirjaan?;(Have you ever) written in a library book?;(Írtál már valaha) könyvtári könyvbe?
(Oletko koskaan) kopioinut läksyjä kaverilta?;(Have you ever) copied homework from a friend?;(Másoltál már valaha) házit egy barátodtól?
(Oletko koskaan) kutonut itsellesi kaulaliinaa?;(Have you ever) knitted a scarf for yourself?;(Kötöttél már valaha) sálat magadnak?
(Oletko koskaan) kävellyt yöllä metsässä?;(Have you ever) walked in a forest at night?;(Sétáltál már valaha) éjszaka az erdőben?
(Oletko koskaan) käynyt Disneylandissa?;(Have you ever) been to Disneyland?;(Jártál már valaha) Disneylandben?
(Oletko koskaan) käynyt Eiffel-tornissa?;(Have you ever) been to the Eiffel tower?;(Jártál már valaha) az Eiffel-toronynál?
(Oletko koskaan) käynyt elokuvateatterissa?;(Have you ever) been to the movie theater?;(Jártál már valaha) moziban?
(Oletko koskaan) käynyt ennustajalla?;(Have you ever) been to a fortune teller?;(Jártál már valaha) jósnál?
(Oletko koskaan) käynyt Helsingissä?;(Have you ever) visited Helsinki?;(Jártál már valaha) Helsinkiben?
(Oletko koskaan) käynyt kalastamassa?;(Have you ever) gone fishing?;(Horgásztál már valaha)?
(Oletko koskaan) käynyt risteilyllä?;(Have you ever) gone on a cruise?;(Részt vettél már valaha) hajóúton?
(Oletko koskaan) käynyt USA:ssa?;(Have you ever) visited the US?;(Jártál már valaha) az USA-ban?
(Oletko koskaan) käynyt YKI-testissä?;(Have you ever) taken the YKI-test?;(Részt vettél már valaha) YKI-teszten?
(Oletko koskaan) käyttänyt Duolingoa?;(Have you ever) used Duolingo?;(Használtad már valaha) a Duolingót?
(Oletko koskaan) laulanut yleisölle?;(Have you ever) sung for an audience?;(Énekeltél már valaha) közönség előtt?
(Oletko koskaan) liftannut?;(Have you ever) hitchhiked?;(Autóstoppoltál már valaha)?
