Finnish;English;Hungarian
anis;aniseed;ánizs
aromisuola;aroma of salt;ételízesítő só
basilika;basil;bazsalikom
cayennepippuri;cayenne pepper;kayenne bors
chili;chili;csili
curry;curry;currypor
fenkoli;fennel;édeskömény
inkivääri;ginger;gyömbér
juustokumina;cumin;római kömény
kaneli;cinnamon;fahéj
kardemumma;cardamom;szerecsendió-virág (kardamom)
koiruoho;wormwood;üröm
korianteri;coriander;koriander
kumina;caraway;köménymag
kurkuma;turmeric;kurkuma
laventeli;lavender;levendula
limetti;lime;lime (zöldcitrom)
maustepippuri;allspice;szegfűbors
meirami;marjoram;majoránna
minttu;mint;menta
muskottipähkinä;nutmeg;szerecsendió
mustapippuri;black pepper;fekete bors
oregano;oregano;oregánó
paprika;paprika;paprika
persilja;parsley;petrezselyem
piparjuuri;horseradish;torma
piparminttu;peppermint;borsmenta
pippuri;pepper;bors
punapippuri;red pepper;piros paprika
rakuuna;tarragon;tárkony
rosmariini;rosemary;rozmaring
ruohosipuli;chives;snidling (metélőhagyma)
sahrami;saffron;szafrán
salvia;sage;zsálya
seesami;sesame;szezám
sitruunamelissa;lemon balm;citromfű
sokeri;sugar;cukor
suola;salt;só
tilli;dill;kapor
timjami;thyme;timian
vanilja;vanilla;vanília
viherminttu;spearmint;zöldmenta
viinimarja;currant;ribizli
Nälkä on paras mauste.;Hunger is the best spice., Everything tastes better when you're hungry;Az éhség a legjobb fűszer., Minden jobb ízű, ha éhes vagy.
Hänen yrityksensä lohduttaa hieroi vain suolaa haavoihin.;Her attempt to comfort me just rubbed salt in the wounds., She just made things worse;A vigasztalási kísérlete csak sót hintett a sebeimre., Csak rontott a helyzeten
Painu sinne missä pippuri kasvaa!;Go to where the pepper grows!, Get as far away from me as possible!;Menj oda, ahol a bors terem!, Tűnj el innen, menj jó messzire
