French;Finnish;Hungarian
Vous êtes français ?;Oletteko ranskalainen? (INTONAATIOKYSYMYS);Ön francia? (INTONÁCIÓS KÉRDÉS)
Est-ce que vous êtes français ?;Oletteko ranskalainen? (Est-ce que -KYSYMYS);Ön francia? (Est-ce que -KÉRDÉS)
Êtes-vous français ?;Oletteko ranskalainen? (KÄÄNTEINEN SANAJÄRJESTYS);Ön francia? (FORDÍTOTT SZÓREND)
Vous parlez français ?;Puhutteko ranskaa? (INTONAATIOKYSYMYS);Beszél franciául? (INTONÁCIÓS KÉRDÉS)
Tu aimes le chocolat ?;Pidätkö suklaasta? (INTONAATIOKYSYMYS);Szereted a csokoládét? (INTONÁCIÓS KÉRDÉS)
Il est ici ?;Onko hän täällä? (INTONAATIOKYSYMYS);Ő itt van? (INTONÁCIÓS KÉRDÉS)
Bastien est ici ?;Onko Bastien täällä? (INTONAATIOKYSYMYS);Bastien itt van? (INTONÁCIÓS KÉRDÉS)
Caroline aime Bastien ?;Rakastaako Caroline Bastienia? (INTONAATIOKYSYMYS);Caroline szereti Bastient? (INTONÁCIÓS KÉRDÉS)
Est-ce que vous parlez français ?;Puhutteko ranskaa? (Est-ce que -KYSYMYS);Beszél franciául? (Est-ce que -KÉRDÉS)
Est-ce que tu aimes le chocolat ?;Pidätkö suklaasta? (Est-ce que -KYSYMYS);Szereted a csokoládét? (Est-ce que -KÉRDÉS)
Est-ce qu'il est ici ?;Onko hän täällä? (Est-ce que -KYSYMYS);Ő itt van? (Est-ce que -KÉRDÉS)
Est-ce que Bastien est ici ?;Onko Bastien täällä? (Est-ce que -KYSYMYS);Bastien itt van? (Est-ce que -KÉRDÉS)
Est-ce que Caroline aime Bastien ?;Rakastaako Caroline Bastienia? (Est-ce que -KYSYMYS);Caroline szereti Bastient? (Est-ce que -KÉRDÉS)
À quelle heure est-ce que c'est ?;Moneltako se on? (Est-ce que -KYSYMYS);Hány órakor van? (Est-ce que -KÉRDÉS)
