French;Finnish;Hungarian
Je joue au football.;Pelaan jalkapalloa.;Focizom.
Tu joues aux échecs ?;Pelaatko shakkia?;Sakkozol?
Il joue à la pétanque.;Hän pelaa petankkia.;Petanque-ozik.
Nous jouons au théâtre.;Näyttelemme.;Színházban játszunk / Színészkedünk.
Vous jouez de la guitare ?;Soitatteko kitaraa?;Gitároztok?
Ils jouent du piano.;He soittavat pianoa.;Zongoráznak.
Les enfants jouent dans le jardin.;Lapset leikkivät pihalla.;A gyerekek az udvaron játszanak.
Jouer à la pétanque;pelata petankkia;petanque-ozni
jouer au foot(ball);pelata jalkapalloa;focizni
jouer aux échecs;pelata shakkia;sakkozni
Jouer de la flûte;soittaa huilua;fuvolázni
jouer du saxophone;soittaa saksofonia;szaxofonozni
jouer des castagnettes;soittaa kastanjetteja;kasztanyettázni
Je fais du sport.;Harrastan urheilua.;Sportolok.
Tu fais de la natation ?;Harrastatko uintia?;Úszol?
Elle fait du cheval.;Hän harrastaa ratsastusta.;Lovagol.
Il fait du théâtre.;Hän harrastaa teatteria.;Színjátszik.
Tu fais de la danse ?;Harrastatko tanssia?;Táncolsz?
Je ne fais pas de jogging !;En hölkkää!;Nem kocogok!
Je fais du finnois.;Opiskelen suomea.;Finnül tanulok.
faire de la randonnée;patikointia;kirándulni
faire du vélo;pyöräilyä;biciklizni
tricoter;neuloa;kötni
coudre;ommella;varrni
dessiner;piirtää;rajzolni
tenir un blog;pitää blogia;blogot írni
chanter;laulaa;énekelni
jouer du piano;soittaa pianoa;zongorázni
jouer aux jeux de société;pelata lautapelejä;társasjátékozni
nager;uida;úszni
écouter de la musique;kuunnella musiikkia;zenét hallgatni
lire;lukea;olvasni
jouer de la guitare;soittaa kitaraa;gitározni
rencontrer des amis;tavata ystäviä;barátokkal találkozni
skier;hiihtää;síelni
ramer;soudaa;evezni
se reposer;levätä;pihenni
courir;juosta;futni
cuisiner;laittaa ruokaa;főzni
voyager;matkustaa;utazni
danser;tanssia;táncolni
Observer les oiseaux;tarkkailla lintuja;madarakat megfigyelni
Aller à un vide-grenier;mennä kirpputorille;bolhapiacra menni
Camper;leireillä;sátrazni
Collectionner des timbres ou autres;keräillä postimerkkejä tms.;bélyeget gyűjteni
Aller au théâtre;mennä teatteriin;színházba menni
Aller au cinéma;mennä elokuviin;moziba menni
Faire du sport;urheilla;sportolni
Aller à la fête foraine;mennä huvipuistoon;vidámparkba menni
Pêcher;onkia;horgászni
Faire du shopping;shoppailla;shoppingolni / vásárolni
Jardiner;puutarhailla;kertészkedni
(Faire de la) peinture;maalata;festeni
Se promener en famille;ulkoilla perheen kanssa;családdal sétálni
Aller à la plage;mennä rannalle;strandra menni
Aller courir;mennä lenkille;elmenni futni
Jouer aux jeux vidéo;pelata videopelejä;videójátékozni
Prendre des photos;valokuvata;fotózni
Jouer aux cartes ou aux dés;pelata korttia tai noppaa;kártyázni vagy kockázni
Regarder la télé(vision);katsoa televisiota;tévét nézni
Faire du bricolage;nikkaroida;barkácsolni
Jouer d'un instrument de musique;soittaa soitinta;hangszeren játszani
Lire le journal;lukea sanomalehteä;újságot olvasni
Regarder des vidéos;katsoa videoita;videókat nézni
Utiliser son portable;käyttää puhelinta;telefont használni
Aller au concert;mennä konserttiin;koncertre menni
Promener le chien;ulkoiluttaa koiraa;kutyát sétáltatni
