Finnish;English;Hungarian
työhaastattelu;job interview;állásinterjú
haastattelija;interviewer;interjúztató
työnhakija;jobseeker, applicant;álláskereső, jelentkező
työntekijä;employee, worker;munkavállaló, dolgozó
työnantaja;employer;munkaadó
ansioluettelo;CV;önéletrajz
työhakemus;job application;álláspályázat
työpaikkailmoitus;job advertisement;álláshirdetés
työhistoria;working history;munkatörténet
työkokemus;working experience;munkatapasztalat
osaaminen;competence, expertise;szakértelem, hozzáértés
motivaatio;motivation, drive;motiváció, hajtóerő
videohaastattelu;video interview;videóinterjú
ensivaikutelma;first impression;első benyomás
saada työpaikka;to get a job;állást szerezni
päästä töihin;to get a job somewhere;elhelyezkedni
palkata;to hire;felvenni (munkára)
työllistää;to employ;alkalmazni
irtisanoutua;to resign;önként felmondani
irtisanoa;to fire;elbocsátani
saada lähtöpassit / potkut;to be fired;elbocsátást kapni
lomauttaa;to lay off;ideiglenesen elbocsátani
tehdä työtä;to do (your) job;munkát végezni
olla palkkatöissä;to be in paid employment;fizetett munkaviszonyban lenni
hakea työtä;to search for a job;állást keresni
Kerro vähän itsestäsi;Tell us a little about yourself;Mesélj egy kicsit magadról
Kuinka kauan olet asunut Suomessa?;How long have you lived in Finland?;Mióta élsz Finnországban?
Viihdytkö täällä?;Do you like living here?;Jól érzed magad itt?
Mitä kieliä osaat?;What languages do you speak?;Milyen nyelveket beszélsz?
Millainen koulutus sinulla on?;What kind of education do you have?;Milyen végzettséged van?
Miksi olet valinnut tämän ammatin?;Why have you chosen this profession?;Miért ezt a hivatást választottad?
Millaista työkokemusta sinulla on?;What kind of work experience do you have?;Milyen munkatapasztalataid vannak?
Mitä olet oppinut aiemmissa työpaikoissasi?;What have you learned in your previous jobs?;Mit tanultál korábbi munkahelyeiden?
Millaista teknistä osaamista sinulla on?;What kind of technical expertise do you have?;Milyen technikai szaktudással rendelkezel?
Miten voit hyödyntää koulutustasi tässä työssä?;How can you use your education in this job?;Hogyan tudod hasznosítani a végzettségedet ebben a munkában?
Miten osaamisestasi voisi olla hyötyä työpaikalla?;How could your skills be useful in the workplace?;Hogyan lehet hasznos a tudásod a munkahelyen?
Millainen työntekijä olet? (adjectives);What type of a worker are you?;Milyen típusú munkavállaló vagy? (melléknevek)
Miten kuvailisit itseäsi lyhyesti?;How would you describe yourself briefly?;Hogyan jellemeznéd magad röviden?
Miten ystäväsi tai työkaverisi kuvailisivat sinua?;How would your friends or co-workers describe you?;Hogyan jellemeznének a barátaid vagy kollégáid?
Kuka voisi suositella sinua?;Who could recommend you?;Ki tudna ajánlani téged?
Mikä on heikkoutesi?;What's your weakness?;Mi a gyengeséged?
Mitkä ovat heikoimmat puolesi?;What are you weaker sides?;Mik a gyengébb oldalaid?
Mitkä ovat vahvuutesi?;What are your strengths?;Mik az erősségeid?
Miten kuvailisit vahvuuksiasi ja heikkouksiasi?;How would you describe your strengths and weaknesses?;Hogyan jellemeznéd az erősségeidet és gyengeségeidet?
Mitkä ovat tärkeimmät saavutuksesi?;What are your main achievements?;Mik a legfontosabb eredményeid?
Mistä saavutuksesta olet kaikkein ylpein?;What achievement are you most proud of?;Melyik eredményedre vagy a legbüszkébb?
Mikä on suurin epäonnistumisesi?;What has been your biggest failure?;Mi volt a legnagyobb kudarcod?
Mikä on suurin mokasi työpaikalla?;What's been your biggest mistake in the workplace?;Mi volt a legnagyobb hibád a munkahelyen?
Mikä on tärkeintä, mitä työ on sinulle opettanut?;What's the most important thing work has taught you?;Mi a legfontosabb dolog, amit a munka megtanított neked?
Mitä asioita haluaisit oppia?;What things would you like to learn?;Milyen dolgokat szeretnél megtanulni?
Miten haluat kehittää omaa osaamistasi?;How do you want to develop your own skills?;Hogyan szeretnéd fejleszteni a készségeidet?
Mitä puolia haluaisit kehittää itsessäsi?;What sides of yourself would you like to develop?;Milyen tulajdonságaidat szeretnéd fejleszteni?
Miten haluaisit kehittyä?;How would you like to improve?;Hogyan szeretnél fejlődni?
Mitkä asiat motivoivat sinua?;What things motivate you?;Mik motiválnak téged?
Mitä tavoitat elämässäsi ja työssäsi?;What do you aim for in life and at work?;Mit célzol az életben és a munkádban?
Missä näet itsesi viiden vuoden kuluttua?;Where do you see yourself in five years?;Hol látod magad öt év múlva?
Mistä olet kiinnostunut ja mitä harrastat?;What are you interested in as a hobby?;Mik érdekel és milyen hobbid van?
Mitkä asiat aiheuttavat sinulle stressiä?;What things cause you stress?;Mik okoznak stresszt neked?
Miten toimit, kun on stressaava tilanne?;How do you act when there's a stressful situation?;Hogyan cselekszel stresszes helyzetben?
Miten ratkaiset työssä nousevia ongelmia?;How do you solve problems that arise at work?;Hogyan oldod meg a munkahelyi problémákat?
Minkälaisista työtehtävistä pidät?;What kind of work tasks do you like?;Milyen munkafeladatokat szeretsz?
Millainen on mielestäsi hyvä työpaikka?;What do you think a good workplace is like?;Szerinted milyen egy jó munkahely?
Millainen on mielestäsi hyvä esimies?;What do you think a good boss is like?;Szerinted milyen egy jó főnök?
Työskenteletkö mieluummin yksin vai tiimissä?;Do you rather work along or in a team?;Szeretsz inkább egyedül vagy csapatban dolgozni?
Oletko valmis joustamaan työajoissa?;Are you ready to be flexible in working hours?;Készen állsz rugalmasan kezelni a munkaidőt?
Mikä sai sinut hakemaan tätä työpaikkaa?;What made you apply for this job?;Miért jelentkeztél erre az állásra?
Miksi haluat vaihtaa työtä?;Why do you want to change jobs?;Miért akarsz munkahelyet váltani?
Mitä mieltä olet yrityksestämme?;What do you think about our company?;Mit gondolsz a cégünkről?
Miksi hait juuri tätä työpaikkaa?;What made you apply for this particular job?;Miért jelentkeztél kifejezetten erre az állásra?
Mitä haluat tietää meistä?;What do you want to know about us?;Mit szeretnél megtudni rólunk?
Millaista palkkaa toivot?;What kind of salary do you hope for?;Milyen fizetést remélsz?
Miksi juuri sinut pitäisi valita tähän työhön?;Why should you be chosen for this job?;Miért téged kellene kiválasztani erre a munkára?
Miksi meidän pitäisi palkata sinua?;Why should we hire you?;Miért kellene felvennünk téged?
Olen vielä opiskelija.;I'm still a student.;Még diák vagyok
Opiskelen tällä hetkellä kotoutumiskoulutuksessa.;I'm currently studying in an integration course.;Jelenleg integrációs tanfolyamon tanulok
Valmistun vuoden kuluttua.;I will graduate in a year.;Egy év múlva végzek
Olen ollut pitkään työttömänä.;I have been unemployed for a long time.;Hosszú ideje munkanélküli vagyok
Olen ollut äitiyslomalla.;I've been on maternity leave.;Gyesen voltam
Tavoitteeni on palata työelämään.;My goal is to return to work.;Célom, hogy visszatérjek a munka világába
Olen innokas palaamaan työelämään.;I am eager to return to work.;Lelkes vagyok, hogy visszatérjek a munkába
Olen innokas tekemään työtä Suomessa.;I'm eager to work in Finland.;Lelkes vagyok, hogy Finnországban dolgozzak
Haluan kovasti päästä töihin Suomessa.;I very much want to get a job in Finland.;Nagyon szeretnék Finnországban munkát kapni
Etsin ammattiani vastaavaa työtä.;I'm looking for a job that matches my profession.;Olyan munkát keresek, ami megfelel a szakmámnak
Haluan vaihtaa alaa.;I want to change my line of work.;Szeretnék ágazatot váltani
Haluan vaihtaa ammattia.;I want to change professions.;Szeretnék szakmát váltani
Haluan löytää pysyvän työpaikan.;I want to find a permanent job.;Állandó munkát szeretnék találni
Etsin vakituista työpaikkaa.;I'm looking for a steady job.;Állandó állást keresek
Olen lukenut yrityksestänne netistä.;I've been reading about your company online.;Olvastam a cégükről az interneten
Olen kiinnostunut teidän yrityksestänne.;I'm interested in your company.;Érdekel a cégük
Olen kuullut paljon hyvää yrityksestänne.;I've heard many good things about your company.;Sok jót hallottam a cégről
Tämän yrityksen toiminta on mielenkiintoista.;This company's activities are interesting.;Ez a cég tevékenysége érdekes
Tämä työpaikkailmoitus kiinnitti mielenkiintoni.;This job posting caught my interest.;Ez az álláshirdetés felkeltette az érdeklődésemet
Olen kiinnostunut tästä työstä erityisesti siksi, että...;I'm interested in this work, especially because of...;Érdekel ez a munka, különösen azért, mert...
Tämä työpaikka olisi minulle täydellinen.;This job would be perfect for me.;Ez a munka tökéletes lenne számomra
Uskon, että olisin tähän työhön sopiva tekijä.;I believe I'd be a suitable employee for this job.;Úgy hiszem, alkalmas lennék erre a munkára
Olen etsinyt juuri tällaista työtä.;I've been looking for exactly this kind of work.;Pontosan ilyen munkát kerestem
Etsin juuri tällaista työtä kuin teillä on tarjolla.;I'm looking for just the kind of job you have on offer.;Pontosan az ilyen munkát keresem, mint amit önök kínálnak
Kotimaani koulutusjärjestelmä on erilainen.;My country's education system is different.;Az országom oktatási rendszere más
Peruskoulu kestää kotimaassani 6 vuotta.;Elementary school takes 6 years in my country.;Az általános iskola hat évig tart az országomban
En ole juurikaan opiskellut kotimaassani.;I've hardly studied at all in my home country.;Alig tanultam az országomban
Olen opiskellut vain vähän kotimaassani.;I've studied only a little bit in my country.;Csak kicsit tanultam az országomban
En ole voinut kotimaassani käydä koulua.;I haven't been able to go to school in my country.;Nem tudtam iskolába járni az országomban
Sodan takia en voinut käydä koulua.;I couldn't go to school because of the war.;A háború miatt nem tudtam iskolába járni
Perheeni ei voinut kustantaa koulunkäyntiä.;My family couldn't afford school.;A családom nem tudta finanszírozni az iskolát
Naiset eivät kotimaassani käy juurikaan koulua.;Women barely go to school in my country.;A nők alig járnak iskolába az országomban
Kävin kotimaassani koraanikoulua.;I went to a Quran school in my country.;Korán iskolába jártam az országomban
Olen käynyt pelkästään peruskoulun.;I've only completed elementary school.;Csak az általános iskolát végeztem el
Olen käynyt peruskoulun ja lukion.;I've completed elementary and secondary school.;Elvégeztem az általános iskolát és a középiskolát
Olen opiskellut yliopistossa kotimaassani.;I studied at university in my country.;Egyetemen tanultam az országomban
Minulla on kandidaatin tutkinto kotimaastani.;I have a bachelor's degree from my country.;Van egy alapképzésem az országomból
