Finnish;English;hungarian
Millainen/Minkälainen ihminen hän on?;What kind of a person is he/she?;Milyen ember ő?
Millainen luonne hänellä on?;What kind of a personality does he/she have?;Milyen karaktere van?
Millaisia luonteenpiirteitä hänellä on?;What kind of characteristics does she/he have?;Milyen jellemvonásai vannak?
Millainen hän on luonteeltaan?;What is she/he like personality wise?;Milyen a karaktere?
Millainen ihannemiehesi on?;What's your ideal man like?;Milyen az ideális férfi?
Millainen ihannenaisesi on?;What's your ideal woman like?;Milyen az ideális nő?
Sopiiko hän luonteeltaan yhteen minun kanssa?;Do our personalities match?;Jellemében kompatibilis velem?
ahkera;hard-working;szorgalmas
aloitekykyinen;enterprising;kezdeményezés
ankara;harsh, strict;durva
antelias, jalomielinen;generous;nagylelkű
ahne;greedy;kapzsi
arvostettu;valued, appreciated;értékes
avoin;open;nyisd ki
empaattinen;empathic;empatikus
ennakkoluuloinen;close-minded;előítéletes
ennakkoluuloton;open-minded;nyitott
epäilyttävä;suspicious;gyanús
epäitsekäs;unselfish;önzetlen
epäluuloinen;mistrustful;gyanús, nem megbízható
epärehellinen;dishonest;tisztességtelen
epäröivä;indecisive;habozó
epävarma;unsure;bizonytalan
epäystävällinen;unfriendly;barátságtalan
eriskummallinen;eccentric;különös
fiksu;smart;Okos
hankala;difficult;furfangos
harkitseva;thoughtful;körültekintő
hassu;weird;vicces
hauska;funny;szórakoztató
heikko;weak;gyenge
herkkä;sensitive;érzékeny
herttainen;endearing;gyengéd
hidas;slow;lassú
hidasjärkinen;obtuse, dense;tompa
hienotunteinen;discreet;diszkrét
hiljainen, vaitelias;quiet;csendes
huumorintajuinen;humorous;tréfás
huolehtivainen;attentive;gondoskodó
huolellinen;careful, thorough;óvatos
huomaavainen;polite, courteous;figyelmes, udvarias
hullu;crazy;őrült
hyvä;good;jó
hyväsydäminen;kind-hearted;jószívű
häijy;wicked;gonosz, csúnya
häikäilemätön;ruthless;könyörtelen
höpsö;silly;bolondos
iloinen, onnellinen;happy;vidám
ilkeä;mean;átlagos
itsekäs;selfish;önző
itsekeskeinen;self-centered;önző, egocentrikus
itsenäinen;independent, stand-alone;független
itsepäinen;stubborn;makacs
itserakas;cocky, stuck-up;önző, önelégült
itsevarma;self-assured;magabiztos
joustava;flexible;rugalmas
julma;cruel;kegyetlen
järjestelmällinen;systematic, methodical;szisztematikus
järkevä;reasonable;ésszerű
kamala;terrible;szörnyű
kateellinen;envious;Féltékeny
kavala;sly;áruló
kekseliäs;inventive, innovative;találékony
kiivas;hot-tempered;erős, buzgó
kohtelias;polite;udvarias
kova;tough;kemény
kunniallinen;honorable;tiszteletreméltó
kunnianhimoinen;ambitious;ambiciózus
kuolematon;immortal;halhatatlan
kuuluisa;famous;híres
kuuro;deaf;süket
kyyninen;cynical;cinikus
kärsivällinen;patient;türelmes
kätevä;handy;ügyes
köyhä;poor;szegény
laiska;lazy;lusta
lapsellinen;childish;gyerekes
lempeä;gentle;kedves
leppoisa;laid-back;csevegő
looginen;logical;logikus
luotettava;reliable;megbízható
luova;creative;kreatív
lyhytjänteinen;impatient;rövid figyelem mellett
mielikuvituksekas;imaginative;ötletes
mietteliäs;Contemplative;töprengő
mukava;pleasant;szép
mustasukkainen;jealous;irigy
myyntihenkinen;focused on sales;értékesítési beállítottságú
määrätietoinen;determined, single-minded;eltökélt
nirso;picky;válogatós
nokkela;smart (practical);okos
nopea;fast;gyors
näppärä;handy (good and fast);ügyes (jó és gyors)
oma-aloitteinen;spontaneous;saját kezdeményezésű
omapäinen;willful;szándékos
onneton;unhappy;boldogtalan
oppimishaluinen;wants to learn;hajlandó tanulni
oppimiskykyinen;learns easily;képes a tanulásra
optimistinen;optimistic;optimista
outo;strange;furcsa
ovela;cunning;ravasz
paha;evil;gonosz
pahantuulinen;ill-tempered;rosszkedvű
pelokas;easily scared;félelmetes
peloton;fearless;rettenthetetlen
persoonallinen;special;egyedi
pessimistinen;pessimistic;pesszimista
pirteä;perky;csintalan
pitkäjänteinen;thinks long-term;hosszan tartó
pohtiva;mindful;figyelmes
puhelias;talkative;beszédes
päättäväinen;determined, decisive;elszánt
rauhallinen;peaceful, calm;csendes, nyugodt
rehellinen;honest, truthful;becsületes
reipas;energetic;fürge
rento;relaxed;kipihent
riippumaton;independent;szuverén
riippuvainen;dependent;függő
rikas;rich;gazdag
saamaton;unavailable, unsolicited;nem elérhető
sairas;sick;beteg
saita;stingy;fukar
sarkastinen;sarcastic;szarkasztikus
seurallinen;sociable;társaságkedvelő
sisukas;spunky;van sisuja
sitkeä;tenacious;szívós
sotkuinen;messy;rendetlen
stressaantuva;easily stressed;stresszes
suorasanainen;blunt;egyértelmű
surullinen;sad;szomorú
suvaitsevainen;tolerant, open-minded;megengedő
sydämetön;heartless;kemény, mint a körmök
taitava;skilled;ügyes, okos
tarkka;accurate;pontos
tarmokas;brisk, energetic;energikus
tasapainoinen;well-balanced;kiegyensúlyozott
terve;healthy;Hé
tuhma;naughty;rossz
turhamainen;vain;hiábavaló
tyhmä;stupid;hülye
tylsä;boring;unalmas
tyyni;calm;nyugodt
tyytymätön;unsatisfied;elégedetlen
tyytyväinen;content;elégedett
täsmällinen;precise, exact;pontos, precíz
uhkarohkea;foolhardy;kalandos
ujo, arka;shy, timid;félénk
ulospäin-suuntautunut;outgoing;kimenő
urheilullinen;sporty;sportos
urhoollinen;valiant;bátor
uskalias;bold;merész
uskollinen;faithful;hűséges
uskoton;unfaithful;hűtlen
vaatimaton;modest;szerény
vaativa;demanding;igényes
vahva;strong;erős
vakava, totinen;serious;komoly
vakuuttava;convincing;meggyőző
vallanhimoinen;power-hungry;hataloméhes
vastuutuntoinen;responsible;felelős
vihamielinen;hostile;ellenséges
vihainen;angry;őrült, mérges
viisas;wise;bölcs
vilkas;wild, energetic;élénk
villi;wild;vad
vilpitön;frank, sincere;őszinte
väkivaltainen;aggressive;erőszakos
yhteistyökykyinen;good at team work;szövetkezet
yksinäinen;lonely;magányos
ylimielinen;arrogant;arrogáns
yritteliäs;doesn't give up;vállalkozó szellemű
ystävällinen;friendly;barátságos
äkkipäinen;quick-tempered;hirtelen
älykäs;intelligent;intelligens
ärsyttävä;annoying;irritáló
äänekäs;loud;hangos
Hän tulee toimeen kaikkien kanssa.;She/he gets along with everyone.;Mindenkivel kijön.
Hän oikeasti välittää ihmisistä.;She/he really cares about people.;Tényleg törődik az emberekkel.
Hän ei satuttaisi kärpästäkään.;She/he wouldn't hurt a fly.;Egy légynek sem bántana.
Hän on tarvittaessa aina valmiina auttamaan.;She/he is always ready to help if needed.;Mindig készen áll a segítségére, ha szükséges.
Hän ei puhu pahaa toisista selän takana.;She/he doesn't talk shit about others behind their back.;Nem beszél rosszat másokról a hátuk mögött.
Hän osaa olla häiritsemättä silloin, kun tarvitset työrauhan.;She/he knows not to bother when you need space and quiet.;Tudja, hogyan ne zavarjon, ha nyugalomra van szüksége.
Hän sanoo sanottavansa suoraan.;She/he says things straight to your face.;Azt mondja, egyenes lesz.
Hän on aidosti ilahtunut sinut nähdessään.;She/he is genuinly happy to see you.;Őszintén örül, hogy lát téged.
Hän kannustaa tarpeen tullen.;She/he supports you when needed.;Bátorít, ha kell.
Hän antaa palautetta ja kritiikkiä asiallisesti.;She/he gives feedback and critique in a positive manner.;Tényszerű visszajelzést és kritikát ad.
Hän kuuntelee ilman että tuomitsee sinua.;She/he listens without judging you.;Úgy hallgat, hogy nem ítél el.
