Finnish;English;Hungarian
Onko sinulla paljon ystäviä?;Do you have a lot of friends?;Van sok barátod?
Kuinka monta hyvää ystävää sinulla on?;How many good friends do you have?;Hány jó barátod van?
Kuinka monta kaveria sinulla on?;How many buddies do you have?;Hány haverod van?
Onko sinulla paras ystävä?;Do you have a best friend?;Van legjobb barátod?
Kuka on sinun paras ystäväsi?;Who is your best friend?;Ki a legjobb barátod?
Missä paras ystäväsi asuu?;Where does your best friend live?;Hol lakik a legjobb barátod?
Miksi hän on paras ystäväsi?;Why are they your best friend?;Miért ő a legjobb barátod?
Kuinka tärkeä paras ystäväsi on sinulle?;How important is your best friend to you?;Mennyire fontos számodra a legjobb barátod?
Mitä teet ystävien kanssa?;What do you do with friends?;Mit csinálsz a barátaiddal?
Onko teillä yhteisiä harrastuksia?;Do you have hobbies in common?;Vannak közös hobbijaik?
Mihin menet ystävien kanssa?;Where do you go with friends?;Hová mész a barátaiddal?
Kuinka usein tapaat ystäväsi?;How often do you meet your friend(s)?;Milyen gyakran találkozol a barátaiddal?
Milloin tapaat ystäväsi?;When do you meet your friend(s)?;Mikor találkozol a barátaiddal?
Missä ja milloin tapasit lapsena ystäviä?;Where and when did you meet friends as a child?;Hol és mikor találkoztál gyerekkorodban barátokkal?
Millaisia kavereita sinulla on?;What kind of friends do you have?;Milyen típusú barátaid vannak?
Ovatko kaikki kaverisi yhtä hyviä kavereita?;Are all your friends equally good friends?;Minden barátod ugyanolyan jó barát?
Onko ystäväsi samanlainen kuin sinä?;Is your friend similar to you?;Hasonló a barátod hozzád?
Ovatko ystäväsi samanlaisia kuin sinä?;Are your friends similar to you?;A barátaid hasonlóak hozzád?
Oletko kovin erilainen kuin ystäväsi?;Are you very different from your friend?;Nagyon különbözöl a barátodtól?
Oletko omasta mielestäsi hyvä ystävä?;Do you think you yourself as a good friend?;Jó barátnak tartod magad?
Mitä hyvä ystävä tekee?;What does a good friend do?;Mit csinál egy jó barát?
Mitä hyvä ystävä ei tee?;What does a good friend not do?;Mit nem tesz egy jó barát?
Kerrotko ystävillesi ihan kaiken?;Do you tell your friends absolutely everything?;Elmondasz mindent a barátaidnak?
Käyttäydytkö eri tavalla eri ystävien kanssa?;Do you behave differently with different friends?;Másképp viselkedsz a különböző barátokkal?
Mitä olet oppinut ystäviltäsi?;What have you learned from your friends?;Mit tanultál a barátaidtól?
Mikä on sinusta ystävän tärkein ominaisuus?;What do you think is the most important quality of a friend?;Mi szerinted a barát legfontosabb tulajdonsága?
Onko nettiystävä oikea ystävä?;Is an online friend a real friend?;Az internetes barát igazi barát?
Onko sinulla ystäviä Internetissä?;Do you have friends on the Internet?;Van barátod az interneten?
Onko Facebook-kaveri oikea ystävä?;Is a Facebook friend a real friend?;A Facebook-barátnak számít igazi barátnak?
Lasketko sisaruksesi ystäviisi?;Do you count your siblings as your friends?;A testvéreidet barátnak számítod?
Tarvitsetko paljon ystäviä?;Do you need a lot of friends?;Szükséged van sok barátra?
Mitä etuja on siitä, että on paljon ystäviä?;What are the advantages of having a lot of friends?;Milyen előnyei vannak, ha sok barátod van?
Mitä haittoja on siitä, että on paljon ystäviä?;What are the disadvantages of having a lot of friends?;Milyen hátrányai vannak, ha sok barátod van?
Minkä tasoisia ystäviä ihmisillä voi olla?;What level of friends can people have?;Milyen szintű barátai lehetnek az embereknek?
Onko ystävän sukupuoli sinulle tärkeä?;Is a friend's gender important to you?;Fontos számodra a barát nem?
Voiko entisen puolison kanssa olla ystäviä?;Can one be friends with an ex?;Lehet valaki barát az exével?
Kumpi on tärkeämpää: ystävyys vai perhe?;Which one is more important: friendship or family?;Mi a fontosabb: barátság vagy család?
