French;Finnish;Hungarian
Qu'est-ce qu'ils font à Bruxelles, tes parents ?;Mitä vanhempasi tekevät Brysselissä?;Mit csinálnak a szüleid Brüsszelben?
Qu'est-ce que tu fais là ?;Mitäs puuhaat?;Mit csinálsz ott?
Gabriel et Miro font la queue.;Gabriel ja Miro jonottavat.;Gabriel és Miro sorban állnak.
Il fait beau.;On kaunis ilma / hyvä sää.;Szép az idő.
Il fait 35 degrés à l'ombre !;Varjossa on 35 astetta!;Árnyékban 35 fok van!
Il fait chaud.;On kuuma ilma.;Meleg van.
Qu'est-ce que vous prenez ?;Mitä otatte?;Mit kérnek / vesznek?
On prend un café avec Inka et Sophie ?;Juodaanko kahvit Inkan ja Sophien kanssa?;Igyunk egy kávét Inkával és Sophie-val?
On prend une glace ?;Syödäänkö jäätelöt?;Együnk egy fagyit?
Gabriel et Miro prennent un selfie ensemble.;Gabriel ja Miro ottavat selfien yhdessä.;Gabriel és Miro együtt készítenek egy szelfit.
Anna et Frédéric prennent une pause.;Anna ja Frédéric pitävät tauon.;Anna és Frédéric szünetet tartanak.
Apprendre le finnois, ça prend du temps.;Suomen oppiminen vie aikaa.;A finn nyelv megtanulása időbe telik.
détester;inhota;utálni
aimer;rakastaa, pitää;szeretni
aimer bien;pitää, tykätä;kedvelni
adorer;pitää todella paljon;imádni
préférer;pitää enemmän / parempana;jobban szeretni / előnyben részesíteni
J'aime bien le chocolat.;Tykkään suklaasta.;Szeretem a csokoládét.
J'adore ton frère.;Pidän tosi paljon veljestäsi.;Imádom a bátyádat (fiú).
J'aime ce parc.;Pidän tästä puistosta.;Szeretem ezt a parkot.
J'adore la vue.;Pidän todella kovasti näköalasta.;Imádom a kilátást.
Je déteste les selfies !;Inhoan selfieitä!;Utálom a szelfiket!
Mon fils aime envoyer des photos.;Poikani tykkää lähettää valokuvia.;A fiam (fiú) szeret fényképeket küldeni.
Je déteste faire la queue.;Inhoan jonottaa.;Utálok sorban állni.
Inka envoie un message sur whatsapp à Sophie.;Inka lähettää whatsapp-viestin Sophielle.;Inka üzenetet küld Sophie-nak Whatsappon.
J'envoie une photo de nous à ma mère.;Lähetän valokuvan meistä äidilleni.;Küldök egy képet rólunk anyámnak (lány).
Ah, c'est mon fils, il aime envoyer des photos !;Ai, se on poikani, hän tykkää lähettää valokuvia!;Ó, ez a fiam (fiú), szeret képeket küldeni!
apporter;tuoda (kantamalla);hozni (kézben)
commencer;alkaa, aloittaa;elkezdeni
marcher;kävellä, toimia;járni, működni
regarder;katsoa;nézni
réviser;kerrata (tenttiin);ismételni (vizsgára)
terminer;lopettaa;végezni, befejezni
trouver;löytää;megtalálni
