Finnish;English
tämä;this
joulu;Christmas
hitti;hit
olla;to be
koira;dog
ja;and
kissa;cat
oma;own
viini;wine
lemmikki;pet
lahjapaketti;gift package
voida;can
kuoriutua;to emerge
myös;also
vaikkapa;(let's) say
timanttipanta;diamond collar
vai, tai;or
hemmottelulahjakortti;pampering gift card
omistaja;owner
hemmotella;to pamper
sama;same
tapa;way
kuin;as
muu;other
perheenjäsen;family member
välillä;sometimes
eläin;animal
lahja;gift
herkku;treat
vaikuttaa;to seem
kovin;very
ihmismäinen;human-like
miltä;how does it
kuulostaa;to sound
myynti;sales
käydä;to go
nyt;now
vilkkaasti;briskly
markkina;market
pari;couple
vuosi;year
sitten;ago
mutta;but
syksy;autumn
tarjonta;supply
se;it
mukana;along
kysyntä;demand
kasvaa;to grow
esimerkiksi;for example
kertoa;to tell
että;that
saada;to receive
hyvä;good
vastaanotto;reception
yrittäjä;entrepreneur
sanoa;to say
erityisesti;especially
olut;beer
edelleen;still
suosittu;popular
myydä;to sell
tasainen;even
ympäri;around
lisäravinne;supplement
sisältää;to contain
muun muassa;among other things
vitamiini;vitamin
kasvisperäinen;plant-based
maku;taste
tulla;to come
yrtti;herb
alkoholi;alcohol
ei;not
tarjota;to offer
kuppi;cup
kaataa;to pour
ruoka;food
päälle;on top
näin;this way
tunnelma;atmosphere
perinteinen;traditional
joulupaketti;Christmas package
sujahtaa;to slip into
usein;often
jokin;something
syötävä;edible
lelu;toy
pehmeä;soft
peti;bed
hänen;his/her
mukaan;according to, along
hieman;slightly
luksus;luxury
vaate;clothing
terveys;health
hyvinvointi;well-being
liittyä;to relate to
tuote;product
aktivointilelu;activation toy
lahjakortti;gift card
hankkia;to acquire
turkinhoito;coat care
kynsienhoito;nail care
hampaidenhoito;dental care
keskeinen;central
hyväntekeväisyys;charity
myötä;along with
koditon;homeless
antaa;to give
asiakas;customer
ostaa;to buy
toimittaa;to deliver
löytöeläintalo;animal shelter
ilahduttaa;to bring joy
muistaa;to remember
aineeton;immaterial
kiireetön;unhurried
aika;time
yhdessä;together
lenkki;walk
leikkiminen;playing
aktivoiminen;activating
arvostaa;to appreciate
yksilöllinen;individual
luonne;character
arka;shy
tarpeeksi;enough
rauha;peace
puuhailla;to engage in activities
opastaa;to guide
