Finnish;English
labra, laboratorio;lab
hiukkasfysiikan standardimalli;standard model of particle physics
maailmankaikkeus;universe
nopeus;velocity
kiihtyvyys;acceleration
voima;force
kvanttimekaniikka;quantum mechanics
yleinen suhteellisuusteoria;general relativity
alkeishiukkanen;elementary particle
(ylös, alas, lumo, huippu, outo) kvarkki;(up, down, charm, top, strange) quark
elektroni;electron
spinkvanttiluku;spin quantum number
fermioni, bosoni, gravitoni;fermion, boson, graviton
tasavirtapiiri;DC-circuit
solmu;knot
solmuista;from knots
apilasolmu;trefoil knot
Seuraavissa viidessä minuutissa;In the next five minutes
molemmat ;both 
melkein kaikki liikkuu;almost everything moves 
atomeista tähtiin;from atoms to the stars
nopeus on matka ajalla;speed is the distance over time
kiihtyvyys on nopeuden muutos ajalla;acceleration is the change in velocity with time
voima on massan ja kiihtyvyyden tulo;force is the product of mass and acceleration
emme ole löytäneet siitä;we have not found it
Normaaleissa materiaaleissa;In normal materials
tasajännitelähde;DC voltage source
virta- ja jännitemittari;a current and voltage meter
yleismittari;multimeter
resistorit;resistors
johtimiat;wires
kangaskassi;cloth bag 
harjoitusryhmissä;in excercise groups
Teoreettinen optiikka ja fotoniikka;Theoretical optics and photonics
Kokeellinen kvanttioptiikka;Experimental quantum optics 
Kvanttikontrolli ja dynamiikka;Quantum Control and Dynamics
laser;laser
peilit;mirrors
kamera;camera
