Finnish;English;Hungarian
Minä pelaan jääkiekkoa.;I play ice hockey.;Én jégkorongozom.
Minä pelaan Fortniteä.;I play Fortnite.;Én Fortnite-ozom.
Sinä pelaat tennistä.;You play tennis.;Te teniszezel.
Sinä pelaat rahapelejä.;You play cash games.;Te pénzes játékokat játszol.
Hän pelaa jalkapalloa.;She plays soccer.;Ő focizik.
Hän pelaa Minecraftia.;She plays Minecraft.;Ő Minecraft-ozik.
Me pelaamme pesäpalloa.;We play baseball.;Mi baseballozunk.
Me pelaamme Monopolia.;We play Monopoly.;Mi Monopolyt játszunk.
Te pelaatte sulkapalloa.;You play badminton.;Ti tollaslabdáztok.
Te pelaatte Tetristä.;You play Tetris.;Ti Tetris-eztek.
He pelaavat golfia.;They play golf.;Ők golfoznak.
He pelaavat lautapelejä.;They play boardgames.;Ők társasjátékoznak.
Minä leikin pihalla.;I play in the yard.;Én az udvaron játszom.
Minä leikin Legoilla.;I play with Legos.;Én Legóval játszom.
Sinä leikit ulkona.;You play outside.;Te kint játszol.
Sinä leikit leluautoilla.;You play with toy cars.;Te játékautókkal játszol.
Hän leikkii yksin.;She plays alone.;Ő egyedül játszik.
Hän leikkii omilla varpaillaan.;She plays with her toes.;Ő a lábujjaival játszik.
Me leikimme piilosta.;We play hide and seek.;Mi bújócskázunk.
Me leikimme nukeilla.;We play with dolls.;Mi babákkal játszunk.
Te leikitte kotia.;You play house.;Ti házasdit játszotok.
Te leikitte ruoalla.;You play with your food.;Ti az étellel játszotok.
He leikkivät hippaa.;They play tag.;Ők fogócskáznak.
He leikkivät barbeilla.;They play with barbies.;Ők Barbie-kkal játszanak.
Minä soitan kitaraa.;I play the guitar.;Én gitározom.
Minä soitan ovikelloa.;I ring the doorbell.;Én megnyomom a csengőt.
Sinä soitat pianoa.;You play the piano.;Te zongorázol.
Sinä soitat äidillesi.;You call your mom.;Te felhívod az anyukádat.
Hän soittaa viulua.;She plays the violin.;Ő hegedül.
Hän soittaa kelloa.;She rings the bell.;Ő megkongatja a csengőt.
Me soitamme rumpuja.;We play the drums.;Mi dobolunk.
Me soitamme summeria.;We ring the buzzer.;Mi megszólaltatjuk a csengőt.
Te soitatte huilua.;You play the flute.;Ti fuvoláztok.
Te soitatte CD-levyä.;You play a CD.;Ti CD-t játszotok le.
He soittavat urkuja.;They play the organ.;Ők orgonálnak.
He soittavat auton torvea.;They honk the car's horn.;Ők dudálnak az autóval.
Minä näyttelen komediateatterissa.;I act in the comedy theater.;Én a vígjátékszínházban játszom.
Sinä näyttelet Sofia-nimistä palkkamurhaajaa.;You play the role of a serial killer called Sofia.;Te egy Sophiának nevezett bérgyilkost alakítasz.
Hän näyttelee pääosaa TV-sarjassa.;She plays the lead in the TV-series.;Ő főszerepet játszik a tévésorozatban.
Me näyttelemme tärkeää roolia elokuvassa.;We play an important role in the movie.;Mi fontos szerepet alakítunk a filmben.
Te näyttelette elokuvassa Olavi Virran poikia.;You play the sons of Olavi Virta in the movie.;Ti Olavi Virta fiait játsszátok a filmben.
He näyttelevät Putouksessa.;They act in the show called Putous.;Ők a „Putous" című műsorban szerepelnek.
