Finnish;English;Hungarian
aloittaa;to start;elkezdeni
lopettaa;to stop / quit (e.g. I started a course);abbahagy
alkaa;to begin;kezdődni
loppua;to end (e.g. summer vacation began);befejeződni
antaa;to give;adni
ottaa;to take;elvenni
aueta;to open up;kinyílni
sulkeutua;to close down (e.g. the door opens);bezáródni
avata;to open;kinyitni
sulkea;to close (e.g. I open the door);bezárni (az ajtót)
elää;to live;élni
kuolla;to die;meghalni
haukkua;to criticize / badmouth;szidni
kehua;to praise;dicsérni
hengittää;to breathe;lélegezni
pidättää hengitystä;to hold your breath;visszatartani a lélegzetet
hengittää sisään;to breathe in;belenézni (lélegzetbe)
hengittää ulos;to breathe out;kifújni (lélegzetet)
hidastaa;to slow down;lassítani
nopeuttaa;to speed up (e.g. your walking speed);gyorsítani
huomata;to notice;észrevenni
olla huomaamatta;to not notice;nem észrevenni
huutaa;to yell;kiabálni
kuiskata;to whisper;suttogni
hyökätä;to attack;támadni
puolustaa;to defend (e.g. defend a person / idea);védeni
häiritä;to disturb / bother;zavarni
jättää rauhaan;to leave be;békén hagyni
hätääntyä;to panic;pánikolni
pysyä rauhallisena;to remain calm;nyugodtnak maradni
ihailla;to admire;csodálni
halveksia;to despise;megvetni
ilmaantua;to appear;megjelenni
iloita;to rejoice;örülni
surra;to mourn;gyászolni
itkeä;to cry;sírni
nauraa;to laugh;nevetni
järjestää;to order / organize;rendezni
sekoittaa;to mix up;összekeverni
jäähdyttää;to let cool down;hűteni
kuumentaa;to heat up;melegíteni
kaasuttaa;to gas, put the pedal down, accelerate;gázolni
jarruttaa;to brake (a car);fékezni
kaataa puu;to fell a tree;fát kivágni
istuttaa puu;to plant a tree;fát ültetni
kastella;to water / wet;öntözni
kuivattaa;to dry out (e.g. I water plants);szárítani
kastua;to get wet;nedvesedni
kuivua;to dry up (e.g. I get wet in the rain);megszáradni
kasvaa;to grow;nőni
kutistua;to shrink;összezsugorodni
keskeyttää;to interrupt;megszakítani
jatkaa;to continue;folytatni
kirjautua sisään;to sign in;bejelentkezni
kirjautua ulos;to sign out;kijelentkezni
kirkastua;to brighten;világosodni
hämärtyä;to darken (e.g. weather, day);sötétedni
koota;to put together;összeszerelni
purkaa;to take apart;szétszedni
kysyä;to ask;kérdezni
vastata;to answer / reply;válaszolni
köyhtyä;to become poor(er);szegényedni
