Finnish;English;Hungarian
arabia;Arabic;Arab
Minä puhun arabiaa.;I speak Arabic.;Beszélek arabul
englanti;English;Angol
Minä puhun englantia.;I speak English.;Beszélek angolul
espanja;Spanish;Spanyol
Minä puhun espanjaa.;I speak Spanish.;Beszélek spanyolul
hindi;Hindi;Hindi
Minä puhun hindiä.;I speak Hindi.;Beszélek hindin nyelven
hollanti;Dutch;Holland
Minä puhun hollantia.;I speak Dutch.;Beszélek hollandul
igbo;Igbo;Igbo
Minä puhun igboa.;I speak Igbo.;Beszélek igbo nyelven
italia;Italian;Olasz
Minä puhun italiaa.;I speak Italian.;Beszélek olaszul
japani;Japanese;Japán
Minä puhun japania.;I speak Japanese.;Beszélek japánul
joruba;Yoruba;Joruba
Minä puhun jorubaa.;I speak Yoruba.;Beszélek jorubául
kiina;Chinese;Kínai
Minä puhun kiinaa.;I speak Chinese.;Beszélek kínaiul
korea;Korean;Koreai
Minä puhun koreaa.;I speak Korean.;Beszélek koreaiul
kreikka;Greek;Görög
Minä puhun kreikkaa.;I speak Greek.;Beszélek görögül
nepali;Nepalese;Nepáli
Minä puhun nepalia.;I speak Nepalese.;Beszélek nepáliul
norja;Norwegian;Norvég
Minä puhun norjaa.;I speak Norwegian.;Beszélek norvégul
persia;Persian;Perzsa
Minä puhun persiaa.;I speak Persian.;Beszélek perzsául
portugali;Portuguese;Portugál
Minä puhun portugalia.;I speak Portuguese.;Beszélek portugálul
puola;Polish;Lengyel
Minä puhun puolaa.;I speak Polish.;Beszélek lengyelül
ranska;French;Francia
Minä puhun ranskaa.;I speak French.;Beszélek franciául
saksa;German;Német
Minä puhun saksaa.;I speak German.;Beszélek németül
somali;Somali;Szomáliai
Minä puhun somalia.;I speak Somali.;Beszélek szomálian
swahili;Swahili;Szuahéli
Minä puhun swahilia.;I speak Swahili.;Beszélek szuahélül
tagalogi;Tagalog;Tagalog
Minä puhun tagalogia.;I speak Tagalog.;Beszélek tagalogul
tanska;Danish;Dán
Minä puhun tanskaa.;I speak Danish.;Beszélek dánul
thai;Thai;Thai
Minä puhun thaita.;I speak Thai.;Beszélek thai nyelven
turkki;Turkish;Török
Minä puhun turkkia.;I speak Turkish.;Beszélek törökül
unkari;Hungarian;Magyar
Minä puhun unkaria.;I speak Hungarian.;Beszélek magyarul
urdu;Urdu;Urdu
Minä puhun urdua.;I speak Urdu.;Beszélek urdu nyelven
viro;Estonian;Észt
Minä puhun viroa.;I speak Estonian.;Beszélek észtül
venäjä;Russian;Orosz
Minä puhun venäjää.;I speak Russian.;Beszélek oroszul
vietnam;Vietnamese;Vietnami
Minä puhun vietnamia.;I speak Vietnamese.;Beszélek vietnamiul
Mitä kieltä sinä puhut?;What language do you speak?;Milyen nyelvet beszélsz?
Mitä kieliä sinä puhut?;What languages do you speak?;Milyen nyelveket beszélsz?
Puhuuko Joel englantia?;Does Joel speak English?;Beszél Joel angolul?
Puhuuko Joel suomea?;Does Joel speak Finnish?;Beszél Joel finnül?
Puhutko sinä ranskaa?;Do you speak French?;Beszélsz franciául?
Puhutko sinä arabiaa?;Do you speak Arabian?;Beszélsz arabul?
Oletko opiskellut ranskaa?;Have you studied French?;Tanultál franciául?
Minun äidinkieleni on arabia.;My native language is Arabic.;Anyanyelvem arab
Äidinkieleni on urdu.;My native language is Urdu.;Anyanyelvem urdu
En puhu suomea.;I don't speak Finnish.;Nem beszélek finnül
Minä puhun suomea.;I speak Finnish.;Beszélek finnül
Minä puhun vähän suomea.;I speak a little Finnish.;Beszélek egy kicsit finnül
Minä puhun vain suomea.;I speak only Finnish.;Csak finnül beszélek
Osaan puhua suomea sujuvasti.;I can speak Finnish fluently.;Folyékonyan beszélek finnül
Osaan puhua suomea melko hyvin.;I can speak Finnish fairly well.;Elég jól beszélek finnül
Osaan puhekielen suomea hyvin.;I can use spoken Finnish fluently.;Jól tudok finn beszélt nyelvet használni
Kirjoittaminen on minulle vielä hankalaa.;Writing is still challenging for me.;Az írás még mindig kihívás számomra
Olen parempi puhumaan kuin kirjoittamaan.;I'm better at speaking than at writing.;Jobb vagyok beszélni, mint írni
Minä puhun ruotsia huonosti.;I speak Swedish badly.;Rosszúl beszélek svédül
Minä puhun englantia sujuvasti.;I speak English fluently.;Folyékonyan beszélek angolul
Minä puhun ranskaa hyvin.;I speak French well.;Jól beszélek franciául
Hän puhuu aika hyvin.;He speaks quite good.;Egész jól beszél
Minä ymmärrän, mutta en puhu paljon.;I understand, but I don't speak a lot.;Értem, de nem beszélek sokat
Puhun kolmea kieltä.;I speak three languages.;Három nyelvet beszélek
Puhun kahta kieltä sujuvasti.;I speak two languages fluently.;Két nyelvet beszélek folyékonyan
Haluan oppia puhumaan suomea.;I want to learn to speak Finnish.;Szeretnék megtanulni finnül beszélni
perusteet / alkeet;basics;alapok
kohtalainen / tyydyttävä;moderate;mérsékelt
hyvä;good;jó
sujuva;fluent;folyékony
erinomainen;excellent;kiváló
äidinkieli;mother tongue;anyanyelv
