Finnish;English;Hungarian
joulu;Christmas;Karácsony
joulupukki;Santa;Mikulás
joulumuori;Mrs. Claus;Mikulásné
joulunodotus;waiting for Christmas;Karácsonyra várás
Hyvää joulunodotusta!;Happy Christmas waiting!;Kellemes karácsonyvárást!
Hyvää joulua!;Merry Christmas!;Boldog karácsonyt!
jouluaatto;Christmas Eve, 24th Dec;Szenteste, december 24.
joulupäivä;Christmas Day, 25th Dec;Karácsony napja, december 25.
tapaninpäivä;Boxing Day, 26th December;Szent István napja, december 26.
pikkujoulut;Christmas party;Előkarácsonyi buli
Jeesuksen syntymä;the birth of Jesus;Jézus születése
Jouluperinteitä;Christmas traditions;Karácsonyi hagyományok
joululoma;Christmas holiday;Karácsonyi szünet
joulusiivous;Christmas cleaning;Karácsonyi takarítás
joulurauha;Christmas Peace;Karácsonyi béke
joulurauhan julistus;Christmas declaration;Karácsonyi békehirdetés
joulusauna;Christmas sauna;Karácsonyi szauna
joulukirkko;Christmas church service;Karácsonyi templomi mise
viedä kynttilät haudalle;to bring candles to the grave;Gyertyát vinni a sírhoz
joululaulu;Christmas song;Karácsonyi dal
joulumusiikki;Christmas music;Karácsonyi zene
joululahja;Christmas present;Karácsonyi ajándék
pehmeä paketti;"soft package" (e.g. socks as gift);Puha csomag (pl. zokni)
kova paketti;"hard package" (gift that's not clothing);Kemény csomag (nem ruha)
joulukortti;Christmas card;Karácsonyi képeslap
joulukalenteri;Advent calendar;Adventi naptár
Korvatunturi;Korvatunturi;Korvatunturi
enkeli;angel;Angyal
Joulukoristeita;Christmas decorations;Karácsonyi díszek
joulukuusi;Christmas tree;Karácsonyfa
koristella;to decorate, ornament;Díszíteni
jouluvalot;Christmas lights;Karácsonyi fények
joulutonttu;nisse, Christmas elf;Karácsonyi manó
tonttulakki, joululakki;Christmas hat;Manósapka, karácsonyi sapka
joulutähti;poinsettia, Christmas star;Mikulásvirág
jouluruusu;hellebore, Christmas rose;Karácsonyi rózsa
joulukranssi;Christmas wreath;Karácsonyi koszorú
olkipukki;Yule goat decoration;Szalmakecske dísz
joulukynttilä;Christmas candle;Karácsonyi gyertya
jäälyhty;ice lantern;Jéglámpás
lumilyhty;snow lantern;Hó lámpás
himmeli;straw decoration;Szalmadísz
Jouluateria;Christmas meal;Karácsonyi étkezés
jouluruoka;Christmas food;Karácsonyi étel
joulupuuro;Christmas porridge;Karácsonyi zabkása
porkkanalaatikko;carrot casserole;Sárgarépakása
lanttulaatikko;swede casserole;Fehérrépakása
imelletty perunalaatikko;potato casserole;Karamellizált krumplikása
maksalaatikko;liver casserole;Májkása
kylmäsavustettu lohi;cold smoked salmon;Hidegen füstölt lazac
graavilohi;gravlax;Gravlax (sózott lazac)
piparkakku, pipari;ginger snap;Mézeskalács
piparkakkutalo;gingerbread house;Mézeskalács ház
joulutorttu;"Christmas tart";Karácsonyi pite
lipeäkala;lutefisk;Lúgos hal
luumukiisseli;prune soup;Szilvakása
joulukinkku;Christmas ham;Karácsonyi sonka
rosolli;rosolli salad;Rosolli saláta
karjalanpaisti;Karelian hot pot;Kareliai pörkölt
glögi;glögi (drink);Forralt bor, glögi
Joulumausteita;christmas spices;Karácsonyi fűszerek
kardemumma;cardamom;Kardamom
inkivääri;ginger;Gyömbér
neilikka;clove;Szegfűszeg
kaneli;cinnamon;Fahéj
pomeranssinkuori;bitter orange peel;Keserű narancshéj
maustepippuri;allspice;Szerecsendió
Iloista joulua!;Happy Christmas!;Vidám karácsonyt!
Hyvää joulua ja onnellista uutta vuotta!;Merry Christmas and Happy New Year!;Boldog karácsonyt és boldog új évet!
Rauhallista joulunaikaa ja onnea uudelle vuodelle!;Peaceful Christmas and happiness for the new year!;Békés karácsonyi időszakot és szerencsés új évet!
Iloista joulunaikaa ja menestystä uudelle vuodelle!;Happy Christmas and prosperity for the new year!;Vidám karácsonyi időszakot és sikeres új évet!
Lämmin joulutervehdys!;A warm Christmas greeting!;Meleg karácsonyi üdvözlet!
Parhain joulutoivotuksin!;With the best Christmas greetings!;Legjobb karácsonyi jókívánságokkal!
Tunnelmallista joulunaikaa toivottaen!;Wishing you an atmospheric Christmas time!;Hangulatos karácsonyi időszakot kívánva!
Hyvää vuodenvaihdetta ja onnellista uutta vuotta!;Happy New Year's Eve and Happy New Year!;Boldog szilvesztert és boldog új évet!
Hyvää juhlakautta ja onnellista uutta vuotta!;Happy festive season and Happy New Year!;Boldog ünnepi időszakot és boldog új évet!
Hyvää talven juhla-aikaa ja onnellista uutta vuotta!;Happy winter holidays and Happy New Year!;Boldog téli ünnepeket és boldog új évet!
