French;English;Hungarian
J'ai;I have;Nekem van
Tu as;You have;Neked van
Il / elle / on a;He / She / One has;Neki van (fiú / lány)
Nous avons;We have;Nekünk van
Vous avez;You have;Önnek / Önöknek van
Ils / elles ont;They have;Nekik van (fiúk / lányok)
J'ai une voiture.;I have a car.;Van egy autóm.
Il a des enfants.;He has children.;Vannak gyerekei. (fiú)
Vous avez un appartement.;You have an apartment.;Van egy lakása.
Je suis;I am;Én vagyok
Tu es;You are;Te vagy
Il / elle / on est;He / She / One is;Ő (fiú / lány)
Nous sommes;We are;Mi vagyunk
Vous êtes;You are;Ön / Önök vannak
Ils / elles sont;They are;Ők (fiúk / lányok)
Je suis espagnol.;I am Spanish.;Spanyol vagyok (fiú)
Nous sommes Suisses.;We are Swiss.;Svájciak vagyunk
Ils sont mariés.;They are married.;Házasok (fiúk / vegyes csoport)
Vous avez l'heure SVP ?;Do you have the time, please?;Meg tudja mondani az időt, kérem?
Vous avez la monnaie ?;Do you have change?;Van apró pénze?
Vous avez une carte de fidélité ?;Do you have a loyalty card?;Van törzsvásárlói kártyája?
Vous avez la carte Manor ?;Do you have a Manor card?;Van Manor-kártyája?
Vous avez des enfants ?;Do you have children?;Vannak gyerekei?
J'ai un rendez-vous.;I have an appointment.;Találkozóm van.
J'ai un problème.;I have a problem.;Van egy problémám.
Je n'ai pas d'ordinateur.;I don't have a computer.;Nincs számítógépem.
Elle a rendez-vous avec le dentiste.;She has an appointment with the dentist.;Találkozója van a fogorvossal.
J'ai chaud !;I am hot!;Melegem van!
J'ai faim !;I am hungry!;Éhes vagyok!
On a deux chiens.;We / One has two dogs.;Két kutyánk van.
J'ai besoin de dormir.;I need to sleep.;Aludnom kell.
Vous êtes anglais ?;Are you English?;Angol? (magázó)
Vous êtes malade ?;Are you sick?;Beteg? (magázó)
Il est malade ?;Is he sick?;Beteg? (fiú)
Vous êtes ?;You are...?;Ön...?
Je suis malade.;I am sick.;Beteg vagyok.
Je suis fatiguée.;I am tired.;Fáradt vagyok (lány)
Je suis en forme.;I am in good shape.;Jó formában vagyok.
Désolé, je suis en retard.;Sorry, I am late.;Bocsánat, késtem.
Je m'appelle;My name is;Engem hívnak
Tu t'appelles;Your name is;Téged hívnak
Il / elle s'appelle;His / Her name is;Őt hívják (fiú / lány)
Nous nous appelons;Our names are;Minket hívnak
Vous vous appelez;Your name is;Önt hívják / Titeket hívnak
Ils / elles s'appellent;Their names are;Őket hívják (fiúk / lányok)
