Finnish;English;Hungarian
materia;matter;anyag
ominaisuus;property;tulajdonság
aine;substances;anyagok
yhdistää;combine;együttműködik / kombinál
hajota;separate;szétválik
vuorovaikuttaa;interact;hat egymásra
kemia;chemistry;kémia
kemiallinen;chemical;kémiai
reaktioyhtälö;chemical equation;kémiai egyenlet
alkuaine;element;elem
molekyyli;molecule;molekula
ioni;ion;ion
atomi;atom;atom
atomipaino;atomic weight;atomtömeg
reaktio;reaction;reakció
yhdiste;compound;vegyület
sidos;bond;kötés
kaava;formula;képlet
metalli;metal;fém
epämetalli;non-metal;nemfém
happi;oxygen;oxigén
vety;hydrogen;hidrogén
typpi;nitrogen;nitrogén
typpihappo;nitric acid;salétromsav
rikki;sulphur;kén
rikkihappo;sulphuric acid;sósav (vagy kénsav)
hiili;carbon;szén
kalium;potassium;kálium
hiilihydraatti;carbohydrate;szénhidrát
proteiini;protein;fehérje
rasva;lipid, fat;zsír
kiinteä;solid;szilárd
neste;liquid;folyékony
kaasu;gas;gáz
liueta;to dissolve;oldódik
liuos;solution;oldat
happo;acid;sav
hapan;acidic;savas
happamuus;acidity;savasság
emäs;base;bázis
tislaus;distillation;desztilláció
indikaattori;indicator;indikátor
elektrolyysi;electrolysis;elektrolízis
elektrolyytti;electrolyte;elektrolit
anodi;anode;anód
katodi;cathode;kátód
