Finnish;English;Hungarian
Juotavaa;Drinks;Italok
kahvi;coffee;kávé
kahvi maidolla;coffee with milk;tejjel készült kávé
kahvi kerman kera;coffee with cream;tejszínes kávé
musta kahvi;black coffee;feketekávé
kahvi maitovaralla;a coffee with space for milk;kávé tejjel tálalva
kofeiiniton kahvi;decaffeinated coffee;koffeinmentes kávé
latte;latte;latte
tee;tea;tea
tee sitruunan kera;tea with lemon;citromos tea
maito;milk;tej
kaakao;hot cocoa;forró csokoládé
tomaattimehu;tomato juice;paradicsomlé
tuoremehu;fruit juice;gyümölcslé
appelsiinimehu;orange juice;narancslé
Munat;Eggs;Tojások
kananmuna;egg;tojás
kovaksi keitetty muna;hard-boiled egg;kemény tojás
pehmeäksi keitetty muna;soft-boiled egg;lágy tojás
kinkkua ja munia;ham and eggs;sonkával és tojással
pekonia ja munia;bacon and eggs;szalonnával és tojással
munakokkeli;scrambled eggs;rántotta
paistettu muna;fried egg;tükörtojás
uppomuna;poached egg;posírozott tojás
munavoi;egg butter;tojásos vaj
Leivonnaiset;Baked goods;Péksütemények
leipä;bread;kenyér
leipäviipale;a slice of bread;kenyérszelet
paahdettu leipä;toast;pirított kenyér
tumma leipä;brown bread;sötét kenyér
vaalea leipä;white bread;fehér kenyér
ruisleipä;rye bread;rozskenyér
kauraleipä;oat bread;zabkenyér
karjalanpiirakka;Karelian pasty;karéliai táska
pulla;bun;kalács
voileipä;sandwich;szendvics
sämpylä;roll;zsemle
voisarvi;croissant;kifli
gluteeniton leipä;gluten-free bread;gluténmentes kenyér
Muuta;Other;Egyéb
murot;cereal;gabona
puuro;porridge;kása
mysli;muesli;müzli
hunaja;honey;méz
sokeri;sugar;cukor
hillo;jam;dzsem
marmeladi;marmalade;marmelád
maapähkinävoi;peanut butter;mogyoróvaj
suklaalevite;chocolate spread;csokikrém
leivänpäälliset;cold cuts;felvágott
meetvursti;salami;szalámi
