French;English;Hungarian
Quel est votre nom ?;What is your name? (formal);Mi a neve? (magázó)
Quel est votre prénom ?;What is your first name? (formal);Mi a keresztneve? (magázó)
Quel est ton nom ?;What is your name? (informal);Mi a neved?
Quel est son nom ?;What is his / her name?;Mi az ő neve?
Comment il s'appelle ?;What is his name?;Hogy hívják őt?
Quelle est votre nationalité ?;What is your nationality? (formal);Mi az Ön nemzetisége? (magázó)
Vous êtes d'où ?;Where are you from? (formal);Honnan való? (magázó)
Vous venez d'où ?;Where do you come from? (formal);Honnan jön? (magázó)
Quelle est ta nationalité ?;What is your nationality? (informal);Mi a nemzetiséged?
Tu es de quelle nationalité ?;What nationality are you? (informal);Milyen nemzetiségű vagy?
Tu viens d'où ?;Where are you from? (informal);Honnan jössz?
Quelles langues vous parlez ?;What languages do you speak? (formal);Milyen nyelveken beszél? (magázó)
Quelles langues tu parles ?;What languages do you speak? (informal);Milyen nyelveken beszélsz?
Vous habitez où ?;Where do you live? (formal);Hol lakik? (magázó)
Tu habites où ?;Where do you live? (informal);Hol laksz?
Vous avez quel âge ?;How old are you? (formal);Hány éves? (magázó)
Tu as quel âge ?;How old are you? (informal);Hány éves vagy?
Vous êtes marié ?;Are you married? (formal);Házas? (magázó)
Tu es marié ?;Are you married? (informal);Házas vagy?
Vous avez des enfants ?;Do you have children? (formal);Vannak gyerekei? (magázó)
Tu as des enfants ?;Do you have children? (informal);Vannak gyerekeid?
Qu'est-ce que vous faites comme travail ?;What do you do for work? (formal);Mivel foglalkozik? (magázó)
Qu'est-ce que tu fais comme travail ?;What do you do for work? (informal);Mivel foglalkozol?
Est-ce que tu travailles ?;Do you work? (informal);Dolgozol?
Quel est votre numéro de téléphone ?;What is your phone number? (formal);Mi a telefonszáma? (magázó)
Quel est ton numéro de téléphone ?;What is your phone number? (informal);Mi a telefonszámod?
Quelle est votre adresse e-mail ?;What is your e-mail address? (formal);Mi az e-mail címe? (magázó)
Quelle est ton adresse e-mail ?;What is your e-mail address? (informal);Mi az e-mail címed?
