Finnish;English;Hungarian
Isä meidän, joka olet taivaissa;Our Father, who art in heaven;Miatyánk, aki a mennyekben vagy
Pyhitetty olkoon sinun nimesi;Hallowed be thy name;Szenteltessék meg a te neved
Tulkoon sinun valtakuntasi;Thy kingdom come;Jöjjön el a te országod
Tapahtukoon sinun tahtosi;Thy will be done;Legyen meg a te akaratod
Myös maan päällä niin kuin taivaassa;On earth as it is in heaven;Földön is úgy, mint a mennyben
Anna meille tänä päivänä;Give us this day;Add meg nekünk ma
Meidän jokapäiväinen leipämme;Our daily bread;Mindennapi kenyerünket
Ja anna meille meidän syntimme anteeksi,;And forgive us our sins;És bocsásd meg vétkeinket
Niin kuin mekin anteeksi annamme niille;As we forgive those;Amint mi is megbocsátunk azoknak
Jotka ovat meitä vastaan rikkoneet;Who sin against us;Akik ellen vétkeztek velünk szemben
Äläkä saata meitä kiusaukseen;And lead us not into temptation;Ne vígy minket kísértésbe
Vaan päästä meidät pahasta;But deliver us from evil;De szabadíts meg a gonosztól
Sillä sinun on valtakunta;For thine is the kingdom,;Mert tiéd az ország
ja voima ja kunnia;and the power, and the glory,;És a hatalom és a dicsőség
iankaikkisesti.;for ever and ever.;Mindörökké
Aamen.;Amen.;Ámen
