Finnish;English;Hungarian
Onko sinulla paljon rahaa?;Do you have a lot of money?;Van sok pénzed?
Onko sinulla tarpeeksi rahaa?;Do you have enough money?;Van elég pénzed?
Riittävätkö rahasi elämiseen?;Do you have enough money to live on?;Elég a pénzed a megélhetésre?
Oletko rikas vai köyhä?;Are you rich or poor?;Gazdag vagy szegény vagy?
Onko sinulla pankkitili?;Do you have a bank account?;Van bankszámlád?
Kuinka monta pankkitiliä sinulla on?;How many bank accounts do you have?;Hány bankszámlád van?
Käytätkö yleensä käteistä maksamiseen?;Do you usually use cash to pay?;Általában készpénzzel fizetsz?
Maksatko yleensä tasarahalla?;Do you usually pay with exact change?;Általában pontosan fizetsz?
Käytätkö yleensä pankkikorttia?;Do you usually use a debit card?;Általában bankkártyát használsz?
Käytätkö kaupassa lähimaksua?;Do you use local payment in the store?;Használsz érintéses fizetést az üzletben?
Onko sinulla aina käteistä lompakossa?;Do you always have cash in your wallet?;Mindig van készpénzed a pénztárcádban?
Onko perheelläsi yhteinen pankkitili?;Does your family have a shared bank account?;Van közös bankszámlátok a családdal?
Kuinka usein ajattelet rahaa?;How often do you think about money?;Milyen gyakran gondolsz a pénzre?
Mitä haluaisit ostaa?;What would you like to buy?;Mit szeretnél venni?
Mihin asioihin käytät rahaa?;What things do you use money for?;Mire költöd a pénzt?
Mihin kulutat eniten rahaa?;What do you spend the most money on?;Mire költesz a legtöbbet?
Paljonko rahaa perheesi kuluttaa kuukaudessa?;How much money does your family spend per month?;Mennyit költ a családod havonta?
Mihin asioihin perheesi käyttää eniten rahaa?;What does your family spend the most money on?;Mire költ a családod a legtöbbet?
Riittääkö rahasi ruokaan?;Is there enough money for food?;Elég a pénzed ételre?
Kuinka paljon rahaa käytät kuukausittain ruokaan?;How much money do you use on food each month?;Mennyit költesz havonta ételre?
Missä ruokakaupassa käyt eniten?;What grocery store do you go to the most?;Melyik boltba jársz a legtöbbet?
Kuinka paljon rahaa käytät viihteeseen?;How much money do you use on entertainment?;Mennyit költesz szórakozásra?
Kuinka paljon rahaa käytät matkustamiseen?;How much money do you use on transportation?;Mennyit költesz utazásra?
Kuinka paljon rahaa käytät vaatteisiin?;How much money do you use on clothing?;Mennyit költesz ruhákra?
Ostatko paljon elektroniikkaa?;Do you buy a lot of electronics?;Veszel sok elektronikai eszközt?
Ostatko paljon kenkiä?;Do you buy a lot of shoes?;Veszel sok cipőt?
Ostatko paljon vaatteita?;Do you buy a lot of clothes?;Veszel sok ruhát?
Mistä ostat vaatteita?;Where do you buy clothes?;Hol veszel ruhát?
Paljonko parturi / kampaamo maksaa?;How much does it cost to visit a barber or hairdresser?;Mennyibe kerül a fodrász?
Onko sinulla korkea vuokra?;Do you have a high rent?;Magas a lakbéred?
Mihin kulutat liikaa rahaa?;What do you spend too much money on?;Mire költesz túl sokat?
Tuhlaatko helposti rahaa?;Do you easily waste money?;Könnyen elherdálod a pénzt?
Ostatko kalliita syntymäpäivälahjoja?;Do you buy expensive birthday presents?;Veszel drága születésnapi ajándékokat?
Ostatko kalliita joululahjoja?;Do you buy expensive Christmas presents?;Veszel drága karácsonyi ajándékokat?
Mikä ostos on tuottanut sinulle eniten iloa?;What purchase has brought you the most joy?;Melyik vásárlás okozta a legtöbb örömet?
Ostatko tavaroita Internetistä?;Do you buy things from the Internet?;Vásárolsz az internetről?
Odotatko yleensä alennusmyyntejä?;Do you usually wait for discount sales?;Meg szoktad várni az akciókat?
Mitä laskuja sinulle tulee säännöllisesti?;What bills do you regularly get?;Milyen számlákat kapsz rendszeresen?
Lahjoitatko koskaan rahaa hyväntekeväisyyteen?;Do you ever donate money to charity?;Adományozol néha jótékony célokra?
Haluatko ansaita korkeaa palkkaa?;Do you want to earn a high salary?;Szeretnél magas fizetést?
Riittääkö palkkasi elämiseen?;Is your salary enough to live on?;Elég a fizetésed a megélhetésre?
Oletko koskaan saanut tuntipalkkaa?;Have you ever received an hourly wage?;Kaptál már órabért?
Oletko koskaan saanut kuukausipalkkaa?;Have you ever received a monthly salary?;Kaptál már havi fizetést?
Maksatko paljon ansiotuloveroa?;Do you pay a lot of income tax?;Fizetsz sok jövedelemadót?
Onko sinun kotimaassasi minimipalkka?;Is there a minimum wage in your country?;Van minimálbér a hazádban?
Riittääkö minimipalkka elämiseen?;Is the minimum wage enough to live on?;Elég a minimálbér a megélhetésre?
