Finnish;English;Hungarian
Minkämaalainen sinä olet?;What nationality are you?;Milyen nemzetiségű vagy?
Minä olen belgialainen.;I'm Belgian.;Belgiumi vagyok.
Minkämaalainen hän on?;What nationality is he / she?;Milyen nemzetiségű ő?
Hän on yhdysvaltalainen.;She / he's American.;Ő amerikai.
Mistä sinä olet kotoisin?;Where do you originate from?;Honnan származol?
Minä olen kotoisin Belgiasta.;I originate from Belgium.;Belgiumból származom.
Minun ystävä on suomalainen.;My friend is Finnish.;A barátom finn.
Minun naapuri on virolainen.;My neighbor is Estonian.;A szomszédom észt.
Minulla on puolalainen ystävä.;I have a Polish friend.;Van egy lengyel barátom.
Meillä on perulainen naapuri.;We have a Peruvian neighbor.;Van egy perui szomszédunk.
Bussikuski on somalialainen.;The bus driver is Somali.;A buszsofőr szomáliai.
Minulla on saksalainen auto.;I have a German car.;Van egy német autóm.
Nigerialainen ruoka on hyvää.;Nigerian food is good.;A nigériai étel jó.
Italialainen pizza on pöydällä.;The Italian pizza is on the table.;Az olasz pizza az asztalon van.
Juon ranskalaista viiniä.;I drink French wine.;Francia bort iszom.
Juon saksalaista olutta.;I drink German beer.;Német sört iszom.
Syön kiinalaista ruokaa.;I eat Chinese food.;Kínai ételt eszem.
Syömme italialaista ruokaa.;We eat Italian food.;Olasz ételt eszünk.
Laitan kreikkalaista ruokaa.;I make Greek food.;Görög ételt készítek.
Teen thaimaalaista ruokaa.;I make Thai food.;Thai ételt készítek.
Tykkään kiinalaisesta ruoasta.;I like Chinese food.;Szeretem a kínai ételeket.
Tykkään thaimaalaisesta ruoasta.;I like Thai food.;Szeretem a thai ételeket.
Aasia;Asia;Ázsia
aasialainen;Asian;ázsiai
Afganistan;Afghanistan;Afganisztán
afganistanilainen;Afghan;afganisztáni
Afrikka;Africa;Afrika
afrikkalainen;African;afrikai
Albania;Albania;Albánia
albanialainen;Albanian;albán
Amerikka;America;Amerika
amerikkalainen;American;amerikai
Arabia;Arabia;Arabia
arabialainen;Arabian;arab
Australia;Australia;Ausztrália
australialainen;Australian;ausztrál
Belgia;Belgium;Belgium
belgialainen;Belgian;belga
Brasilia;Brazil;Brazília
brasilialainen;Brazilian;brasiliai
Bulgaria;Bulgaria;Bulgária
bulgarialainen;Bulgarian;bolgár
Egypti;Egypt;Egyiptom
egyptiläinen;Egyptian;egyiptomi
Englanti;England;Anglia
englantilainen;English;angol
Espanja;Spain;Spanyolország
espanjalainen;Spanish;spanyol
Eurooppa;Europe;Európa
eurooppalainen;European;európai
Hollanti;Netherlands;Hollandia
hollantilainen;Dutch;holland
Intia;India;India
intialainen;Indian;indiai
Irak;Iraq;Irak
irakilainen;Iraqi;iraki
Iran;Iran;Irán
iranilainen;Iranian;iráni
Irlanti;Ireland;Írország
irlantilainen;Irish;ír
Islanti;Iceland;Izland
islantilainen;Icelander / Icelandic;izlandi
Italia;Italy;Olaszország
italialainen;Italian;olasz
Japani;Japan;Japán
japanilainen;Japanese;japán
Jugoslavia;Yugoslavia;Jugoszlávia
jugoslavialainen;Yugoslavian;jugoszláv
Kanada;Canada;Kanada
kanadalainen;Canadian;kanadai
Kiina;China;Kína
kiinalainen;Chinese;kínai
Kreikka;Greece;Görögország
kreikkalainen;Greek;görög
Kroatia;Croatia;Horvátország
kroatialainen;Croatian;horvát
Latvia;Latvia;Lettország
latvialainen;Latvian;lett
Liettua;Lithuania;Litvánia
liettualainen;Lithuanian;litván
Meksiko;Mexico;Mexikó
meksikolainen;Mexican;mexikói
Nicaragua;Nicaragua;Nicaragua
nicaragualainen;Nicaraguan;nicaraguai
Nigeria;Nigeria;Nigéria
nigerialainen;Nigerian;nigériai
Norja;Norway;Norvégia
norjalainen;Norwegian;norvég
Pakistan;Pakistan;Pakisztán
pakistanilainen;Pakistani;pakisztáni
Peru;Peru;Peru
perulainen;Peruvian;perui
Puola;Poland;Lengyelország
puolalainen;Polish;lengyel
Ranska;France;Franciaország
ranskalainen;French;francia
Ruotsi;Sweden;Svédország
ruotsalainen;Swede / Swedish;svéd
Saksa;Germany;Németország
saksalainen;German;német
Somalia;Somalia;Szomália
somalialainen;Somali;szomáliai
Suomi;Finland;Finnország
suomalainen;Finn / Finnish;finn
Skotlanti;Scotland;Skócia
skotlantilainen;Scottish;skót
Sveitsi;Switzerland;Svájc
sveitsiläinen;Swiss;svájci
Tanska;Denmark;Dánia
tanskalainen;Dane / Danish;dán
Thaimaa;Thailand;Thaiföld
thaimaalainen;Thai;thai
Tsekki;Czech Republic;Csehország
tsekkiläinen;Czech;cseh
Turkki;Turkey;Törökország
turkkilainen;Turkish;török
Unkari;Hungary;Magyarország
unkarilainen;Hungarian;magyar
Venäjä;Russia;Oroszország
venäläinen;Russian;orosz
Viro;Estonia;Észtország
virolainen;Estonian;észt
Yhdysvallat;United States;Egyesült Államok
yhdysvaltalainen;From the States;Államok beli
Pariisi;Paris;Párizs
pariisilainen;Parisian;párizsi
Lontoo;London;London
lontoolainen;Londoner;londoni
New York;New York;New York
newyorkilainen;New Yorker;newyorki
Tampere;Tampere;Tampere
tamperelainen;Tamperean;tamperelainen
Helsinki;Helsinki;Helsinki
helsinkiläinen;Helsinkian;helsinkiläinen
