Finnish;English;Hungarian
I like;Minä tykkään / pidän;Én szeretem
I don't like;Minä en tykkää / en pidä;Én nem szeretem
He likes;Hän tykkää / pitää;Ő kedveli
He doesn't like;Hän ei tykkää / ei pidä;Ő nem kedveli
I liked;Minä tykkäsin / pidin;Én szerettem
I didn't like;Minä en tykännyt / en pitänyt;Én nem szerettem
He liked;Hän tykkäsi / piti;Ő szerette
He didn't like;Hän ei tykännyt / ei pitänyt;Ő nem szerette
I would like;Minä tykkäisin / pitäisin;Szeretnék
I wouldn't like;Minä en tykkäisi / en pitäisi;Nem szeretnék
He would like;Hän tykkäisi / pitäisi;Ő szeretne
He wouldn't like;Hän ei tykkäisi / ei pitäisi;Ő nem szeretne
Mistä sinä tykkäät?;What do you like?;Mit szeretsz?
Kenestä sinä tykkäät?;Who do you like?;Kit szeretsz?
Tykkäätkö minusta?;Do you like me?;Tetszem neked?
Pidätkö suklaasta?;Do you like chocolate?;Szereted a csokoládét?
Mistä ruoasta pidät?;What food do you like?;Milyen ételt szeretsz?
Millaisista vaatteista pidät?;What kind of clothes do you like?;Milyen ruhákat szeretsz?
Mistä väristä pidät?;What color do you like?;Milyen színt szeretsz?
Mistä marjoista tykkäät?;What kind of berries do you like?;Milyen bogyókat szeretsz?
Millaisesta taiteesta tykkäät?;What kind of art do you like?;Milyen művészetet szeretsz?
Millaisista kukista pidät?;What kind of flowers do you like?;Milyen virágokat szeretsz?
Pidätkö oluesta?;Do you like beer?;Szereted a sört?
Mistä väristä pidät eniten?;What color do you like the most?;Melyik színt szereted a legjobban?
Tykkäätkö kalliista vaatteista?;Do you like expensive clothes?;Szereted a drága ruhákat?
Etkö pidä opettajasta?;Don't you like the teacher?;Nem szereted a tanárt?
Eikö Ari tykkää vedestä?;Doesn't Ari like water?;Ari nem szereti a vizet?
Minä tykkään / pidän sinusta.;I like you.;Szeretem téged.
Minä pidän suklaasta.;I like chocolate.;Szeretem a csokoládét.
En tykkää makeasta.;I don't like sweet stuff.;Nem szeretem az édességet.
Me pidämme lasagnesta.;We like lasagna.;Szeretjük a lasagnét.
Naiset pitävät viinistä.;The women like wine.;A nők szeretik a bort.
Minä en pidä oluesta.;I don't like beer.;Nem szeretem a sört.
Minä tykkään talvesta.;I like winter.;Szeretem a telet.
Minä en tykkää kesästä.;I don't like summer.;Nem szeretem a nyarat.
Kalle pitää koulusta.;Kalle likes school.;Kalle szereti az iskolát.
Minä tykkäsin jalkapallosta.;I liked soccer.;Szerettem a focit.
Antti ei tykkää opettajasta.;Antti doesn't like the teacher.;Antti nem szereti a tanárt.
Liisa tykkää Facebookista.;Liisa likes Facebook.;Liisa szereti a Facebookot.
Lapsi pitää maidosta.;The child likes milk.;A gyerek szereti a tejet.
Mies ei tykkää viinistä.;The man doesn't like wine.;A férfi nem szereti a bort.
En pidä hänestä.;I don't like him / her.;Nem kedvelem őt.
En koskaan pitänyt hänestä.;I never liked him / her.;Sosem kedveltem őt.
Yritin pitää hänestä.;I tried to like him / her.;Megpróbáltam kedvelni őt.
Pidän mustasta kahvista.;I like black coffee.;Szeretem a fekete kávét.
Tykkään kylmästä talvesta.;I like a cold winter.;Szeretem a hideg telet.
En pidä tästä koirasta.;I don't like this dog.;Nem szeretem ezt a kutyát.
En pidä tästä isosta koirasta.;I don't like this big dog.;Nem szeretem ezt a nagy kutyát.
En pidä tuosta lelusta.;I don't like that toy.;Nem szeretem azt a játékot.
En tykkää vaikeasta tehtävästä.;I don't like the hard exercise.;Nem szeretem a nehéz feladatot.
Tykkään sinisestä mekosta.;I like the blue dress.;Szeretem a kék ruhát.
Tykkäätkö kirkkaasta lampusta?;Do you like the bright lamp?;Szereted a világos lámpát?
En pidä siitä pojasta.;I don't like that boy.;Nem szeretem azt a fiút.
En pidä vihaisesta pojasta.;I don't like the angry boy.;Nem szeretem a mérges fiút.
Pidämme hyvästä ruoasta.;We like good food.;Szeretjük a finom ételt.
Pidän tästä kissasta.;I like this cat.;Szeretem ezt a macskát.
Pidän kissoista.;I like cats.;Szeretem a macskákat.
Pidän mustasta kissasta.;I like the black cat.;Szeretem a fekete macskát.
Pidän mustista kissoista.;I like black cats.;Szeretem a fekete macskákat.
Pidän tosi paljon kissoista.;I really like cats.;Nagyon szeretem a macskákat.
En pitänyt kissoista.;I didn't like cats.;Nem szerettem a macskákat.
En pidä koirista.;I don't like dogs.;Nem szeretem a kutyákat.
Pidän eniten ruusuista.;I like roses the most.;A legjobban a rózsákat szeretem.
En pidä mustista kissoista.;I don't like black cats.;Nem szeretem a fekete macskákat.
Antti ei tykkää opettajista.;Antti doesn't like teachers.;Antti nem szereti a tanárokat.
He pitävät lapsista.;They like children.;Szeretik a gyerekeket.
Me pidämme toisistamme.;We like each other.;Szeretjük egymást.
He tykkäävät toisistaan.;They like each other.;Szeretik egymást.
He eivät pidä toisistaan.;They don't like each other.;Nem szeretik egymást.
Tykkään uida.;I like to swim.;Szeretek úszni.
