Finnish;English;Hungarian
Mikä tämä on? Tämä on pöytä.; What is this? This is a table.; Mi ez? Ez egy asztal.
Mikä tämä on? Se on kukka.; What is this? It's a flower.; Mi ez? Ez egy virág.
Mikä sinun puhelinnumerosi on? Se on 045-10 10 101.; What is your phone number? It is 045-10 10 101.; Mi a telefonszámod? 045-10 10 101.
Mikä sinun lempivärisi on? Minun lempivärini on punainen.; What is your favorite color? My favorite color is red.; Mi a kedvenc színed? A kedvenc színem a piros.
Mitä tämä on? Se on teetä.; What is this? It is tea.; Mi ez? Ez tea.
Mitä tämä on? Se on kahvia.; What is this? It is coffee.; Mi ez? Ez kávé.
Mitä tämä on? Se on kultaa.; What is this? It is gold.; Mi ez? Ez arany.
Mitä tämä on? Se on rakkautta.; What is this? It is love.; Mi ez? Ez szeretet.
Mikä pöydällä on? Pöydällä on minun avaimeni.; What is on the table? My keys are on the table.; Mi van az asztalon? A kulcsaim vannak az asztalon.
Mikä lautasella on? Lautasella on omena.; What is on the plate? An apple is on the plate.; Mi van a tányéron? Egy alma van a tányéron.
Mikä tämä on? Se on makaronilaatikko.; What is this? It is a macaroni casserole.; Mi ez? Ez egy rakott makaróni.
Mitä makaronilaatikossa on? Siinä on makaronia, munia ja naudanlihaa.; What is in the macaroni casserole? There is macaroni, eggs, and beef.; Mi van a rakott makaróniban? Van benne makaróni, tojás és marhahús.
Mitä lautasella on? Lautasella on vadelmahilloa.; What is on the plate? There is raspberry jam.; Mi van a tányéron? Málnalekvár van rajta.
Mitä materiaalia tämä sormus on? Se on kultaa.; What material is this ring made of? It is gold.; Miből van ez a gyűrű? Aranyból van.
Mitä sinä teet vapaa-ajalla? Minä tanssin balettia.; What do you do in your free time? I dance ballet.; Mit csinálsz szabadidődben? Balettet táncolok.
Mitä sinä teet huomenna? Olen töissä.; What are you doing tomorrow? I'll be at work.; Mit fogsz csinálni holnap? Dolgozni fogok.
Mitä ruokaa sinä teet? Teen makaronilaatikkoa.; What food are you making? I'm making macaroni casserole.; Milyen ételt készítesz? Rakott makarónit készítek.
Mitä sinä rakennat? Rakennan talon / taloa.; What are you building? I am building a house.; Mit építesz? Házat építek.
Minkä leivoksen valitset? Valitsen runebergintortun.; Which pastry do you choose? I choose a Runeberg cake.; Melyik süteményt választod? A Runeberg-tortát választom.
Mikä kirja sinun täytyy lukea? Minun täytyy lukea tuo kirja.; Which book do you have to read? I have to read that book.; Melyik könyvet kell elolvasnod? Azt a könyvet kell elolvasnom.
Mitä sinä katsot? Katson televisiota.; What are you watching? I'm watching TV.; Mit nézel? Tévét nézek.
Mitä sinä opiskelet? Opiskelen suomen kieltä.; What are you studying? I am studying Finnish.; Mit tanulsz? Finnül tanulok.
Mitä sinä rakastat? Rakastan suklaata.; What do you love? I love chocolate.; Mit szeretsz? Csokoládét szeretek.
