Finnish;English;Hungarian
Matkustan Ouluun jouluksi.;I will be in Oulu for the whole duration of Christmas.;Ouluba utazom az egész karácsony alatt
Matkustan Ouluun joulun aikana.;I will be traveling during the Christmas period.;Ouluba utazom a karácsony ideje alatt
Matkustan Ouluun ensi jouluna.;I will be traveling to Oulu next Christmas.;Jövő karácsonykor utazom Ouluba
Matkustin Ouluun viime jouluna.;I traveled to Oulu last Christmas.;Tavaly karácsonykor utaztam Ouluba
Matkustan Ouluun joka joulu.;I travel to Oulu every Christmas.;Minden karácsonykor Ouluba utazom
Matkustan Ouluun joka toinen joulu.;I travel to Oulu every other Christmas.;Minden második karácsonykor Ouluba utazom
Matkustan Ouluun jouluna.;I will be traveling during the Chrismas period.;Karácsonykor Ouluba utazom
Matkustan Ouluun jouluun mennessä.;My deadline for traveling to Oulu is Christmas.;Karácsonyig Ouluba kell utaznom
Matkustan Ouluun joulun jälkeen.;I will travel to Oulu after Christmas.;Karácsony után utazom Ouluba
Luen kirjat tunnissa.;I will finish reading them in one hour.;Egy óra alatt elolvasom a könyveket
Luen kirjat kahdessa tunnissa.;I will finish reading them in two hours.;Két óra alatt elolvasom a könyveket
Luen kirjat puolessa tunnissa.;I will finish reading them in half an hour.;Fél óra alatt elolvasom a könyveket
Luen kirjat tunniksi.;I will read for the duration of an hour.;Egy órára olvasom a könyveket
Luen kirjat tunnin ajan.;I will read for the duration of an hour.;Egy órán át olvasom a könyveket
Luen kirjat vajaan tunnin ajan.;I will read for a bit less than an hour.;Kicsivel kevesebb mint egy órán át olvasom a könyveket
Luen kirjat tunnin.;I will read for the duration of an hour.;Egy óráig olvasom a könyveket
Luen kirjat tunnin sisällä.;I will finish reading them within one hour.;Egy órán belül elolvasom a könyveket
Luen kirjat tunnin kuluttua.;I will start reading them in an hour.;Egy óra múlva kezdem elolvasni a könyveket
Luen kirjat kahden tunnin kuluttua.;I will start reading them two hours from now.;Két óra múlva kezdem elolvasni a könyveket
Luen kirjat tunnin päästä.;I will start reading them in an hour.;Egy óra múlva kezdem elolvasni a könyveket
Luin kirjat puoli tuntia sitten.;I read the books half an hour ago.;Fél órája olvastam el a könyveket
Luin kirjat tunti sitten.;I read the books an hour ago.;Egy órája olvastam el a könyveket
En lukenut tuntiakaan.;I didn't read for even an hour.;Még egy órát sem olvastam
En lukenut moneen tuntiin.;I didn't read in many hours.;Sok órán keresztül nem olvastam
Se alkaa kello kolme.;It starts at three o'clock.;Háromkor kezdődik
Se alkaa kolmelta.;It starts at three o'clock.;Három órakor kezdődik
Se alkaa kolmen maissa.;It starts around three o'clock.;Három körül kezdődik
Se alkaa kolmen aikaan.;It starts around three o'clock.;Három körül kezdődik
Se alkaa kolmen aikoihin.;It starts around three o'clock.;Három körül kezdődik
Se alkaa kolmeen mennessä.;It will start by three o'clock.;Háromig kezdődik
Se ei ala kolmelta.;It won't start at three o'clock.;Háromkor nem kezdődik
Se ei ala kolmeltakaan.;It won't start at three o'clock either.;Háromkor sem kezdődik
Se alkaa ennen kolmea.;It will start before three o'clock.;Három előtt kezdődik
Se kestää viikon.;It will take a week.;Egy hétig tart
Se kestää kolme viikkoa.;It will take three weeks.;Három hétig tart
Se kestää ensi viikkoon asti.;It will take until next week.;A jövő hétig tart
Se kestää tämän viikon.;It will take this whole week.;Ezen a héten tart
Se kestää koko viikon.;It will take the whole week.;Egész héten tart
Se kestää viikkoja.;It will take weeks.;Hétig tart
Opiskelen suomea viikon.;I will study Finnish for a week.;Egy hétig tanulok finnül
Opiskelen suomea viikon ajan.;I will study Finnish for the duration of a week.;Egy hétig tanulok finnül
Opiskelen suomea koko viikon.;I will study Finnish the whole week.;Egész héten tanulok finnül
Opiskelen suomea kaksi viikkoa.;I will study Finnish for two weeks.;Két hétig tanulok finnül
