Finnish;English;Hungarian
akvaariokala;aquarium fish;akváriumi hal
gerbiili;gerbil;gerbil
hamsteri;hamster;törpesün
hiiri;mouse;egér
hämähäkki;spider;pók
kanarialintu;canary;kanári
kani;rabbit;nyúl
kilpikonna;turtle;kétéltű teknős
kissa;cat;macska
koira;dog;kutya
kultakala;goldfish;aranyhal
käärme;snake;kígyó
marsu;guinea pig;tengeri malac
lisko;lizard;gyík
papukaija;parrot;papagáj
rotta;rat;patkány
allerginen (koirille);allergic (to dogs);allergiás (kutyára)
akvaario;aquarium;akvárium
eläinlääkäri;veterinarian;állatorvos
eläintarvikekauppa;pet supply store;állatfelszerelés bolt
häkki;cage;ketrec
kanikoppi;rabbit hutch;nyúlház
kenneli;kennel;kennel
luikerrella;to slither;csúszkálni
omistaja;owner;tulajdonos
pitää lemmikkieläimiä;to have pets;háziállatot tartani
reviiri;territory;terület
terraario;terrarium;terrárium
visertää;to chirp;csicsergni
Vanhalle koiralle ei voi opettaa uusia temppuja.;To an old dog one can't teach new tricks., It's hard to change your ways when you're older.;Nehéz megváltozni, ha öreg vagy.
Veiko kissa kielen?;Did the cat steal the tongue?, Don't you know how to reply anymore?;Nem tudsz már válaszolni?
Nostetaan kissa pöydälle.;Let's lift the cat on the table., Let's talk about the real issue we've been avoiding.;Beszéljünk a valódi problémáról.
Koira on ihmisen paras ystävä.;Dogs are a man's best friend.;A kutya az ember legjobb barátja.
