Finnish;English
suuri;big
osoite;address
suosittu;popular
asuinpaikka;residence
opiskelijoiden keskuudessa;among students
koska;because
vuokra;rent
halpa, halvat;cheap
lähellä;near
rakennettiin;was built
vuosina;in years
rappu;staircase
asuinkerros;residential floor
pohjakerros;ground floor
yhteinen (yhteiset); common
saunatilat; sauna premises
TV-huone; TV room
pesutupa; washing house
kuntosali; gym
soluhuoneisto; bedsit
neliömetri; square meter
henki; person
yksin; alone
perhe;family
kanssa;with
kesäkuu; June
tehtiin; was done
remontti; renovation
jälkeen; after
muun muassa (= mm.); amongst other things
ranskalainen parveke; French balcony
ranskalaisia parvekkeita; French balconies
uusi (uudet); new
peilikaappi (peilikaapit); bathroom cabinet(s)
kylpyhuone;Bathroom
peruskorjaus;renovation
nousta, nousivat; to rise, they rose
vähetä;to decrease
remontin yhteydessä;here: during the renovation
koristelistat; cordons
maalattiin; were painted
sinertävä; bluish
harmaa;grey
punainen (punaisia);red
oranssi (oransseja);orange
keltainen (keltaisia);yellow
ruskea (ruskeita);brown
