Finnish;English;hungarian
nisäkäs;mammal;emlős
ahma;wolverine;torkosborz
apina;monkey;majom
delfiini;dolphin;delfin
dromedaari;dromedary;egypúpú
fretti;ferret;vadászmenyét
gepardi;cheetah;gepárd
gorilla;gorilla;gorilla
haisunäätä;skunk;bűzös borz
hamsteri;hamster;hörcsög
hevonen;horse;ló
hiiri;mouse;egér
hirvi;moose;Jávorszarvas
hylje;seal;fóka
härkä;ox;Bika
ihminen;human;ember
ilves;lynx;hiúz
jaguaari;jaguar;jaguár
jänis;rabbit;nyúl
karhu;bear;medve
karitsa;lamb;Bárány
karja;cattle;marha
karju;boar;vaddisznó
kettu;fox;róka
kirahvi;giraffe;zsiráf
kissa;cat;macska
koala;koala;koala
kojootti;coyote;prérifarkas
kuusipeura;fallow deer;dámvad
lammas;sheep;juh
lehmä;cow;tehén
leijona;lion;oroszlán
leopardi;leopard;leopárd
lepakko;bat;denevér
liito-orava;flying squirrel;repülő mókus
majava;beaver;Hód
marsu;guinea pig;tengerimalac
metsäkauris;roe deer;őz
mursu;walrus;rozmár
myyrä;mole;mezei egér
mäyrä;badger;borz
naali;arctic fox;sarki róka
norsu;elephant;elefánt
näätä;marten;nyest
orava;squirrel;mókus
ori;stallion;csődör
panda;panda;panda
peura;caribou;szarvas
poro;reindeer;rénszarvas
pukki;billy goat;Kecske
saksanhirvi;red deer;német szarvas
sarvikuono;rhino;orrszarvú
saukko;otter;vidra
siili;hedgehog;sündisznó
sika;pig;sertés
sonni;bull;bika
supikoira;raccoon dog;mopszli
susi;wolf;farkas
tamma;mare;kanca
tiikeri;tiger;tigris
valas;whale;bálna
varsa;foal;csikó
vasikka;calf;borjú
visentti;bison;bölény
vuohi;goat;kecske
