Finnish;English;hungarian
Huoneet ja Huonekalut;Rooms and Furniture;Szobák és Bútorok
Huoneen osat;Parts of a room;A szoba részei
lattia;floor;padló
katto;roof;tető
seinä;wall;fal
ulkoseinä;outer wall;külső fal
väliseinä;partition wall;partíció
ikkuna;window;ablak
ovi;door;ajtó
nurkka;corner;sarok
tapetti;wallpaper;tapéta
Keittiö;Kitchen;Konyha
pakastin;freezer;mélyhűtő
jääkaappi;fridge;hűtő
pakastelokero;freezer compartment;mélyhűtő rekesz
tiskiaine;washing up liquid;mosogatószer
talouspaperirulla;kitchen roll;papírtörlő tekercs
liesi, hella;stove;tűzhely, fűtés
uuni;oven;sütő
keittolevyt;cooking hobs;főzőlapok
uuniritilä;oven grid;sütőrács
astianpesukone, tiskikone;dishwasher;mosogatógép
keittiön pöytä;kitchen table;konyhaasztal
talouspaperi;kitchen towel;konyharuha
mikro(aaltouuni);microwave oven;mikrohullámú sütő
kuivauskaappi;drying cabinet;szárítószekrény
astiasto;tableware, china;készlet
aterimet;cutlery;evőeszköz
palohälytin;fire alarm;tűzjelző
liesituuletin;kitchen hood;páraelszívó
astiakaappi;cupboard;szekrény
tupakeittiö;kitchen-living room;nappali konyha
työtaso;worktop;munkalap
jääkaappipakastin;fridge-freezer;Hűtő fagyasztó
keittiökaappi;kitchen cupboard;konyhaszekrény
jakkara;stool;szék
verhot;curtains;drapériák
vetolaatikko;drawer;fiók
Olohuone;Living room;Nappali
jalkalamppu;floor lamp;láblámpa
kahvipöytä;coffee table;kávézóasztal
kirjahylly;book case;könyvszekrény
lepotuoli;recliner;nyugágy
maalaus;painting;festmény
maljakko;vase;váza
matto;rug;szőnyeg
nojatuoli;armchair;fotel
pölynimuri;vacuum cleaner;porszívó
seinäkello;wall clock;falióra
sohva;couch;kanapé
sohvatyyny;sofa cushion;kanapé párna
takka;fireplace;kandalló
televisio;television;tévé
Makuuhuone;Bedroom;Hálószoba
herätyskello;alarm clock;ébresztőóra
hylly;shelf;polc
lakana;sheet;ágynemű
lipasto;dresser;öltözőszekrény
parisänky;double bed;franciaágy
patja;mattress;matrac
peitto;blanket;takaró
päiväpeite;bedspread;ágytakaró
sänky;bed;ágy
tietokone;computer;számítógép
tyyny;pillow;párna
tyynyliina;pillowcase;párnahuzat
untuvapeitto;duvet;pehelypaplan
vaatekaappi;wardrobe;ruhásszekrény
yölamppu;bedside lamp;éjjeli lámpa
yöpaita;nightgown;hálóing
yöpöytä;bedside table;éjjeliszekrény
Kylpyhuone;Bathroom;Fürdőszoba
kylpyamme;bath tub;fürdőkád
suihku;shower;zuhany
vessa;toilet;WC
vessanpönttö;toilet bowl;WC csésze
vessaistuin;toilet seat;vécé ülőke
vessapaperi;toilet paper;vécé papír
pesuallas, lavuaari, tiskiallas;washbasin, sink;mosogató
peili;mirror;tükör
kokovartalopeili;full-length mirror;teljes hosszúságú tükör
vesihana;water tap;vízcsap
saippua;soap;szappan
pesukone;washing machine;mosógép
pyykkikori;laundry basket;Szennyes kosár
suihkuverho;shower curtain;zuhanyfüggöny
pyyhe;towel;törülköző
pyyhkeet;towels;törölközők
pyyhekaappi;towel cabinet;törölköző szekrény
vieraspyyhe;guest towel;vendég törülközőt
kylpypyyhe;bath towel;fürdőlepedő
bidee;bidet;bidé
pesusieni;bath sponge;mosószivacs
pyyhetanko;towel rail;Törölközőtartó
saippuakuppi;soap dish;szappanpohár
tulppa;bath plug;dugó
viemäriaukko;plug hole;csatorna nyílás
