Finnish;English;Hungarian
Ihmisiä;People;Emberek
kapellimestari;conductor;Karmester
kitaristi;guitarist;Gitáros
kuoro;choir;Kórus
laulaja;singer;Énekes
muusikko;musician;Zenész
orkesteri;orchestra;Zenekar
rumpali;drummer;Dobos
sellisti;cellist;Csellista
säveltäjä;composer;Zeneszerző
urkuri;organist;Orgonista
yhtye / bändi;band;Együttes
Verbejä;Verbs;Igék
hyräillä;to hum;Dúdolni
laulaa;to sing;Énekelni
säestää;to accompany;Kísérni
säveltää;to compose;Komponálni
soittaa kitaraa;to play guitar;Gitározni
soittaa pianoa;to play piano;Zongorázni
soittaa rumpuja;to play drums;Dobolni
viheltää;to whistle;Fütyülni
äänittää;to record;Felvenni
Ääniala;Voice register;Hangterjedelem
baritoni;baritone;Bariton
basso;bass;Basszus
kontra-altto;contralto;Kontra-alt
mezzosopraano;mezzo-soprano;Mezzoszoprán
sopraano;soprano;Szoprán
tenori;tenor;Tenor
Lisää sanoja;More words;További szavak
absoluuttinen sävelkorva;absolute pitch;Abszolút hallás
duetto;duet;Duett
kertosäkeistö;chorus;refrén
melodinen;melodic;Melodikus
lukea nuotteja;to read notes;Kottákat olvasni
nuotti;note;Hangjegy
rytmi;beat, rhythm;Ritmus
rytmikäs;rhythmic;Ritmusos
sanoitus;lyrics;Szöveg
sointu;harmony;Harmónia
soolo;solo;Szóló
sävel;tone, tune;Hang
sävelasteikko;scale;Hangskála
sävelkorkeus;pitch;Hangmagasság
sävelkorva;an ear for notes;Hanghallás
sävelmä;melody;Melódia
tahti;beat;Ütem
Musiikkilaji;Music genre;Zenei műfaj
blues-musiikki;blues;Bluesz
brittipop;Britpop;Britpop
drum'n'bass-musiikki;drum'n'bass;Drum'n'bass
elektroninen musiikki;electronic music;Elektronikus zene
hengellinen musiikki;religious music;Egyházi zene
iskelmä;schlager song;Sláger
jazz-musiikki;jazz music;Jazz
joululaulu;Christmas song;Karácsonyi dal
kansanlaulu;folk song;Népdalf
kehtolaulu;lullaby;Altatódal
kevyt musiikki;easy listening;Könnyűzene
klassinen musiikki;classical music;Klasszikus zene
kristillinen rock-musiikki;Christian rock music;Keresztény rock
kokeellinen musiikki;industrial music;Kísérleti zene
lastenlaulu;children's song;Gyermekdal
metallimusiikki;heavy metal music;Heavy metal zene
musikaali;musical;Musical
nykymusiikki;contemporary classical music;Kortárs zene
ooppera;opera;Opera
operetti;operetta;Operett
polkka;polka;Polka
pop-musiikki;pop music;Popzene
reggae-musiikki;reggae music;Reggae zene
rock-musiikki;rock music;Rockzene
suomirock;Finnish rock music;Finn rock
tango;tango;Tangó
tekno;techno;Techno
valssi;waltz;Keringő
viihdemusiikki;light music;Szórakoztató zene
