Finnish;English;Hungarian
ahkera;hard-working;szorgalmas
aktiivinen;active;aktív
aloitekykyinen;enterprising, showing initiative;kezdeményezőképes
ammattitaitoinen;competent, skilled;szakmailag ügyes
analyyttinen;analytical;analitikus
asiakaspalveluhenkinen;customer service oriented;ügyfélszolgálat-orientált
auttamishaluinen, avulias;wanting to help;segítőkész
avarakatseinen;broad-minded, tolerant;nyitott gondolkodású
avoin (uusille haasteille);open (to new challenges);nyitott (új kihívásokra)
empaattinen;empathic, empathetic;empatikus
ennakkoluuloton;open-minded;előítéletektől mentes
hienotunteinen;tactful, discreet;tapintatos
huolellinen;meticulous, thorough;gondos
iloinen;happy;vidám
innokas;enthusiastic, devoted;lelkes
innostunut;enthusiastic, eager;izgatott
intohimoinen;passionate;szenvedélyes
itsevarma;confident, self-assured;magabiztos
johdonmukainen;consistent;következetes
joustava;flexible;rugalmas
järjestelmällinen;methodical, organized;rendszerető, szervezett
kannustava;supportive, encouraging;támogató
kekseliäs;inventive;ötletes
(kielellisesti) lahjakas;(linguistically) talented;(nyelvileg) tehetséges
(aidosti) kiinnostunut;(genuinely) interested;(őszintén) érdeklődő
kilpailuhenkinen;competitive (minded);versengő
kilpailukykyinen;competitive (skilled at);versenyképes
kohtelias;polite;udvarias
kunnianhimoinen;ambitious;ambiciózus
kärsivällinen;patient;türelmes
käytännöllinen;practical;praktikus
luotettava;reliable, trustworthy;megbízható
luova;creative;kreatív
motivoitunut;motivated;motivált
myyntihenkinen;interested in sales;értékesítés-centrikus
myötätuntoinen;compassionate;s együttérző
määrätietoinen;determined;céltudatos
neuvokas;resourceful, astute;leleményes, találékony
neuvottelutaitoinen;good at negotiating;jó tárgyalási készséggel rendelkező
nokkela;clever, quick;fürge, okos
nopea (oppimaan);fast (learner);gyorsan tanuló
oivaltava;insightful;észlelő, rátermett
oma-aloitteinen;spontaneous, taking initiative;önálló kezdeményező
omatoiminen, itsenäinen;independent;önálló
omistautunut;dedicated, devoted;odaadó
oppimishaluinen;willing to learn, wanting to learn;tudásvágyó
oppimiskykyinen;receptive to learning, able to learn;képességgel a tanulásra
optimistinen;optimistic, upbeat;optimista
organisointikykyinen;owning organizational skills;szervezési készséggel rendelkezik
pitkäjänteinen, sinnikäs;persevering, tenacious;kitartó
positiivinen;positive;pozitív
pätevä;qualified, competent;alkalmas, szakképzett
päättäväinen;determined, decisive;határozott
rauhallinen;calm;nyugodt
realistinen;realistic;realista
rehellinen;honest;őszinte
reipas;lively, active;életteli
rento;laid-back, relaxed;laza
rohkea;brave;bátor
ryhmätyötaitoinen;skilled at teamwork;csapatmunkára alkalmas
seurallinen;sociable;társaságkedvelő
sisukas;tenacious, determined;állhatatos
sitkeä;tenacious, resilient;ellenálló, kitartó
sitoutunut;commited;elkötelezett
sopeutuva;adaptable;alkalmazkodó
sopiva;suitable;megfelelő
sosiaalinen;social;társasági
spontaani;spontaneous;spontán
stressinsietokykyinen;able to withstand stress;stressztűrő
suvaitsevainen;tolerant;toleráns
taitava;skilled, skilful, able;jártas
tarkka;exact, precise;pontos
tarkkaavainen;attentive, observant;figyelmes
tarmokas, energinen;energetic, vigorous;energikus
tavoitteellinen;goal-oriented;célorientált
tehokas;efficient, effective;hatékony
tiedonhaluinen, utelias;inquisitive, curious;kíváncsi
tuloshakuinen;results-oriented, eager to see results;eredményorientált
tunnollinen;conscientious, diligent;lelkiismeretes
täsmällinen;punctual;pontos (időben)
ulospäin suuntautunut;extroverted;extrovertált
vahva;strong;erős
vahvatahtoinen;strong-willed;erős akaratú
vakava;serious;komoly
vakuuttava;persuasive;meggyőző
valmis (uusiin haasteisiin);ready (for new challenges);készen áll (új kihívásokra)
valpas;aware, vigilant;éber
vastuuntuntoinen;responsible (feels responsible);felelősségtudó
vastuullinen;responsible (acts responsibly);felelős
yhteistyökykyinen;cooperative (skilled at working together);együttműködő (jól dolgozik másokkal)
yhteistyöhaluinen;cooperative (ready to work together);együttműködő (kész együtt dolgozni)
yritteliäs;enterprising;üzleties, kezdeményező
ystävällinen;friendly;barátságos
väsymätön;tireless;fáradhatatlan
älykäs;intelligent;okos, intelligens
