Finnish;English
Lemmikit;Pets
akvaariokala;aquarium fish
gerbiili;gerbil
hamsteri;hamster
hiiri;mouse
hämähäkki;spider
kanarialintu;canary
kani;rabbit
kilpikonna;turtle
kissa;cat
koira;dog
kultakala;goldfish
käärme;snake
marsu;guinea pig
lisko;lizard
papukaija;parrot
rotta;rat
Lisää sanoja;More words
allerginen (koirille);allergic (to dogs)
akvaario;aquarium
eläinlääkäri;veterinarian
eläintarvikekauppa;pet supply store
häkki;cage
kanikoppi;rabbit hutch
kenneli;kennel
luikerrella;to slither
omistaja;owner
pitää lemmikkieläimiä;to have pets
reviiri;territory
terraario;terrarium
visertää;to chirp
