French;Finnish;Hungarian
À quelle heure ?;Mihin aikaan?;Hány órakor?
Le film commence à quelle heure ?;Monelta elokuva alkaa?;Hánykor kezdődik a film?
Je vais chez la coiffeuse à 13 heures.;Menen kampaajalle kello 13.;Délután egykor megyek a fodrászhoz (lány).
Je ferme la boutique à 16 heures.;Suljen liikkeen kello 16.;Négykor bezárom a boltot.
Inka a des cours de 10 heures à 14 heures.;Inkalla on oppitunteja kymmenestä kahteen.;Inkának tíztől kettőig vannak órái.
À la maison, elle étudie jusqu'à 20 heures.;Kotona hän opiskelee kello kahdeksaan asti.;Otthon nyolc óráig tanul.
Sophie termine de réviser dans 10 minutes.;Sophie lopettaa kertaamisen kymmenen minuutin päästä.;Sophie tíz perc múlva befejezi az ismétlést.
Quel jour sommes-nous aujourd'hui ?;Mikä päivä tänään on?;Milyen nap van ma?
Nous sommes lundi.;On maanantai.;Hétfő van.
C'est samedi.;On lauantai.;Szombat van.
Demain, c'est mardi.;Huomenna on tiistai.;Holnap kedd lesz.
On va se voir samedi ?;Nähdäänkö lauantaina?;Találkozunk szombaton?
J'ai cours le mardi et le vendredi.;Minulla on oppitunteja tiistaisin ja perjantaisin.;Kedden és pénteken van órám.
Ton anniversaire, c'est quand ?;Milloin on syntymäpäiväsi?;Mikor van a születésnapod?
Mon anniversaire, c'est le 3 mai.;Syntymäpäiväni on 3. toukokuuta.;A születésnapom május 3-án van.
Quand est-ce qu'elle est née ?;Milloin hän (nainen) on syntynyt?;Mikor született ő (lány)?
Elle est née le 11 avril.;Hän (nainen) on syntynyt 11. huhtikuuta.;Ő (lány) április 11-én született.
Et lui, quand est-ce qu'il est né ?;Entä hän (mies), milloin hän on syntynyt?;És ő (fiú), mikor született?
Il est né en décembre, le 21.;Hän (mies) on syntynyt joulukuussa, 21. päivä.;Ő (fiú) december 21-én született.
Quelle date sommes-nous aujourd'hui ?;Mikä päivämäärä tänään on?;Hányadika van ma?
Nous sommes le 1er mai.;On toukokuun 1. päivä.;Május elseje van.
En hiver, il fait froid en Finlande.;Talvella Suomessa on kylmä.;Télen Finnországban hideg van.
Au printemps, le soleil brille.;Keväällä aurinko paistaa.;Tavasszal süt a nap.
En été, on est en vacances.;Kesällä ollaan lomalla.;Nyáron nyaralunk.
En automne, les arbres se vêtent de couleurs magnifiques.;Syksyllä puut pukeutuvat upeisiin väreihin.;Ősszel a fák gyönyörű színekbe öltöznek.
L'HIVER;Talvi;Tél
LE PRINTEMPS;Kevät;Tavasz
L'ÉTÉ;Kesä;Nyár
L'AUTOMNE;Syksy;Ősz
Quelle heure est-il ?;Paljonko kello on?; Mennyi az idő?
