Finnish;English;Hungarian
Adjektiiveja;Adjectives;Melléknevek
älykäs;intelligent;Értelmes
nokkela;clever / smart;Ügyes
loistava;brilliant;Briliáns
monimutkainen;complicated;Bonyolult
nero;genius;Zseni
nerokas;ingenious;Leleményes
viisas;wise;Bölcs
fiksu;smart;Okos
järkevä;sensible;Ésszerű
järjellinen;rational;Racionális
harkittu;premeditated, deliberate;Megfontolt
lahjakas;talented;Tehetséges
oppivainen;capable of learning;Tanulékony
oppimishaluinen;willing to learn;Tanulni vágyó
Verbejä;Verbs;Igék
ajatella;to think;Gondolkodni
hahmottaa;to perceive;Észlelni
harkita;to consider;Mérlegelni
järkeillä;to reason;Érvelni
keksiä;to invent;Kitalálni
keskittyä;to concentrate;Koncentrálni
miettiä;to reflect;Elmélkedni
muistaa;to remember;Emlékezni
olettaa;to assume;Feltételezni
ottaa huomioon;to take into consideration;Figyelembe venni
ratkaista ongelmia;to solve problems;Problémákat megoldani
soveltaa tietoa;to apply knowledge;Tudást alkalmazni
suunnitella;to plan;Tervezni
tajuta;to realize;Ráébredni
tehdä johtopäätöksiä;to draw conclusions;Következtetéseket levonni
tutkia;to research, examine;Kutatni
unohtaa;to forget;Elfelejteni
yhdistää tietoja;to combine data;Adatokat összevonni
ymmärtää;to understand;Megérteni
Substantiiveja;Nouns;Főnevek
aivot;brain;Agy
ajattelija;thinker;Gondolkodó
ajatus;thought;Gondolat
asiantuntija;expert;Szakértő
fakta, tosiasia;fact;Tény
johtopäätös;conclusion;Következtetés
kasvomuisti;memory for faces;Arcemlékezet
keksintö;invention;Találmány
keskityskyky;ability to concentrate;Koncentrációs képesség
kyky;ability;Képesség
lahjakkuus;talent;Tehetség
loogisuus;logic;Logika
muisti;memory;Memória
muisto;a memory;Emlék
oletus;assumption;Feltételezés
ongelma;problem;Probléma
oppimiskyky;ability to learn;Tanulási képesség
ratkaisu;solution;Megoldás
taito;skill;Jártasság
tieto;knowledge;Tudás
todennäköisyys;probability;Valószínűség
uteliaisuus;curiosity;Kíváncsiság
ymmärrys;understanding;Megértés
äly;intellect;Értelmi képesség
älykkyys;intelligence;Intelligencia
älykkyysosamäärä;IQ;IQ
