Finnish;English;Hungarian
vankila;prison;börtön
tulli;customs;vám
poliisi;police;rendőrség
puolustusvoimat;defence forces;honvédség
tullitarkastaja;customs inspector;vámellenőr
tullikoira;customs dog / sniffer dog;vámkutya
lentokenttä;airport;repülőtér
rajavartija;border guard;határőr
poliisilaitos;police station;rendőrkapitányság
satama;harbor/port;kikötő
rajavartioasema;border guard station;határőrállomás
löytää;to find;találni
etsiä;to search, look for;keresni
suorittaa;to perform, complete;elvégezni, teljesíteni
toimia;to act, function;működni, cselekedni
työskennellä;to work;dolgozni
palkita;to reward;jutalmazni
pelastaa;to save, rescue;megmenteni
liikkua;to move;mozogni
tapahtua;to happen;történni
kouluttaa;to train, educate;képezni
kadota;to disappear;eltűnni
tutkija;researcher;kutató
tarjoilija;waiter/waitress;pincér
valmentaja;coach;edző
päivänsankari;birthday person, guest of honor;ünnepelt
yllätysvieras;surprise guest;meglepetésvendég
vanhus;elderly person;idős ember
näyttelijä;actor;színész
naapuri;neighbor;szomszéd
hakkeri;hacker;hacker
tubettaja;YouTuber;youtuber
työnhakija;job seeker;álláskereső
harjoittelija;trainee, intern;gyakornok
kurssiassistentti;course assistant;kurzusasszisztens
bussikuski;bus driver;buszsofőr
tiskiharja;dish brush;mosogatókefe
syömäpuikot;chopsticks;evőpálcika
Mobile pay;MobilePay (payment app);MobilePay
Duolingo;Duolingo (language app);Duolingo
laskin;calculator;számológép
kahvinkeitin;coffee maker;kávéfőző
veitsi;knife;kés
imuri;vacuum cleaner;porszívó
tabletti;tablet;tablet
kosketusnäyttökynä;stylus;érintőceruza
sähköskuutti;electric scooter;elektromos roller
älykello;smartwatch;okosóra
tennismaila;tennis racket;teniszütő
laturi;charger;töltő
kirpputori;flea market;bolhapiac
päiväkoti;kindergarten, daycare;óvoda
terveyskeskus;health center;egészségügyi központ
kierrätyskeskus;recycling center;újrahasznosító központ
uimahalli;swimming hall;uszoda
kylpylä;spa;gyógyfürdő
sairaala;hospital;kórház
yksiö;studio apartment;egyszobás lakás
paistopiste;grill/frying station;sütőpont
eläintarha;zoo;állatkert
narikka;cloakroom;ruhatár
sovituskoppi;fitting room;próbafülke
tori.fi;tori.fi (Finnish marketplace site);tori.fi (finn apróhirdetési oldal)
kämppä;pad, apartment (slang);lakás (szlengben)
opetustila;teaching space, classroom;oktatóterem
tupakeittiö;kitchenette (room with kitchen area);egyszobás konyhás lakás
Alakuppila;Alakuppila (student café name);Alakuppila (diákkávézó neve)
Trey;Trey (Tampere student union);Trey (tamperei diákszervezet)
ainejärjestö;subject association, student guild;diák szervezet, szakkolégium
Kampusareena;Kampusareena (campus building name);Kampusareena (kampuszépület)
opiskelijaetu;student discount, student benefit;diákkedvezmény
sitsit;sitsit (traditional student dinner party);sitsit (hagyományos diákvacsora)
ulkokuntosali;outdoor gym;szabadtéri edzőpark
opiskelijahaalarit;student overalls;diák overál
fuksi;freshman;gólya
Sisu;Sisu (grit/determination, also uni system name);Sisu (kitartás, egyetemi rendszer neve)
Akateemisen kyykän MM-kisat;Academic Kyykkä World Championships;Akadémiai Kyykkä Világbajnokság
gradu;master's thesis;szakdolgozat
