Finnish;English;hungarian
Verbejä;Verbs;Igék
lämmittää;to heat;melegít
kantaa puita saunaan;to carry wood to the sauna;fát hordani a szaunába
riisuutua;to undress;Levetkőzik
nousta lauteille;to climb on the benches;felszállni a padra
heittää vettä kiukkaalle;to throw water on the stove;vizet önteni a tűzhelyre
heittää löylyä;“to throw steam”;gőzt dobni
hikoilla;to sweat;izzad
peseytyä;to wash oneself;mosni
huuhdella;to rinse;öblítés
uida;to swim;úszás
kuivata itsensä;to dry oneself;szárítsd meg magad
nauttia saunasta;to enjoy the sauna;élvezze a szaunát
varata saunavuoro;to reserve a sauna shift;foglaljon szauna shiftet
vilvoitella;to cool off;lehűlni
Saunassa;In the sauna;A szaunában
mökki;cabin;kunyhó
puuvaja, liiteri;woodshed;faház
pukuhuone;dressing room;öltöző
löylyhuone;wash room;szauna helyiség
avanto;hole in the ice;lyuk a jégben
lauteet;benches;a padok
laudeliina;bench cloth;terítő
kiuas;stove;fűtőtest
puukiuas;wood-burning stove;fatüzelésű kályha
sähkökiuas;electric stove;elektromos sütő
vesikauha;ladle, scoop;merőkanál
ämpäri, sanko;bucket;vödör
höyry;steam;gőz
lämpömittari;thermometer;hőmérő
vesipata;water heater;vízforraló
pesuvati;bowl;mosdótál
tervasaippua;tar soap;kátrányszappan
pesusieni;sponge;mosószivacs
alaston, alasti;naked;meztelenül, meztelenül
pellavapyyhe;linen towel;vászon törölköző
froteepyyhe;terry towel;frottír törölköző
