Finnish;English;Hungarian
armeijanvihreä;army green;katonazöld
harmaanvihreä;grey-green;szürkészöld
heleänvihreä;soft green;világoszöld
homeenvihreä;mold green;penészszínű zöld
kellanvihreä;yellow-green;sárgászöld
kirkkaanvihreä;bright green;élénkzöld
limenvihreä;lime green;limezöld
merenvihreä;sea green;tengerzöld
mintunvihreä;mint green;mentazöld
myrkynvihreä;poison green;mérgezöld
oliivinvihreä;olive green;olajzöld
omenanvihreä;apple green;almászöld
pronssinvihreä;bronze green;bronzszínű zöld
ruohonvihreä;grass green;fűzöld
sammalenvihreä;moss green;moha(zöld)
sinivihreä;blue-green;kékeszöld
smaragdinvihreä;emerald green;smaragdzöld
tummanvihreä;dark green;sötétzöld
vaaleanvihreä;light green;halványzöld
vihreänharmaa;green-grey;zöldesszürke
vihreänsininen;green-blue;zöldeskék
vihertävä;greenish, somewhat green;zöldes
vihreälehtinen pensas;a green-leaved bush;zöld levelű bokor
vihreäsilmäinen tyttö;a green-eyed girl;zöld szemű lány
vihreäsulkainen lintu;a green-feathered bird;zöld tollú madár
vihreäpartainen tonttu;a green-bearded gnome;zöld szakállú manó
vihreäraitainen matto;a green-striped rug;zöld csíkos szőnyeg
vihreäkauluksinen paita;a green-collared shirt;zöld galléros ing
vihreäpukuinen mies;a man dressed in green;zöld ruhás férfi
vihreäkukkainen hame;a skirt with green flowers on it;zöld virágos szoknya
vihreätukkainen laulaja;a singer with green hair;zöld hajú énekes
vihreäkasvoinen avaruusolento;an alien with a green face;zöld arcú földönkívüli
vihreätakkinen nainen;a woman with a green coat;zöld kabátos nő
vihreämekkoinen tyttö;a girl with a green dress;zöld ruhás lány
vihreäkattoinen rakennus;a building with a green roof;zöld tetős épület
vihreälasinen kuppi;a cup made from green glass;zöld üvegcsésze
vihreäkantinen kirja;a book with a green cover;zöld fedelű könyv
vihreäpaitainen lapsi;a child with a green shirt;zöld pólós gyerek
vihreälatvainen ananas;a pineapple with a green top;zöld koronájú ananász
viheralue;greenspace (park area);zöldterület
viherharakka;common green magpie;zöld szarka
viherhuone;conservatory (garden room);télikert
viheriö;putting area (golf);golfgreen
viherkaihi;glaucoma;zöldhályog
