Finnish;English;Hungarian
lehdistö;the press;sajtó
lehdistötilaisuus;press conference;sajtótájékoztató
lehdistötiedote;press release;sajtóközlemény
roskalehdistö;gutter press;bulvársajtó
sensaatiolehdistö;yellow press;szenzációhajhász sajtó
journalismi;journalism;újságírás
tutkiva journalismi;investigative journalism;oknyomozó újságírás
uutisjuttu;news story;újsághír
reportaasi;report;riport
päivälehti;daily newspaper;napilap
laatulehti;quality paper;minőségi újság
massalehti;popular paper;tömeglap
iltapäivälehti;tabloid;bulvárlap
paikallislehti;local paper;helyi újság
ilmaisjakelulehti;free local paper;ingyenes helyi lap
aikakauslehti;magazine;időszaki kiadvány
sarjakuvalehti;comics;képregényújság
muotilehti;fashion magazine;divatmagazin
naistenlehti;women's magazine;női magazin
levikki;circulation;példányszám
lukijakunta;readership;olvasóközönség
haastattelu;interview;interjú
uutistoimisto;news agency;hírügynökség
freelance-työ;freelance job;szabadúszó munka
toimittaja;journalist;újságíró
päätoimittaja;editor;főszerkesztő
artikkelitoimittaja;features editor;rovatvezető
urheilutoimittaja;sports editor;sportújságíró
kuvittaja;illustrator;illusztrátor
valokuvaaja;photographer;fotográfus
pakinoitsija;columnist;publicista
taidearvostelija;art critic;műkritikus
kirjeenvaihtaja;correspondent;tudósító
avustaja;contributor;munkatárs
vapaa toimittaja;freelance journalist;szabadúszó újságíró
tekstitoimittaja;copy editor;szerkesztő (nyelvi)
haastateltava;interviewee;interjúalany
haastattelija;interviewer;riporter
toimitussihteeri;sub editor;olvasószerkesztő
verkkotoimittaja;web editor;online újságíró
erikoistoimittaja;special supplier;szakújságíró
aluetoimittaja;regional reporter;régiós tudósító
kaupunkitoimittaja;city editor;városi újságíró
kulttuuritoimittaja;cultural editor;kultúrrovat-vezető
pääkirjoitustoimittaja;editorial writer;vezércikkíró
kirjallisuuskriitikko;literature critic;irodalomkritikus
toimituspäällikkö;managing editor;szerkesztőségvezető
