Finnish;English;Hungarian
virkakoira;service dog;szolgálati kutya
poliisikoira;police dog;rendőrkutya
vankilakoira;prison dog;börtönkutya
tullikoira;customs dog;vámkutya
rajakoira;border dog;határőrkutya
sotakoira;military dog;katonai kutya
sankari;hero;hős
Kennelliitto;Finnish Kennel Club;Finn Kutyaklub
ohjaaja;handler;kutyavezető
partiokoira;patrol dog;járőrkutya
ylikonstaapeli;senior constable;törzsőrmester
labradorinnoutaja;Labrador retriever;labrador retriever
vartija;guard;őr
rikollisuus;crime;bűnözés
paljastaminen;detecting/exposing;leleplezés
päihdetyö;substance abuse prevention work;kábítószer-megelőzési munka
päihteet;intoxicants/substances;kábítószerek
savuke;cigarette;cigaretta
tullitarkastaja;customs inspector;vámellenőr
liikkuva ryhmä;mobile unit;mozgó egység
huumausaine;narcotic drug;kábítószer
salakuljetus;smuggling;csempészet
saksanpaimenkoira;German shepherd;német juhászkutya
rajavartiosto;border guard unit;határőrség
rajavartioasema;border guard station;határőrállomás
vanhempi rajavartija;senior border guard;idősebb határőr
koiramestaruuskilpailut;dog championship competitions;kutyabajnokság
ylivääpeli;master sergeant;főtörzsőrmester
turvatarkastus;security check;biztonsági ellenőrzés
virka-apu;official assistance;hivatalos segítségnyújtás
viranomainen;authority;hatóság
belgianpaimenkoira malinois;Belgian Malinois shepherd;belga juhászkutya (malinois)
lumikasa;snowdrift;hófúvás/hótorlasz
kadonnut;missing/lost;eltűnt
tutustua;to get acquainted with;megismerkedni
palkita;to reward/award;jutalmazni
ansiokkaasti;meritoriously;érdemekben gazdagon
tehtävä;task/duty;feladat
Tulli;Customs;Vámhivatal
Rikosseuraamuslaitos;Criminal Sanctions Agency;Büntetés-végrehajtási Szervezet
Poliisi;Police;Rendőrség
Rajavartiolaitos;Border Guard;Határőrség
Puolustusvoimat;Defence Forces;Honvédség
Koiramessut;Dog Show;Kutyakiállítás
tiedote;press release;közlemény
perustelu;justification/reasoning;indoklás
Sisä-Suomen poliisilaitos;Inner Finland Police Department;Belső-Finnország Rendőrkapitánysága
muistaa;to remember;emlékezni
tapaus;case/incident;eset
löytää;to find;megtalálni
elossa;alive;életben
joulun aatonaatto;two days before Christmas Eve;karácsony előtti előeste
Turun vankila;Turku Prison;Turkui Börtön
ehkäistä;to prevent;megelőzni
päätyä;to end up;eljutni valahová
Savo-Karjala;Savo-Karelia (region);Savo-Karélia (régió)
lentokenttä;airport;repülőtér
satama;harbour/port;kikötő
salakuljetustapaus;smuggling case;csempészeti ügy
tullivalvonta;customs surveillance;vámfelügyelet
Kaakkois-Suomi;Southeast Finland;Délkelet-Finnország
Kolmikanta;Kolmikanta (name of border station);Kolmikanta (határállomás neve)
koulutus;training;képzés
oppilas;student/trainee;tanuló
kouluttaja;trainer/instructor;oktató
Frontex;Frontex (EU border agency);Frontex (EU határügynökség)
Kaartin jääkärirykmentti;Guard Jaeger Regiment;Gárda Vadászezred
Santahamina;Santahamina (place in Helsinki);Santahamina (helsinki helyszín)
henkilöetsintä;personal search;személykutatás
vuosien aikana;over the years;az évek során
