Finnish;English
lapsena;as a child
nuorena;as a young person
nuorena naisena;as a young woman
aikuisena;as an adult
vauvana;as a baby
nuorena aikuisena;as a young adult
Poika tuli kotiin iloisena.;The boy came home happily.
He istuivat penkillä väsyneinä.;They sat tiredly on the bench.
Odotin rauhallisena hänen paluutaan.;I waited calmly for her return.
Nauroin hulluna, kun tajusin sen.;I laughed crazily when I realized it.
Ilma pysyy kauniina.;The weather stays (in a) beautiful (state).
Hän on ollut sairaana.;She has been (in a state of) sick(ness).
Hyönteisiä syödään raakana.;Insects are eaten (in a state of being) raw.
Hankin auton käytettynä.;I bought the car (in a state of) used.
Hän työskenteli vuosia siivoojana.;He worked many years as a cleaner.
Hän toimii koulun ohessa myyjänä.;In addition to school, she works as a salesperson.
Olin matkalla mukana oppaana.;I was traveling along as a guide.
Hän oli vankilassa vartijana.;He was in prison as a guard.
Televisio toimii lasteni viihdyttäjänä.;Television works as an entertainer for my kids.
tänä yönä;during this night
tänä vuonna;during this year
tänä aamuna;during this morning
tänä iltana;during this evening
viime aamuna;during the previous morning
viime vuonna;during the previous year
maanantaina;on Monday
keskiviikkona;on Wednesday
kuudentena joulukuuta;on the 6th of December
viime viikonloppuna;(during the) last weekend
kuukauden toisena tiistaina;on the 2nd Tuesday of the month
vuoden kolmantena maanantaina;on the third Monday of the year
Ilma pysyi kauniina.;The weather stayed beautiful.
Minä esiinnyin laulajana viikonloppuna.;I performed as a singer in the weekend.
Matti työskentelee sihteerinä yliopistossa.;Matti works as a secretary at the university.
Mies piti ajatusta huonona pilana.;The man considered the idea a bad joke.
Minä pidän sinua hyvänä ystävänä.;I consider you a good friend.
Juhana käyttää autoa varastona.;Juhana uses the car as a storage place.
ikinä;ever
täynnä;full
mukana;with
kokonaan;completely
yksinään;solely
kotona;at home
raskaana;pregnant
(hänen) luona;at his place
solkenaan;continuously
Sinuna en menisi sinne.;If I were you, I wouldn't go there.
Teinä kiirehtisin.;If I were you (plural), I would hurry up.
Olin nukkuvinani.;I was pretending to sleep.
He eivät olleet kuulevinaan huomautusta.;They pretended they weren't hearing the comment.
