Finnish;English;Hungarian
akasia;acacia;akác
apila;clover;herefű
asteri;aster;asztéria
auringonkukka;sunflower;napraforgó
begonia;begonia;begónia
hyasintti;hyacinth;jácint
daalia;dahlia;dália
jasmiini;jasmine;jázmin
(kelta)narsissi;daffodil;nárcisz
kielo;lilly-of-the-valley;gyöngyvirág
krysanteemi;chrysanthemum;krizantém
kurjenmiekka;iris;írisz
laventeli;lavender;levendula
lemmikki;forget-me-not;nefelejcs
lilja;lily;líliom
lumme;water lily;tündérrózsa
neilikka;carnation;szegfű
orkidea;orchid;orchidea
orvokki;violet;ibolya
päivänkakkara;daisy;százszorszép
ruusu;rose;rózsa
tulppaani;tulip;tulipán
unikko;poppy;pipacs
voikukka;dandelion;gyermekláncfű
vuokko;anemone;erdélyi szellőrózsa
maljakko;vase;váza
kukkaruukku;flower pot;virágcserép
kukkapenkki;flower bed;virágágy
kukkakimppu;bouquet;csokor
kukka-asetelma;flower arrangement;virágrendezés
hautajaiskukat;funeral flowers;temetési virágok
kukallinen;flowered;virágos
terälehti;petal;szirmok
siemen;seed;magnél
korsi, varso;stalk;szár
siitepöly;pollen;virágpor
piikki;thorn;tüske
nippu;bud;bimbó
puutarha;garden;kert
kukkasidonta;flower binding;virágkötészet
kukkakauppa;flower shop;virágüzlet
Annetaan kaikkien kukkien kukkia.;Literally: Let's let all the flowers bloom., Meaning: Everyone has the right to their own opinion.;Jelentsége: Mindenkinek joga van a saját véleményéhez.
Elämä ei ole ruusuilla tanssimista.;Literally: Life is not the dancing on roses., Meaning: Life is not free of problems and troubles.;Jelentsége: Az élet nem mentes a problémáktól.
Projekti sai sekä ruusuja että risuja.;Literally: The project received both roses and sticks., Meaning: The project got both praise and bark.;Jelentsége: A projekt egyszerre kapott dicséretet és kritikát.
Kun vaimo saa kukkia ilman syytä, on siihen hyvä syy.;Literally: When the wife gets flowers without a reason, there's a good reason for that., Meaning: Free gifts don't often come without a reason.;Jelentsége: Az ingyenes ajándékok ritkán jönnek ok nélkül.
