French;French (phonetic);Finnish;Hungarian
cours;kuʁ;kurssi;tunti
route;ʁut;tie;út
boutique;butik;putiikki;üzlet
bisou;bizu;pusu;puszi
amour;amuʁ;rakkaus;szerelem
août;ut;elokuu;augusztus
coûter;kute;maksaa (hinnaltaan);kerülni (vmibe)
goûter;gute;välipala;uzsonna
où;u;missä;hol
film;film;elokuva;film
six;sis;kuusi;hat
dire;diʁ;sanoa;mondani
figure;fiɡyʁ;kasvot, hahmo;alak, arc
livre;livʁ;kirja;könyv
partir;paʁtiʁ;lähteä;elindulni
maïs;mais;maissi;kukorica
héroïne;eʁɔin;sankaritar;hősnő
île;il;saari;sziget
dîner;dine;päivällinen;vacsora
y;i/igʁɛk;kirjain y;y (betű)
rythme;ʁitm;rytmi;ritmus
cyber;sibɛʁ;kyber-;kiber-
sexy;sɛksi;seksikäs;szexi
pays;pei;maa;ország
abbaye;abɛi;luostari;apátság
une;yn;yksi (feminiini);egy (nőnemű)
sur;syr;päällä;rajta
durable;dyʁabl;kestävä;tartós
musique;myzik;musiikki;zene
réunion;ʁeynjɔ̃;kokous;találkozó
pédicure;pedikyʁ;jalkahoito;pedikűr
aiguë;eɡy;terävä;kicsengő, éles
ambiguë;ɑ̃biɡy;kaksiselitteinen;kétértelmű
sûr;syʁ;varma;biztos
dû;dy;velkaa oleva;járó, esedékes
je suis;ʒə sɥi;minä olen;én vagyok
ensuite;ɑ̃sɥit;sitten;később, azután
suisse;sɥis;sveitsiläinen;svájci
ennuyeux;ɑ̃nɥijø;tylsä;unalmas
appuyer;apɥije;tukea, painaa;nyomni, támogatni
saluer;salyje;tervehtiä;köszönteni
continuer;kɔ̃tinɥe;jatkaa;folytatni
nuance;nyɑ̃s;sävy;árnyalat
situation;sitɥasjɔ̃;tilanne;helyzet
timide;timid;ujo;félénk
sympathique;sɛ̃patik;miellyttävä;rokonszenves
rythmique;ʁitmik;rytmikäs;ritmikus
intéressant;ɛ̃teʁesɑ̃;mielenkiintoinen;érdekes
finalement;finalmɑ̃;lopulta;végül
Finlande;fɛnlɑ̃d;Suomi;Finnország
Python;piton;Python (ohjelmointikieli);Python (programnyelv)
illumination;ilyminasjɔ̃;valaistus;megvilágítás
initiative;inisjativ;aloite;kezdeményezés
hystérie;isteʁi;hysteria;hisztéria
hymne;imn;hymni;himnusz
finlandais;fɛnlɑ̃dɛ;mies (suomalainen);finn (fiú) – fiú
finlandaise;fɛnlɑ̃dɛz;nainen (suomalainen);finn (lány) – lány
Toulouse;tuluz;Toulouse (kaupunki);Toulouse (város)
dessus;dəsy;Päällä;fölött
dessous;dəsu;alla;alatt
culture;kyltʏʁ;kulttuuri;kultúra
surtout;syʁtu;erityisesti;különösen
succès;suksɛ;menestys;siker
rouge;ʁuʒ;punainen;píros
russe;ʁys;venäläinen (mies);orosz (fiú) – fiú
rousse;ʁus;punatukkainen (nainen);vörös hajú (lány) – lány
bureau;byʁo;toimisto;iroda
unique;ynik;ainutlaatuinen;egyedi
symphonie;sɛ̃fɔni;sinfonia;szimfónia
futur;fytyʁ;tulevaisuus;jövő
four;fuʁ;uuni;sütő
nouveau;nuvo;uusi (mies);új (fiú) – fiú
nouvelle;nuvɛl;uusi (nainen);új (lány) – lány
muscle;myskl;lihas;izom
mystère;mystɛʁ;salaisuus;rejtély
gymnastique;ʒimnastik;voimistelu;torna
annuel;anɥɛl;vuotuinen;évi
orgueil;ɔʁɡœj;ylpeys;büszkeség
fruit;fʁɥi;hedelmä;gyümölcs
humide;ymid;kostea;nedves
tuer;tɥe;tapaa;ölni
nuit;nɥi;yö;éj
essuyer;esɥije;puhdistaa, pyyhkiä;törölni
huile;ɥil;öljy;olaj
suave;sɥav;lempeä, pehmeä;lágy, kellemes
union;ynjɔ̃;liitto;egyesülés
