Finnish;English;Hungarian
tietokone;computer;számítógép
jääkaappi;fridge;hűtőszekrény
lentokone;airplane;repülőgép
sukkahousut;tights;harisnya
kengännauha;shoelace;cipőfűző
liikennevalot;traffic lights;közlekedési lámpa
lumihiutale;snowflake;hópehely
kävelykeppi;walking stick;sétabot
hiekkalinna;sandcastle;homokvár
kirjanmerkki;bookmark;könyvjelző
sivunumero;page number;oldalszám
vieraslista;guest list;vendéglista
tuulimylly;windmill;szélmalom
kultakaivos;goldmine;aranybánya
hätäjarru;emergency brake;vészfékező
neliömetri;square meter;négyzetméter
purjevene;sailboat;vitorlás
aikapommi;time bomb;időzített bomba
nyrkkitappelu;fistfight;ütközés (vagy ökölharc)
verenpaine;blood pressure;vérnyomás
nettiyhteys;internet connection;internethozzáférés
kynsilakka;nail varnish;körömlakk
viikonloppu;weekend;hétvége
auringonnousu;sunrise;napkelte
syntymäpäivä;birthday;születésnap
pyörätuoli;wheelchair;kerekesszék
taideteos;artwork;műalkotás
korkkiruuvi;corkscrew;dugóhúzó
sairausvakuutus;health insurance;egészségbiztosítás
puheenjohtaja;chairman;elnök
liitutaulu;blackboard;tábla
huulipuna;lipstick;rúzs
taskulamppu;flashlight;zseblámpa
kermavaahto;whipped cream;habtejszín
täytekakku;layer cake;torta
kulmakarva;eyebrow;szemöldök
olohuone;living room;nappali
pilvenpiirtäjä;skyscraper;felhőkarcoló
hehkulamppu;light bulb;izzólámpa
talouspaperi;paper towel;konyhai papírtörlő
syömäpuikot;chopsticks;evőpálcika
sanakirja;dictionary;szótár
tietosanakirja;encyclopedia;enciklopédia
kaulakoru;necklace;nyaklánc
allekirjoitus;signature;aláírás
lautasliina;napkin, serviette;szalvéta
jälkiruoka;dessert;desszert
kirjekuori;envelope;boríték
tulivuori;volcano;vulkán
kasvissyöjä;vegetarian;vegetáriánus
ripsiväri;mascara;szemhéjpúder (vagy szempillaspirál)
työnantaja;employer;munkaadó
vuokranantaja;landlord;bérbeadó
savupiippu;chimney;kémény
hammaslääkäri;dentist;fogorvos
hajuvesi;perfume;parfüm
lyijykynä;pencil;ceruza
päiväkirja;diary;napi napló
sianliha;pork;sertéshús
jäävuori;iceberg;jéghegy
tuoremehu;fruit juice;gyümölcslé
palapeli;puzzle;kirakójáték (vagy puzzle)
karttapallo;globe;földgömb
vetoketju;zipper;cipzár
avioero;divorce;válás
lämpömittari;thermometer;hőmérő
aikamuoto;tense;igeidő
suihkulähde;fountain;szökőkút
jalankulkija;pedestrian;gyalogos
kuorma-auto;truck;teherautó
lastenlääkäri;pediatrician;gyermekorvos
viivakoodi;barcode;vonalkód
hammasraudat;braces;fogszabályzó
hymykuoppa;dimple;mosolybarázda
parisuhde;relationship;kapcsolat
polttoaine;fuel;üzemanyag
asiantuntija;expert;szakértő
poissaolo;absence;távollét
vuosisata;century;évszázad
ristiriita;contradiction;ellentmondás
sukellusvene;submarine;tengeralattjáró
avaruusolento;alien;idegen
pyörremyrsky;tornado;forgószél
suorakaide;rectangle;téglalap
anteeksipyyntö;apology;bocsánatkérés
maantiede;geography;földrajz
vuorovesi;tide;ár-apály
painovoima;gravity;gravitáció
huutokauppa;auction;árverés
mielipuoli;lunatic;őrült
oikeinkirjoitus;spelling;helyesírás
tietokirjallisuus;nonfiction;nemfikció
asuntolaina;mortgage;jelzálog
yhteiskunta;society;társadalom
esi-isä;ancestor;ős
asiakirja;document;okirat
elinympäristö;habitat;élőhely
kulkuneuvo;vehicle;jármű
yhteenveto;summary;összefoglaló
vuosipäivä;anniversary;évforduló
ennakkoluulo;prejudice, bias;előítélet
palkkasotilas;mercenary;zsoldos
tietokilpailu;quiz;kvíz
vaihtoehto;alternative;alternatíva
poikamies;bachelor;nőtlen
välimerkit;punctuation;írásjelek
maatalous;agriculture;mezőgazdaság
sivuääni;murmur;zörej
taikausko;superstition;babona
parannuskeino;remedy;gyógymód
muistokirjoitus;obituary;elhunytak emlékezése
ensihoitaja;paramedic;mentős
maanpetos;treason;hazaárulás
maahanmuutto;immigration;bevándorlás
häämatka;honeymoon;mézeshetek
aivotärähdys;concussion;agyrázkódás
päivänvarjo;parasol;napernyő
edelläkävijä;pioneer;úttörő
salakuljetus;smuggling;csempészet
käsikirjoitus;script;forgatókönyv
vuorovaikutus;interaction;interakció
norsunluu;ivory;elefántcsont
siirtomaa;colony;gyarmat
vallankumous;revolution;forradalom
ruoansulatus;digestion;emésztés
oireyhtymä;syndrome;szindróma
henkilökunta;staff, personnel;személyzet
sisällissota;civil war;polgárháború
opetussuunnitelma;curriculum;tanterv
väitöskirja;dissertation;doktori értekezés
nälänhätä;famine;éhínség
kauppasaarto;embargo;kereskedelmi embargó
metalliseos;alloy;ötvözet
mittakaava;scale;arány
ilkivalta;vandalism;rongálás
salaliitto;conspiracy;összeesküvés
ihmisarvo;dignity;emberi méltóság
kiertorata;orbit;pálya
salamurha;assassination;merénylet
kaksintaistelu;duel;párbaj
alkusointu;alliteration;alliteráció
