Finnish;english
Minä syön lihaa.;I eat meat.
Minä en syö lihaa.;I don't eat meat.
Minä puhun englantia.;I speak english.
Minä en puhu ranskaa.;I do not speak french.
Minä asun Tampereella.;I live in Tampere.
Sinä asut Tampereella.;You (singular) live in Tampere.
Hän asuu Tampereella.;He lives in Tampere.
Me asumme Tampereella.;We live in Tampere.
Te asutte Tampereella.;You live (plural) in Tampere.
He asuvat Tampereella.;They live in Tampere.
Minä en asu Tampereella.;I don't live in Tampere.
Sinä et asu Tampereella.;You (singular) don't live in Tampere.
Hän ei asu Tampereella.;He does not live in Tampere.
Me emme asu Tampereella.;We don't live in Tampere.
Te ette asu Tampereella.;You (plural) don't live in Tampere.
He eivät asu Tampereella.;They don't live in Tampere.
Te menette kotiin illalla.;You (plural) go home in the evening.
Te ette mene kotiin illalla.;You (plural) don't go home in the evening.
Minä rakastan häntä.;I love her.
Minä en rakasta häntä.;I don't love him.
Pedro on saksalainen.;Pedro is German.
Pedro ei ole saksalainen.;Pedro is not German.
Me asumme Helsingissä.;We live in Helsinki.
Me emme asu Helsingissä.;We don't live in Helsinki.
Kuka juo teetä?;Who drinks tea?
Kuka ei juo teetä?;Who doesn't drink tea?
Hän puhuu koreaa.;He speaks Korean.
Hän ei puhu koreaa.;He doesn't speak Korean.
He tulevat huomenna.;They will come tomorrow.
He eivät tule huomenna.;They won't come tomorrow.
minulla on;I have
sinulla on;you (singular) have
hänellä on;s/he has
meillä on;we have
teillä on;you (plural) have
heillä on;they have
Jennillä on;Jenni has
Pedrolla on;Pedro has
Katrinilla on;Katrin has
Minulla on kirja. ;I have a book.
Meillä on auto.;We have a car.
Heillä on koira.;They have a dog.
Jennillä on pieni kissa.;Jenn has a little cat.
Viktorilla on uusi polkupyörä.;Viktor has a new bicycle.
Minulla on laukku.;I have a bag.
Hänellä on kynä.;She has a pen.
Heillä on uusi talo.;They have a new house.
Villellä on punainen omena.;Ville has a red apple.
Meillä on iso asunto.;We have a big apartment
minulla ei ole;I don't have
sinulla ei ole;you (sigular) don't have
hänellä ei ole;s/he doesn't have
meillä ei ole;we don't have
teillä ei ole;you (plural) don't have
heillä ei ole;they don't have
Jennillä ei ole;Jenni doesn't have
Pedrolla ei ole;Pedro doesn't have
Katrinilla ei ole;Katrin doesn't have
Minulla ei ole kirjaa.;I don't have a book.
Meillä ei ole autoa.;We don't have a car.
Heillä ei ole isoa koiraa.;They don't have a big dog.
Minulla ei ole televisiota.; I don't have a television.
Hänellä ei ole puhelinta.;He doesn't have a phone.
Sennillä ei ole pyörää.;Senni doesn't have a bike.
Heillä ei ole vanhaa autoa.;They don't have an old car.
Oskarilla ei ole hyvää sateenvarjoa.;Oskari doesn't have a good umbrella.
minulla on nälkä.;I'm hungry.
minulla on jano.;I'm thirsty.
minulla on kylmä.;I'm cold.
minulla on kuuma.;I'm hot.
minulla on kiire.;I'm in a hurry.
minulla ei ole nälkä.;I'm not hungry.
minulla ei ole jano.;I'm not thirsty.
Onko sinulla?;Do you have?
minulla on kännykkä ja kirja.;I have a mobile phone and a book.
minulla ei ole avainta.;I don't have a key.
Mitä sinulla on kassissa/pöydällä/repussa?;What do you have in your bag/table/backpack?
Onko sinulla vesipullo?;Do you have a water bottle?
Joo, on minulla.;Yes, I do.
Ei, minulla ei ole.;No, I don't.
