Finnish;English;Hungarian
lyh. (lyhenne);abbreviation;rövidítés
yki, YKI (yleiset kielitutkinnot);General Language Proficiency;általános nyelvvizsga
krs. (kerros);floor (in apartment building);emelet
n. (noin);about, approximately;körülbelül
nro (numero);number;szám
os. (osoite);address;cím
p. / puh. (puhelin);telephone number;telefonszám
s-posti (sähköposti);e-mail;e-mail
hetu (henkilötunnus);personal identification number;személyi azonosító szám
sotu (sosiaaliturva);social security;társadalombiztosítás
T., Terv. (terveisin);best regards (at end of letter);üdvözlettel
2hh (kahden hengen huone);two-person room (hotel);kétágyas szoba
2h (2 huonetta);2 rooms (in apartment);két szoba
some (sosiaalinen media);social media;közösségi média
atk (automaattinen tietojenkäsittely);ADP (automatic data processing);adatfeldolgozás
huom! (huomaa);note!;figyelem!
ALV (arvonlisävero);VAT taxes;áfa (általános forgalmi adó)
HIV (human immunodeficiency virus);HIV;HIV
lut. (luterilainen);Lutheran;evangélikus
ev.lut. (evankelisluterilainen);Evangelical Lutheran;evangélikus-lutheránus
kat. (katolinen, katolilainen);Catholic;katolikus
krist. (kristillinen);Christian;keresztény
ortod. (ortodoksinen);Orthodox;ortodox
Hki (Helsinki);Helsinki (city);Helsinki
Tku (Turku);Turku (city);Turku
Tre (Tampere);Tampere (city);Tampere
Lpr (Lappeenranta);Lappeenranta (city);Lappeenranta
Vsa (Vaasa);Vaasa (city);Vaasa
sm. (Suomen mestari);Finnish champion;finn bajnok
EM (Euroopan Mestaruus);European championship;Európa-bajnokság
MM (Maailmanmestaruus);World Championship;világbajnokság
ME (maailmanennätys);world record;világrekord
TyEl (työntekijän eläkelaki);employee pension law;munkavállalói nyugdíjtörvény
ÄO, äo (älykkyysosamäärä);IQ;intelligenciahányados
kpl (kappale);pcs;darab
prk (purkki);tin / jar / container;doboz
ps, pss (pussi);bag;zacskó
rkl (ruokalusikallinen);tablespoon full;evőkanál
tlk (tölkki);carton;konzervdoboz
rs (rasia);carton, tub;dobozka
ltk (laatikko);box;láda, doboz
pkt (paketti);packet;csomag
luomu (luonnonmukainen);organic, natural (food);bio, természetes
HYLA, Hyla (hydrolysoitu laktoosi);hydrolyzed lactose (low lactose food);hidrolizált laktóz
mm (millimetri, "milli");millimeter;milliméter
cm (senttimetri, "sentti");centimetre;centiméter
m (metri);metre, meter;mérő (méter)
km (kilometri);kilometre, kilometer;kilométer
cl (senttilitra);centiliter;centiliter
dl (desilitra, "desi");deciliter;deciliter
l (litra);liter;liter
g (gramma);gram;gramm
kg (kilogramma, "kilo");kilogram;kilogramm
kcal (kilokalori);kilocalorie;kilokalória
m2 (neliömetri);square meter;négyzetméter
m3 (kuutiometri);cubic meter;köbméter
km / h (kilometriä tunnissa);kilometers per hour;kilométer per óra
°C (Celsius-aste);degree Celsius;Celsius-fok
°F (Fahrenheit-aste);degree Fahrenheit;Fahrenheit-fok
Ø (läpimitta, halkaisija);diameter;átmérő
b (bitti);bit;bit
kt (kilotavu);kilobyte;kilobájt
Mt (megatavu);megabyte;megabájt
Gt (gigatavu);gigabyte;gigabájt
Tt (teratava);terabyte;terabájt
kHz (kilohertsi);kilohertz;kilohertz
kJ (kilojoule);kilojoule;kilojoule
kW (kilowatti);kilowatt;kilowatt
kWh (kilowattitunti);kilowatt hour;kilowattóra
ma, ti (maanantai, tiistai);Monday, Tuesday;hétfő, kedd
