Finnish;English;Hungarian
hiukkaskiihdytin;particle accelerator;részecskegyorsító
synkrotroni;synchrotron;synchrotron
syklotroni;cyclotron;ciklotron
lineaarikiihdytin (linakki);linear accelerator (linac);lineáris gyorsító
protoni-synkrotroni;proton synchrotron;protonszinkrotron
rengaskiihdytin;storage ring;tárológyűrű
injektori;injector;injektor
säde;beam;nyaláb
kiihdytysjärjestelmä;acceleration system;gyorsítórendszer
RF-kaviteetti;RF cavity;RF-rezonátor
magneettikenttä;magnetic field;mágneses tér
dipolimagneetti;dipole magnet;dipólmágnes
kvadrupolimagneetti;quadrupole magnet;kvadrupólmágnes
oktopolimagneetti;octupole magnet;oktopólmágnes
kiihdytyspiiri;accelerator ring;gyorsítógyűrű
hiukkasilmaisin;particle detector;részecskeérzékelő
kalorimetri;calorimeter;kaloriméter
hadronikalorimetri;hadronic calorimeter;hadronkaloriméter
elektromagneettinen kalorimetri;electromagnetic calorimeter;elektromágneses kaloriméter
seuranta-ilmaisin;tracking detector;pályakövető detektor
piilidiodi-ilmaisin;silicon detector;szilíciumdetektor
TPC (ajoaikakammio);time projection chamber;időprojekciós kamra
myoni-ilmaisin;muon detector;muondetektor
Cerenkov-ilmaisin;Cherenkov detector;Cserenkov-detektor
fotomonistinputki;photomultiplier tube;fotoelektronsokszorozó cső
verkkokammio;drift chamber;driftkamra
geigerputki;Geiger counter;Geiger-számláló
risteämäpinta-ala;cross section;ütközési szelvény
luminoisuus;luminosity;luminozitás
törmäysenergia;collision energy;ütközési energia
impulssi;momentum;impulzus
liikemäärä;linear momentum;lendület
kulmaliikemäärä;angular momentum;perdület
spin;spin;spin
varaus;charge;töltés
massa;mass;tömeg
lepomassa;rest mass;nyugalmi tömeg
hiukkasen elinaika;particle lifetime;részecske élettartam
vuorovaikutus;interaction;kölcsönhatás
heikko vuorovaikutus;weak interaction;gyenge kölcsönhatás
vahva vuorovaikutus;strong interaction;erős kölcsönhatás
sähkömagneettinen vuorovaikutus;electromagnetic interaction;elektromágneses kölcsönhatás
gravitaatio;gravity;gravitáció
kvanttikenttä;quantum field;kvantummező
alkeishiukkanen;fundamental particle;elemi részecske
fermioni;fermion;fermion
bosoni;boson;bozon
kvarkki;quark;kvark
ylöskvarkki;up quark;felkvark
alaskvarkki;down quark;lekvark
lumokvarkki;charm quark;bájkvark
outokvarkki;strange quark;különös kvark
huippukvarkki;top quark;tetőkvark
pohjakvarkki;bottom quark;aljkvark
leptoni;lepton;lepton
elektroni;electron;elektron
myoni;muon;muon
tauhiukkanen;tau particle;tau-részecske
neutrino;neutrino;neutrínó
Higgsin bosoni;Higgs boson;Higgs-bozon
gluonig;gluon;gluon
fotoni;photon;foton
W-bosoni;W boson;W-bozon
Z-bosoni;Z boson;Z-bozon
CERN;CERN;CERN
