Finnish;English;Hungarian
Verbejä;Verbs;Igék
arvioida;determine;meghatároz
jakaa;to divide;oszt
kertoa;to multiply;szoroz
vähentää;to subtract;kivon
laskea yhteen;to add up;összead
lisätä;to add;hozzáad
tarkistaa;to check;ellenőriz
laskea;to count;számol
ratkaista;to solve;megold
alleviivata;to underline;aláhúz
ympyröidä;to circle;körbe jelöl
vertailla;to compare;összehasonlít
sieventää;to simplify;egyszerűsít
perustella;to prove;bizonyít
Geometria;Geometry;Geometria
suora;straight line;egyenes
jana;segment;szelet
ympyrä;circle;kör
halkaisija;diameter;átmérő
säde;radius;sugár
kulma;angle;szög
suorakulma;right angle;derékszög
kolmio;triangle;háromszög
neliö;square;négyszög
paraabeli;parabola;parabola
lieriö;cylinder;henger
kartio;cone;kúp
kuutio;cube;kocka
pyramidi;pyramid;piramis
soikio;oval;ovális
suorakulmio;rectangle;téglalap
särmä;edge;él
pystysuora;vertical;függőleges
vaakasuora;horizontal;vízszintes
tilavuus;volume;térfogat
pinta-ala;surface area;felszín
aste;degree;fok
Muita sanoja;Other words;Egyéb szavak
plus;plus;plusz
miinus;minus;mínusz
summa;sum;összeg
tulos;result;eredmény
yhtälö;equation;egyenlet
jakojäännös;remainder;maradék
kymmenylitys;ten-crossing;tízes átlépés
päässälasku;counting in your head;fejszámolás
reaaliluku;real number;valós szám
kokonaisluku;integral number;egész szám
murtoluku;fraction;törtszám
laskuoppi, aritmetiikka;arithemtic;aritmetika
laskutehtävä;arithmetical problem;számítási feladat
luku;number;szám
parillinen luku;even number;páros szám
pariton luku;odd number;páratlan szám
perusluku;cardinal number;tőszám
järjestysluku;ordinal number;sorszám
numero;figure;jegy
laskin;calculator;számológép
virhe;mistake;hiba
kertotaulu;multiplication table;szorzótábla
kertolasku;multiplication;szorzás
vähennyslasku;subtraction;kivonás
jako;division;osztás
yhtä suuri kuin;equal to;egyenlő
