French;Finnish;Hungarian
un roman;eräs romaani;egy regény
le roman;se romaani;a regény
des romans;romaanit;regények
un livre;eräs kirja;egy könyv
le livre;se kirja;a könyv
des livres;kirjat;könyvek
un stylo;eräs kynä;egy toll
le stylo;se kynä;a toll
des stylos;kynät;tollak
un ordinateur;eräs tietokone;egy számítógép
l'ordinateur;se tietokone;a számítógép
des ordinateurs;tietokoneet;számítógépek
un hôtel;eräs hotelli;egy szálloda
l'hôtel;se hotelli;a szálloda
des hôtels;hotellit;szállodák
un ami;eräs ystävä (mies);egy barát (fiú)
l'ami;se ystävä (mies);a barát (fiú)
des amis;ystävät (mies);barátok (fiúk)
un étudiant;eräs opiskelija (mies);egy diák (fiú)
l'étudiant;se opiskelija (mies);a diák (fiú)
des étudiants;opiskelijat (mies);diákok (fiúk)
un chien;eräs koira;egy kutya
le chien;se koira;a kutya
des chiens;koirat;kutyák
une voiture;eräs auto;egy autó
la voiture;se auto;a autó
des voitures;autot;autók
une université;eräs yliopisto;egy egyetem
l'université;se yliopisto;a egyetem
des universités;yliopistot;egyetemek
une maison;eräs talo;egy ház
la maison;se talo;a ház
des maisons;talot;házak
une table;eräs pöytä;egy asztal
la table;se pöytä;a asztal
des tables;pöydät;asztalok
une amie;eräs ystävä (nainen);egy barát (lány)
l'amie;se ystävä (nainen);a barát (lány)
des amies;ystävät (nainen);barátok (lányok)
une étudiante;eräs opiskelija (nainen);egy diák (lány)
l'étudiante;se opiskelija (nainen);a diák (lány)
des étudiantes;opiskelijat (nainen);diákok (lányok)
une fleur;eräs kukka;egy virág
la fleur;se kukka;a virág
des fleurs;kukat;virágok
une école;eräs koulu;egy iskola
l'école;se koulu;a iskola
des écoles;koulut;iskolák
