Finnish;English;Hungarian
ananas;pineapple;ananász
appelsiini;orange;narancs
aprikoosi;apricot;barack
avokado;avocado;avokádó
banaani;banana;banán
verkkomeloni;cantaloupe;mézédes dinnye
granaattiomena;pomegranate;gránátalma
greippi;grapefruit;grapefruit
hunajameloni;honeydew;mézdinnye
kiivi;kiwi;kivi
klementiini;clementine;klementin
kookospähkinä;coconut;kókuszdió
kumkvatti;kumquat;kumkvat
limetti;lime;lime
litsi;litchi;licsi
luumu;plum;szilva
mandariini;tangerine;mandarin
mango;mango;mangó
meloni;melon;dinnye
nektariini;nectarine;nektarin
omena;apple;alma
papaija;papaya;papaja
persikka;peach;őszibarack
päärynä;pear;körte
satsuma;satsuma;satsuma
sitruuna;lemon;citrom
taateli;date;datolya
vesimeloni;watermelon;görögdinnye
viikuna;fig;füge
viinirypäle;grape;szőlő
vaaleat (vihreät) viinirypäleet;white (green) grapes;fehér (zöld) szőlő
tummat viinirypäle;dark grapes;sötét szőlő
eksoottinen;exotic;egzotikus
halkaista omena;to split an apple;almát félbevágni
haukata omenaa;to bite into an apple;almát harapni
hapan;sour;savas
hedelmäliha;fruit flesh, pulp;gyümölcshús
hedelmämehu;fruit juice;gyümölcslé
hedelmäpirtelö;fruit smoothie;gyümölcsturmix
hedelmäpuristin;fruit press, squeezer;gyümölcsprés
hedelmäsalaatti;fruit salad;gyümölcssaláta
hedelmäveitsi;fruit knife;gyümölcskés
hillo;jam;dzsem
kirpeä;tart;fanyar
kivetön kirsikka;pitted cherry;magozott cseresznye
kuori;peel, shell;héj
kuoria omena;to peel an apple;almát meghámozni
kuivattu;dried;szárított
kypsä;ripe;érett
lohko, viipale;section, slice;szelet
makea;sweet;édes
marmeladi;marmelade;marmelád
mehukas;juicy;lédús
mädätä;to rot, decay;megromlani
mätä;rotten;rothadt
omenapuu;apple tree;almafa
omenasose;applesauce;almapüré
persikan kivi;peach stone;őszibarackmag
raaka;raw;nyers
siemen;seed;magnél
siemenetön;seedless;magnélküli
siemenkota;core (of apple);magház
sitrushedelmä;citrus fruit;citromféle
terttu;bunch;fürt
terveellinen;healthy;egészséges
tuore;fresh;friss
Syön paljon hedelmiä.;I eat a lot of fruit.;Sok gyümölcsöt eszem.
Syön usein melonia.;I often eat melon.;Gyakran eszem dinnyét.
Pidän viinirypäleistä.;I like grapes.;Szeretem a szőlőt.
Tykkään vesimelonista.;I like watermelon.;Szeretem a görögdinnyét.
En tykkää mangosta.;I don't like mango.;Nem szeretem a mangót.
Ostan viisi omenaa.;I buy five apples.;Öt almát veszek.
Ostin kolme päärynää.;I bought three pears.;Három körtét vettem.
Avokadot ovat kalliita.;Avocados are expensive.;Az avokádók drágák.
Banaanit ovat tarjouksessa.;The bananas are on sale.;A banánok akciósak.
Haluatko omenan?;Do you want an apple?;Akarsz egy almát?
Banaani on keltainen.;A banana is yellow.;A banán sárga.
Minä kuorin omenan.;I will peel the apple.;Meg fogom hámozni az almát.
Omena päivässä pitää lääkärin loitolla.;Literally: An apple a day keeps the doctor away., Eating enough fruit will keep you from getting sick.;Egy alma naponta távol tartja az orvost.
Omena ei kauas puusta putoa.;Literally: The apple doesn't fall far from the tree., Children often take after their parents.;Az alma nem esik messze a fájától.
Hedelmistään puu tunnetaan.;Literally: By its fruits a tree is known., A person is known through their accomplishments.;A fát a gyümölcseiről ismerni.
